Date,t,Close
2011-10-03,2011.756,2335.83
2011-10-04,2011.758,2404.82
2011-10-05,2011.761,2460.51
2011-10-06,2011.764,2506.82
2011-10-07,2011.767,2479.35
2011-10-10,2011.775,2566.05
2011-10-11,2011.778,2583.03
2011-10-12,2011.781,2604.73
2011-10-13,2011.783,2620.24
2011-10-14,2011.786,2667.85
2011-10-17,2011.794,2614.92
2011-10-18,2011.797,2657.43
2011-10-19,2011.8,2604.04
2011-10-20,2011.803,2598.62
2011-10-21,2011.806,2637.46
2011-10-24,2011.814,2699.44
2011-10-25,2011.817,2638.42
2011-10-26,2011.819,2650.67
2011-10-27,2011.822,2738.63
2011-10-28,2011.825,2737.15
2011-10-31,2011.833,2684.41
2011-11-01,2011.833,2606.96
2011-11-02,2011.836,2639.98
2011-11-03,2011.839,2697.97
2011-11-04,2011.842,2686.15
2011-11-07,2011.85,2695.25
2011-11-08,2011.853,2727.49
2011-11-09,2011.856,2621.65
2011-11-10,2011.858,2625.15
2011-11-11,2011.861,2678.75
2011-11-14,2011.869,2657.22
2011-11-15,2011.872,2686.2
2011-11-16,2011.875,2639.61
2011-11-17,2011.878,2587.99
2011-11-18,2011.881,2572.5
2011-11-21,2011.889,2523.14
2011-11-22,2011.892,2521.28
2011-11-23,2011.894,2460.08
2011-11-25,2011.9,2441.51
2011-11-28,2011.908,2527.34
2011-11-29,2011.911,2515.51
2011-11-30,2011.914,2620.34
2011-12-01,2011.917,2626.2
2011-12-02,2011.919,2626.93
2011-12-05,2011.928,2655.76
2011-12-06,2011.931,2649.56
2011-12-07,2011.933,2649.21
2011-12-08,2011.936,2596.38
2011-12-09,2011.939,2646.85
2011-12-12,2011.947,2612.26
2011-12-13,2011.95,2579.27
2011-12-14,2011.953,2539.31
2011-12-15,2011.956,2541.01
2011-12-16,2011.958,2555.33
2011-12-19,2011.967,2523.14
2011-12-20,2011.969,2603.73
2011-12-21,2011.972,2577.97
2011-12-22,2011.975,2599.45
2011-12-23,2011.978,2618.64
2011-12-27,2011.989,2625.2
2011-12-28,2011.992,2589.98
2011-12-29,2011.994,2613.74
2011-12-30,2011.997,2605.15
2012-01-03,2012.006,2648.72
2012-01-04,2012.008,2648.36
2012-01-05,2012.011,2669.86
2012-01-06,2012.014,2674.22
2012-01-09,2012.022,2676.56
2012-01-10,2012.025,2702.5
2012-01-11,2012.028,2710.76
2012-01-12,2012.031,2724.7
2012-01-13,2012.033,2710.67
2012-01-17,2012.044,2728.08
2012-01-18,2012.047,2769.71
2012-01-19,2012.05,2788.33
2012-01-20,2012.053,2786.7
2012-01-23,2012.061,2784.17
2012-01-24,2012.064,2786.64
2012-01-25,2012.067,2818.31
2012-01-26,2012.069,2805.28
2012-01-27,2012.072,2816.55
2012-01-30,2012.081,2811.94
2012-01-31,2012.083,2813.84
2012-02-01,2012.083,2848.27
2012-02-02,2012.086,2859.68
2012-02-03,2012.089,2905.66
2012-02-06,2012.097,2901.99
2012-02-07,2012.1,2904.08
2012-02-08,2012.103,2915.86
2012-02-09,2012.106,2927.23
2012-02-10,2012.108,2903.88
2012-02-13,2012.117,2931.39
2012-02-14,2012.119,2931.83
2012-02-15,2012.122,2915.83
2012-02-16,2012.125,2959.85
2012-02-17,2012.128,2951.78
2012-02-21,2012.139,2948.57
2012-02-22,2012.142,2933.17
2012-02-23,2012.144,2956.98
2012-02-24,2012.147,2963.75
2012-02-27,2012.156,2966.16
2012-02-28,2012.158,2986.76
2012-02-29,2012.161,2966.89
2012-03-01,2012.167,2988.97
2012-03-02,2012.169,2976.19
2012-03-05,2012.178,2950.48
2012-03-06,2012.181,2910.32
2012-03-07,2012.183,2935.69
2012-03-08,2012.186,2970.42
2012-03-09,2012.189,2988.34
2012-03-12,2012.197,2983.66
2012-03-13,2012.2,3039.88
