Date,t,Close
2011-09-12,2011.697,5072.33
2011-09-13,2011.7,5166.36
2011-09-14,2011.703,5340.19
2011-09-15,2011.706,5508.24
2011-09-16,2011.708,5573.51
2011-09-19,2011.717,5415.91
2011-09-20,2011.719,5571.68
2011-09-21,2011.722,5433.8
2011-09-22,2011.725,5164.21
2011-09-23,2011.728,5196.56
2011-09-26,2011.736,5345.56
2011-09-27,2011.739,5628.44
2011-09-28,2011.742,5578.42
2011-09-29,2011.744,5639.58
2011-09-30,2011.747,5502.02
2011-10-03,2011.756,5376.7
2011-10-04,2011.758,5216.71
2011-10-05,2011.761,5473.03
2011-10-06,2011.764,5645.25
2011-10-07,2011.767,5675.7
2011-10-10,2011.775,5847.29
2011-10-11,2011.778,5865.01
2011-10-12,2011.781,5994.47
2011-10-13,2011.783,5914.84
2011-10-14,2011.786,5967.2
2011-10-17,2011.794,5859.43
2011-10-18,2011.797,5877.41
2011-10-19,2011.8,5913.53
2011-10-20,2011.803,5766.48
2011-10-21,2011.806,5970.96
2011-10-24,2011.814,6055.27
2011-10-25,2011.817,6046.75
2011-10-26,2011.819,6016.07
2011-10-27,2011.822,6337.84
2011-10-28,2011.825,6346.19
2011-10-31,2011.833,6141.34
2011-11-01,2011.833,5834.51
2011-11-02,2011.836,5965.63
2011-11-03,2011.839,6133.18
2011-11-04,2011.842,5966.16
2011-11-07,2011.85,5928.68
2011-11-08,2011.853,5961.44
2011-11-09,2011.856,5829.54
2011-11-10,2011.858,5867.81
2011-11-11,2011.861,6057.03
2011-11-14,2011.869,5985.02
2011-11-15,2011.872,5933.14
2011-11-16,2011.875,5913.36
2011-11-17,2011.878,5850.17
2011-11-18,2011.881,5800.24
2011-11-21,2011.889,5606
2011-11-22,2011.892,5537.39
2011-11-23,2011.894,5457.77
2011-11-24,2011.897,5428.11
2011-11-25,2011.9,5492.87
2011-11-28,2011.908,5745.33
2011-11-29,2011.911,5799.91
2011-11-30,2011.914,6088.84
2011-12-01,2011.917,6035.88
2011-12-02,2011.919,6080.68
2011-12-05,2011.928,6106.09
2011-12-06,2011.931,6028.82
2011-12-07,2011.933,5994.73
2011-12-08,2011.936,5874.44
2011-12-09,2011.939,5986.71
2011-12-12,2011.947,5785.43
2011-12-13,2011.95,5774.26
2011-12-14,2011.953,5675.14
2011-12-15,2011.956,5730.62
2011-12-16,2011.958,5701.78
2011-12-19,2011.967,5670.71
2011-12-20,2011.969,5847.03
2011-12-21,2011.972,5791.53
2011-12-22,2011.975,5852.18
2011-12-23,2011.978,5878.93
2011-12-27,2011.989,5889.76
2011-12-28,2011.992,5771.27
2011-12-29,2011.994,5848.78
2011-12-30,2011.997,5898.35
2012-01-02,2012.003,6075.52
2012-01-03,2012.006,6166.57
2012-01-04,2012.008,6111.55
2012-01-05,2012.011,6095.99
2012-01-06,2012.014,6057.92
2012-01-09,2012.022,6017.23
2012-01-10,2012.025,6162.98
2012-01-11,2012.028,6152.34
2012-01-12,2012.031,6179.21
2012-01-13,2012.033,6143.08
2012-01-16,2012.042,6220.01
2012-01-17,2012.044,6332.93
2012-01-18,2012.047,6354.57
2012-01-19,2012.05,6416.26
2012-01-20,2012.053,6404.39
2012-01-23,2012.061,6436.62
2012-01-24,2012.064,6419.22
2012-01-25,2012.067,6421.85
2012-01-26,2012.069,6539.85
2012-01-27,2012.072,6511.98
2012-01-30,2012.081,6444.45
2012-01-31,2012.083,6458.91
2012-02-01,2012.083,6616.64
2012-02-02,2012.086,6655.63
2012-02-03,2012.089,6766.67
2012-02-06,2012.097,6764.83
2012-02-07,2012.1,6754.2
2012-02-08,2012.103,6748.76
2012-02-09,2012.106,6788.8
2012-02-10,2012.108,6692.96
2012-02-13,2012.117,6738.47
2012-02-14,2012.119,6728.19
2012-02-15,2012.122,6757.94
2012-02-16,2012.125,6751.96
2012-02-17,2012.128,6848.03
2012-02-20,2012.136,6948.25
2012-02-21,2012.139,6908.18
2012-02-22,2012.142,6843.87
2012-02-23,2012.144,6809.46
2012-02-24,2012.147,6864.43
2012-02-27,2012.156,6849.6
2012-02-28,2012.158,6887.63
2012-02-29,2012.161,6856.08
2012-03-01,2012.167,6941.77
2012-03-02,2012.169,6921.37
2012-03-05,2012.178,6866.46
2012-03-06,2012.181,6633.11
2012-03-07,2012.183,6671.11
2012-03-08,2012.186,6834.54
2012-03-09,2012.189,6880.21
2012-03-12,2012.197,6901.35
2012-03-13,2012.2,6995.91
2012-03-14,2012.203,7079.42
2012-03-15,2012.206,7144.45
2012-03-16,2012.208,7157.82
2012-03-19,2012.217,7154.22
2012-03-20,2012.219,7054.94
2012-03-21,2012.222,7071.32
2012-03-22,2012.225,6981.26
2012-03-23,2012.228,6995.62
2012-03-26,2012.236,7079.23
2012-03-27,2012.239,7078.9
2012-03-28,2012.242,6998.8
2012-03-29,2012.244,6875.15
2012-03-30,2012.247,6946.83
2012-04-02,2012.253,7056.65
2012-04-03,2012.256,6982.28
2012-04-04,2012.258,6784.06
2012-04-05,2012.261,6775.26
2012-04-10,2012.275,6606.43
2012-04-11,2012.278,6674.73
2012-04-12,2012.281,6743.24
2012-04-13,2012.283,6583.9
2012-04-16,2012.292,6625.19
2012-04-17,2012.294,6801
2012-04-18,2012.297,6732.03
2012-04-19,2012.3,6671.22
2012-04-20,2012.303,6750.12
2012-04-23,2012.311,6523
2012-04-24,2012.314,6590.41
2012-04-25,2012.317,6704.5
2012-04-26,2012.319,6739.9
2012-04-27,2012.322,6801.32
2012-04-30,2012.331,6761.19
2012-05-02,2012.336,6710.77
2012-05-03,2012.339,6694.44
2012-05-04,2012.342,6561.47
2012-05-07,2012.35,6569.48
2012-05-08,2012.353,6444.74
