Date,t,Close
2011-10-03,2011.756,34.36
2011-10-04,2011.758,34.89
2011-10-05,2011.761,35.7
2011-10-06,2011.764,36.88
2011-10-07,2011.767,36.44
2011-10-10,2011.775,38.07
2011-10-11,2011.778,38.09
2011-10-12,2011.781,39.16
2011-10-13,2011.783,38.81
2011-10-14,2011.786,39.59
2011-10-17,2011.794,38.25
2011-10-18,2011.797,39.27
2011-10-19,2011.8,38.52
2011-10-20,2011.803,37.78
2011-10-21,2011.806,38.855
2011-10-24,2011.814,40.38
2011-10-25,2011.817,39.58
2011-10-26,2011.819,40.31
2011-10-27,2011.822,42.76
2011-10-28,2011.825,42.4
2011-10-31,2011.833,40.815
2011-11-01,2011.833,39.82
2011-11-02,2011.836,41.04
2011-11-03,2011.839,41.46
2011-11-04,2011.842,41.19
2011-11-07,2011.85,41.54
2011-11-08,2011.853,42.03
2011-11-09,2011.856,39.57
2011-11-10,2011.858,39.83
2011-11-11,2011.861,40.785
2011-11-14,2011.869,40.23
2011-11-15,2011.872,40.48
2011-11-16,2011.875,39.39
2011-11-17,2011.878,38.388
2011-11-18,2011.881,38.54
2011-11-21,2011.889,37.3
2011-11-22,2011.892,37.43
2011-11-23,2011.894,36.22
2011-11-25,2011.9,36.1
2011-11-28,2011.908,37.83
2011-11-29,2011.911,37.659
2011-11-30,2011.914,40.01
2011-12-01,2011.917,39.8875
2011-12-02,2011.919,39.77
2011-12-05,2011.928,40.42
2011-12-06,2011.931,39.87
2011-12-07,2011.933,40.03
2011-12-08,2011.936,38.59
2011-12-09,2011.939,39.37
2011-12-12,2011.947,37.89
2011-12-13,2011.95,37.54
2011-12-14,2011.953,37
2011-12-15,2011.956,37.245
2011-12-16,2011.958,37.52
2011-12-19,2011.967,36.55
2011-12-20,2011.969,37.725
2011-12-21,2011.972,37.84
2011-12-22,2011.975,38.335
2011-12-23,2011.978,38.485
2011-12-27,2011.989,38.12
2011-12-28,2011.992,37.48
2011-12-29,2011.994,37.91
2011-12-30,2011.997,37.94
2012-01-03,2012.006,39.1
2012-01-04,2012.008,38.882
2012-01-05,2012.011,38.71
2012-01-06,2012.014,38.225
2012-01-09,2012.022,38.615
2012-01-10,2012.025,39.458
2012-01-11,2012.028,39.49
2012-01-12,2012.031,39.65
2012-01-13,2012.033,39.29
2012-01-17,2012.044,40.04
2012-01-18,2012.047,41.05
2012-01-19,2012.05,41.41
2012-01-20,2012.053,41.38
2012-01-23,2012.061,41.78
2012-01-24,2012.064,41.835
2012-01-25,2012.067,42.31
2012-01-26,2012.069,42.14
2012-01-27,2012.072,42.36
2012-01-30,2012.081,41.75
2012-01-31,2012.083,42.11
2012-02-01,2012.083,43.045
2012-02-02,2012.086,43.16
2012-02-03,2012.089,43.88
2012-02-06,2012.097,43.505
2012-02-07,2012.1,43.6
2012-02-08,2012.103,43.91
2012-02-09,2012.106,43.89
2012-02-10,2012.108,42.915
2012-02-13,2012.117,43.615
2012-02-14,2012.119,43.26
2012-02-15,2012.122,43.38
2012-02-16,2012.125,43.845
2012-02-17,2012.128,43.93
2012-02-21,2012.139,43.75
2012-02-22,2012.142,43.825
2012-02-23,2012.144,43.75
2012-02-24,2012.147,44.19
2012-02-27,2012.156,43.75
2012-02-28,2012.158,44.36
2012-02-29,2012.161,44.33
2012-03-01,2012.167,44.75
2012-03-02,2012.169,44.64
2012-03-05,2012.178,43.87
2012-03-06,2012.181,42.405
2012-03-07,2012.183,42.91
2012-03-08,2012.186,43.81
2012-03-09,2012.189,43.79
2012-03-12,2012.197,43.31
2012-03-13,2012.2,44.49
2012-03-14,2012.203,43.79
2012-03-15,2012.206,44.14
2012-03-16,2012.208,44.09
2012-03-19,2012.217,43.92
2012-03-20,2012.219,43.16
2012-03-21,2012.222,43.235
2012-03-22,2012.225,42.58
2012-03-23,2012.228,42.9
2012-03-26,2012.236,43.655
2012-03-27,2012.239,43.42
2012-03-28,2012.242,42.69
2012-03-29,2012.244,42.64
2012-03-30,2012.247,42.945
2012-04-02,2012.253,43.545
2012-04-03,2012.256,43.29
2012-04-04,2012.258,42.51
2012-04-05,2012.261,42.74
2012-04-09,2012.272,42.11
2012-04-10,2012.275,41.295
2012-04-11,2012.278,41.735
2012-04-12,2012.281,42.81
2012-04-13,2012.283,42.16
2012-04-16,2012.292,41.945
2012-04-17,2012.294,42.43
2012-04-18,2012.297,42.23
2012-04-19,2012.3,42.045
2012-04-20,2012.303,42.325
2012-04-23,2012.311,41.52
2012-04-24,2012.314,41.61
2012-04-25,2012.317,41.985
2012-04-26,2012.319,42.25
2012-04-27,2012.322,42.31
2012-04-30,2012.331,42.215
2012-05-01,2012.333,42.5
2012-05-02,2012.336,42.415
2012-05-03,2012.339,42.1
2012-05-04,2012.342,41.36
2012-05-07,2012.35,41.51
2012-05-08,2012.353,40.85
2012-05-09,2012.356,40.32
2012-05-10,2012.358,40.49
2012-05-11,2012.361,39.965
2012-05-14,2012.369,39.06
2012-05-15,2012.372,38.72
2012-05-16,2012.375,38.17
2012-05-17,2012.378,37.65
2012-05-18,2012.381,37.29
2012-05-21,2012.389,38.18
2012-05-22,2012.392,37.78
2012-05-23,2012.394,37.52
2012-05-24,2012.397,37.33
2012-05-25,2012.4,37.15
2012-05-29,2012.411,38.2
2012-05-30,2012.414,37.54
2012-05-31,2012.417,37.7
2012-06-01,2012.417,36.69
2012-06-04,2012.425,36.85
2012-06-05,2012.428,36.945
2012-06-06,2012.431,38.025
2012-06-07,2012.433,38.26
2012-06-08,2012.436,37.93
2012-06-11,2012.444,37.385
2012-06-12,2012.447,38.16
2012-06-13,2012.45,38.02
2012-06-14,2012.453,38.285
2012-06-15,2012.456,38.99
2012-06-18,2012.464,39.07
2012-06-19,2012.467,39.7
2012-06-20,2012.469,39.57
2012-06-21,2012.472,37.67
2012-06-22,2012.475,37.79
2012-06-25,2012.483,37.085
2012-06-26,2012.486,37.41
2012-06-27,2012.489,37.65
2012-06-28,2012.492,37.47
2012-06-29,2012.494,39.135
2012-07-02,2012.503,39.125
2012-07-03,2012.506,39.91
2012-07-05,2012.511,39.49
2012-07-06,2012.514,38.77
2012-07-09,2012.522,38.63
2012-07-10,2012.525,38.2
2012-07-11,2012.528,38.4
2012-07-12,2012.531,37.76
2012-07-13,2012.533,38.485
2012-07-16,2012.542,38.395
2012-07-17,2012.544,38.91
2012-07-18,2012.547,38.81
2012-07-19,2012.55,39.165
2012-07-20,2012.553,38.585
2012-07-23,2012.561,37.58
2012-07-24,2012.564,37.415
2012-07-25,2012.567,37.6
2012-07-26,2012.569,38.45
2012-07-27,2012.572,39.525
2012-07-30,2012.581,39.3
2012-07-31,2012.583,39.12
2012-08-01,2012.583,39.19
2012-08-02,2012.586,38.73
2012-08-03,2012.589,39.93
2012-08-06,2012.597,40.18
2012-08-07,2012.6,40.29
2012-08-08,2012.603,40.37
2012-08-09,2012.606,40.54
2012-08-10,2012.608,40.73
2012-08-13,2012.617,40.365
2012-08-14,2012.619,40.36
2012-08-15,2012.622,40.3
2012-08-16,2012.625,40.67
2012-08-17,2012.628,40.47
2012-08-20,2012.636,40.45
2012-08-21,2012.639,40.39
2012-08-22,2012.642,40.41
2012-08-23,2012.644,40.04
2012-08-24,2012.647,40.05
2012-08-27,2012.656,39.64
2012-08-28,2012.658,39.56
2012-08-29,2012.661,39.37
2012-08-30,2012.664,38.91
2012-08-31,2012.667,39.28
2012-09-04,2012.675,39.065
2012-09-05,2012.678,38.86
2012-09-06,2012.681,39.725
2012-09-07,2012.683,40.64
2012-09-10,2012.692,40.12
2012-09-11,2012.694,40.6
2012-09-12,2012.697,40.78
2012-09-13,2012.7,41.875
2012-09-14,2012.703,42.37
2012-09-17,2012.711,41.91
2012-09-18,2012.714,41.925
2012-09-19,2012.717,41.93
2012-09-20,2012.719,41.68
2012-09-21,2012.722,41.775
2012-09-24,2012.731,41.74
2012-09-25,2012.733,41.115
2012-09-26,2012.736,40.925
2012-09-27,2012.739,41.58
2012-09-28,2012.742,41.325
2012-10-01,2012.75,41.74
2012-10-02,2012.753,41.8
2012-10-03,2012.756,41.52
2012-10-04,2012.758,41.945
2012-10-05,2012.761,41.95
2012-10-08,2012.769,41.58
2012-10-09,2012.772,41.27
2012-10-10,2012.775,41.02
2012-10-11,2012.778,41.4
2012-10-12,2012.781,41.27
2012-10-15,2012.789,41.51
2012-10-16,2012.792,41.94
2012-10-17,2012.794,42.27
2012-10-18,2012.797,42.155
2012-10-19,2012.8,41.5
2012-10-22,2012.808,41.9
2012-10-23,2012.811,41.04
2012-10-24,2012.814,41.08
2012-10-25,2012.817,41.5
2012-10-26,2012.819,41.21
2012-10-31,2012.833,41.15
2012-11-01,2012.833,41.82
2012-11-02,2012.836,41.6
2012-11-05,2012.844,41.8
2012-11-06,2012.847,42.1301
2012-11-07,2012.85,41.4403
2012-11-08,2012.853,40.92
2012-11-09,2012.856,41
2012-11-12,2012.864,41.155
2012-11-13,2012.867,40.78
2012-11-14,2012.869,40.155
2012-11-15,2012.872,40.29
2012-11-16,2012.875,40.41
2012-11-19,2012.883,41.115
2012-11-20,2012.886,41.035
2012-11-21,2012.889,40.96
2012-11-23,2012.894,41.63
2012-11-26,2012.903,41.635
2012-11-27,2012.906,41.2814
2012-11-28,2012.908,41.51
2012-11-29,2012.911,41.815
2012-11-30,2012.914,41.785
2012-12-03,2012.922,41.77
2012-12-04,2012.925,41.8901
2012-12-05,2012.928,42.3391
2012-12-06,2012.931,42.66
2012-12-07,2012.933,42.785
2012-12-10,2012.942,43.0309
2012-12-11,2012.944,43.25
2012-12-12,2012.947,43.38
2012-12-13,2012.95,43.19
2012-12-14,2012.953,43.38
2012-12-17,2012.961,43.495
2012-12-18,2012.964,43.53
2012-12-19,2012.967,43.51
2012-12-20,2012.969,43.77
2012-12-21,2012.972,43.265
2012-12-24,2012.981,43.18
2012-12-26,2012.986,43.305
2012-12-27,2012.989,43.5431
2012-12-28,2012.992,43.7
2012-12-31,2013,44.35
2013-01-02,2013.003,45.225
2013-01-03,2013.006,44.9024
2013-01-04,2013.008,44.99
2013-01-07,2013.017,44.65
2013-01-08,2013.019,44.25
2013-01-09,2013.022,44.44
2013-01-10,2013.025,44.825
2013-01-11,2013.028,44.47
2013-01-14,2013.036,44.66
2013-01-15,2013.039,44.47
2013-01-16,2013.042,44.43
2013-01-17,2013.044,44.678
2013-01-18,2013.047,44.775
2013-01-22,2013.058,44.705
2013-01-23,2013.061,44.47
2013-01-24,2013.064,44.31
2013-01-25,2013.067,44.16
2013-01-28,2013.075,43.85
2013-01-29,2013.078,44.34
2013-01-30,2013.081,44.13
2013-01-31,2013.083,44.215
2013-02-01,2013.083,44.505
2013-02-04,2013.092,43.92
2013-02-05,2013.094,43.97
2013-02-06,2013.097,43.92
2013-02-07,2013.1,43.53
2013-02-08,2013.103,43.85
2013-02-11,2013.111,43.83
2013-02-12,2013.114,43.95
2013-02-13,2013.117,44.17
2013-02-14,2013.119,44.145
2013-02-15,2013.122,43.99
2013-02-19,2013.133,44.08
2013-02-20,2013.136,43.685
2013-02-21,2013.139,43.09
2013-02-22,2013.142,43.28
2013-02-25,2013.15,42.7
2013-02-26,2013.153,42.94
2013-02-27,2013.156,43.41
2013-02-28,2013.158,43.205
2013-03-01,2013.167,43.31
2013-03-04,2013.175,42.905
2013-03-05,2013.178,43.415
2013-03-06,2013.181,43.63
2013-03-07,2013.183,43.75
2013-03-08,2013.186,44.13
2013-03-11,2013.194,43.89
2013-03-12,2013.197,43.39
2013-03-13,2013.2,42.98
2013-03-14,2013.203,43.16
2013-03-15,2013.206,42.77
2013-03-18,2013.214,42.285
2013-03-19,2013.217,41.99
2013-03-20,2013.219,42.231
2013-03-21,2013.222,41.8
2013-03-22,2013.225,41.96
2013-03-25,2013.233,41.92
2013-03-26,2013.236,42.52
2013-03-27,2013.239,42.68
2013-03-28,2013.242,42.77
2013-04-01,2013.25,42.31
2013-04-02,2013.253,42.325
2013-04-03,2013.256,41.83
2013-04-04,2013.258,41.709
2013-04-05,2013.261,41.61
2013-04-08,2013.269,41.68
2013-04-09,2013.272,42.09
2013-04-10,2013.275,42.495
2013-04-11,2013.278,42.525
