Date,t,Close
2012-07-24,2012.564,12362.51
2012-07-25,2012.567,12506.74
2012-07-26,2012.569,13210.04
2012-07-27,2012.572,13596.88
2012-07-30,2012.581,13978.04
2012-07-31,2012.583,13890.99
2012-08-01,2012.583,13928.59
2012-08-02,2012.586,13282.55
2012-08-03,2012.589,14124.89
2012-08-06,2012.597,14342.03
2012-08-07,2012.6,14655.64
2012-08-08,2012.603,14665.3
2012-08-09,2012.606,14654.11
2012-08-10,2012.608,14548.64
2012-08-13,2012.617,14532.87
2012-08-14,2012.619,14656.87
2012-08-16,2012.625,14930.3
2012-08-17,2012.628,15124.69
2012-08-20,2012.636,14971.88
2012-08-21,2012.639,15330.46
2012-08-22,2012.642,15161.18
2012-08-23,2012.644,14953.76
2012-08-24,2012.647,14880.68
2012-08-27,2012.656,15012.87
2012-08-28,2012.658,14993.01
2012-08-29,2012.661,14943.57
2012-08-30,2012.664,14780.55
2012-08-31,2012.667,15100.48
2012-09-03,2012.672,15267.17
2012-09-04,2012.675,15222.63
2012-09-05,2012.678,15128.08
2012-09-06,2012.681,15780.32
2012-09-07,2012.683,16110.27
2012-09-10,2012.692,16092.06
2012-09-11,2012.694,16226.66
2012-09-12,2012.697,16419.79
2012-09-13,2012.7,16244.28
2012-09-14,2012.703,16624.45
2012-09-17,2012.711,16470.09
2012-09-18,2012.714,16076.03
2012-09-19,2012.717,16100.23
2012-09-20,2012.719,15830.28
2012-09-21,2012.722,15991.1
2012-09-24,2012.731,15867.07
2012-09-25,2012.733,15932.6
2012-09-26,2012.736,15408.03
2012-09-27,2012.739,15450.14
2012-09-28,2012.742,15095.84
2012-10-01,2012.75,15523.1
2012-10-02,2012.753,15495.79
2012-10-03,2012.756,15535.09
2012-10-04,2012.758,15511.25
2012-10-05,2012.761,15876.25
2012-10-08,2012.769,15562
2012-10-09,2012.772,15504.65
2012-10-10,2012.775,15440.63
2012-10-11,2012.778,15634.45
2012-10-12,2012.781,15511.94
2012-10-15,2012.789,15590.72
2012-10-16,2012.792,15985.16
2012-10-17,2012.794,16233.84
2012-10-18,2012.797,16185.45
2012-10-19,2012.8,15862.31
2012-10-22,2012.808,15866.78
2012-10-23,2012.811,15578.95
2012-10-24,2012.814,15706.56
2012-10-25,2012.817,15528.47
2012-10-26,2012.819,15584.86
2012-10-29,2012.828,15349.12
2012-10-30,2012.831,15521.77
2012-10-31,2012.833,15539.71
2012-11-01,2012.833,15806.73
2012-11-02,2012.836,15769.28
2012-11-05,2012.844,15544.4
