Date,t,Close
2012-07-24,2012.564,5956.3
2012-07-25,2012.567,6004.9
2012-07-26,2012.569,6368.8
2012-07-27,2012.572,6617.6
2012-07-30,2012.581,6801.8
2012-07-31,2012.583,6738.1
2012-08-01,2012.583,6720
2012-08-02,2012.586,6373.4
2012-08-03,2012.589,6755.7
2012-08-06,2012.597,7053.6
2012-08-07,2012.6,7211.1
2012-08-08,2012.603,7150.2
2012-08-09,2012.606,7110.2
2012-08-10,2012.608,7047.7
2012-08-13,2012.617,7069.6
2012-08-14,2012.619,7124.8
2012-08-15,2012.622,7128.9
2012-08-16,2012.625,7417.3
2012-08-17,2012.628,7561
2012-08-20,2012.636,7469.6
2012-08-21,2012.639,7544.5
2012-08-22,2012.642,7340.7
2012-08-23,2012.644,7282.9
2012-08-24,2012.647,7310.3
2012-08-27,2012.656,7398.9
2012-08-28,2012.658,7333.5
2012-08-29,2012.661,7306
2012-08-30,2012.664,7195
2012-08-31,2012.667,7420.5
2012-09-03,2012.672,7434.2
2012-09-04,2012.675,7488.2
2012-09-05,2012.678,7494
2012-09-06,2012.681,7862
2012-09-07,2012.683,7882.8
2012-09-10,2012.692,7857.7
2012-09-11,2012.694,7930.4
2012-09-12,2012.697,7992.1
2012-09-13,2012.7,7935.9
2012-09-14,2012.703,8154.5
2012-09-17,2012.711,8148
2012-09-18,2012.714,8058.3
2012-09-19,2012.717,8098.8
2012-09-20,2012.719,8022.1
2012-09-21,2012.722,8230.7
2012-09-24,2012.731,8138.4
2012-09-25,2012.733,8175
2012-09-26,2012.736,7854.4
2012-09-27,2012.739,7842.3
2012-09-28,2012.742,7708.5
2012-10-01,2012.75,7784.1
2012-10-02,2012.753,7867.1
2012-10-03,2012.756,7826.7
2012-10-04,2012.758,7812.8
2012-10-05,2012.761,7954.4
2012-10-08,2012.769,7891
2012-10-09,2012.772,7745.4
2012-10-10,2012.775,7668
2012-10-11,2012.778,7734.7
2012-10-12,2012.781,7652.4
2012-10-15,2012.789,7678.5
2012-10-16,2012.792,7940.2
2012-10-17,2012.794,8128.2
2012-10-18,2012.797,8100.3
2012-10-19,2012.8,7913.4
2012-10-22,2012.808,7877.1
2012-10-23,2012.811,7747.7
2012-10-24,2012.814,7791.5
2012-10-25,2012.817,7779.2
2012-10-26,2012.819,7775.6
2012-10-29,2012.828,7728.6
2012-10-30,2012.831,7833.9
2012-10-31,2012.833,7842.9
2012-11-01,2012.833,7886.4
2012-11-02,2012.836,7968.9
2012-11-05,2012.844,7818.6
2012-11-06,2012.847,7837.6
2012-11-07,2012.85,7660.7
2012-11-08,2012.853,7624.1
2012-11-09,2012.856,7636.6
2012-11-12,2012.864,7567.8
2012-11-13,2012.867,7693.4
2012-11-14,2012.869,7673
2012-11-15,2012.872,7695.5
2012-11-16,2012.875,7588.2
2012-11-19,2012.883,7763.8
2012-11-20,2012.886,7778.7
2012-11-21,2012.889,7805.4
2012-11-22,2012.892,7875.6
2012-11-23,2012.894,7909.6
2012-11-26,2012.903,7874.8
2012-11-27,2012.906,7863.7
2012-11-28,2012.908,7837.6
2012-11-29,2012.911,7973.7
2012-11-30,2012.914,7934.6
2012-12-03,2012.922,7889.2
2012-12-04,2012.925,7902.4
2012-12-05,2012.928,7883.2
2012-12-06,2012.931,7910.8
2012-12-07,2012.933,7848.5
2012-12-10,2012.942,7804.4
2012-12-11,2012.944,7920.9
2012-12-12,2012.947,7986.8
2012-12-13,2012.95,8017.1
2012-12-14,2012.953,8024.1
2012-12-17,2012.961,8040.3
2012-12-18,2012.964,8168.8
2012-12-19,2012.967,8264.2
2012-12-20,2012.969,8264.2
2012-12-21,2012.972,8291
2012-12-24,2012.981,8299.5
2012-12-27,2012.989,8280.9
2012-12-28,2012.992,8131
2012-12-31,2013,8167.5
2013-01-02,2013.003,8447.6
2013-01-03,2013.006,8403.4
2013-01-04,2013.008,8435.8
2013-01-07,2013.017,8419
2013-01-08,2013.019,8453
2013-01-09,2013.022,8606.4
2013-01-10,2013.025,8618.9
2013-01-11,2013.028,8664.7
2013-01-14,2013.036,8632.1
2013-01-15,2013.039,8601
2013-01-16,2013.042,8581.1
2013-01-17,2013.044,8628.9
2013-01-18,2013.047,8604
2013-01-21,2013.056,8665.9
2013-01-22,2013.058,8632.1
2013-01-23,2013.061,8613.3
2013-01-24,2013.064,8665.6
2013-01-25,2013.067,8724.6
2013-01-28,2013.075,8672.5
2013-01-29,2013.078,8643
2013-01-30,2013.081,8571.9
2013-01-31,2013.083,8362.3
2013-02-01,2013.083,8229.7
2013-02-04,2013.092,7919.6
2013-02-05,2013.094,8093.6
2013-02-06,2013.097,8056.2
2013-02-07,2013.1,8014.6
2013-02-08,2013.103,8174.9
2013-02-11,2013.111,8078.6
2013-02-12,2013.114,8234.7
2013-02-13,2013.117,8306.2
2013-02-14,2013.119,8247.4
2013-02-15,2013.122,8150.2
2013-02-18,2013.131,8108.9
2013-02-19,2013.133,8225.3
2013-02-20,2013.136,8163
2013-02-21,2013.139,8014.5
2013-02-22,2013.142,8179
2013-02-25,2013.15,8244.5
2013-02-26,2013.153,7980.7
2013-02-27,2013.156,8136.7
2013-02-28,2013.158,8230.3
2013-03-01,2013.167,8187.1
2013-03-04,2013.175,8246.3
2013-03-05,2013.178,8423.3
2013-03-06,2013.181,8358.9
2013-03-07,2013.183,8389.1
2013-03-08,2013.186,8628.1
2013-03-11,2013.194,8554.4
2013-03-12,2013.197,8532.3
2013-03-13,2013.2,8498.3
2013-03-14,2013.203,8657.9
2013-03-15,2013.206,8619.1
2013-03-18,2013.214,8507.8
2013-03-19,2013.217,8321
2013-03-20,2013.219,8416.3
2013-03-21,2013.222,8351.2
2013-03-22,2013.225,8329.5
2013-03-25,2013.233,8140.6
2013-03-26,2013.236,7990.5
2013-03-27,2013.239,7900.4
2013-03-28,2013.242,7920
2013-04-02,2013.253,8050.4
2013-04-03,2013.256,7904.3
2013-04-04,2013.258,7847.9
2013-04-05,2013.261,7798.4
2013-04-08,2013.269,7787.1
2013-04-09,2013.272,7872.5
2013-04-10,2013.275,8136.4
2013-04-11,2013.278,8159.5
2013-04-12,2013.281,8040.4
2013-04-15,2013.289,8014.1
2013-04-16,2013.292,7948.7
2013-04-17,2013.294,7803
2013-04-18,2013.297,7812.5
2013-04-19,2013.3,7915.5
2013-04-22,2013.308,8027.7
2013-04-23,2013.311,8289.3
2013-04-24,2013.314,8389.3
2013-04-25,2013.317,8365.1
2013-04-26,2013.319,8297
2013-04-29,2013.328,8450.9
2013-04-30,2013.331,8419
2013-05-02,2013.336,8406.4
2013-05-03,2013.339,8544.8
2013-05-06,2013.347,8503.8
2013-05-07,2013.35,8544
2013-05-08,2013.353,8597
2013-05-09,2013.356,8572.7
2013-05-10,2013.358,8544.5
2013-05-13,2013.367,8457.8
2013-05-14,2013.369,8474.6
2013-05-15,2013.372,8582.5
2013-05-16,2013.375,8542.3
2013-05-17,2013.378,8582.4
2013-05-20,2013.386,8515.2
2013-05-21,2013.389,8464.5
2013-05-22,2013.392,8462.4
2013-05-23,2013.394,8343.6
2013-05-24,2013.397,8264.6
2013-05-27,2013.406,8363.6
2013-05-28,2013.408,8511.3
2013-05-29,2013.411,8441.7
2013-05-30,2013.414,8433.5
2013-05-31,2013.417,8320.6
2013-06-03,2013.422,8284.4
2013-06-04,2013.425,8363
2013-06-05,2013.428,8290.7
2013-06-06,2013.431,8216.7
2013-06-07,2013.433,8266.6
2013-06-10,2013.442,8227.4
2013-06-11,2013.444,8089.3
2013-06-12,2013.447,8123.8
2013-06-13,2013.45,8071.7
2013-06-14,2013.453,8070.9
2013-06-17,2013.461,8136.3
2013-06-18,2013.464,8180.2
2013-06-19,2013.467,8098.3
2013-06-20,2013.469,7822.1
2013-06-21,2013.472,7700.2
2013-06-24,2013.481,7553.2
2013-06-25,2013.483,7607.7
2013-06-26,2013.486,7823
2013-06-27,2013.489,7844.4
2013-06-28,2013.492,7762.7
2013-07-01,2013.5,7907.1
2013-07-02,2013.503,7886.6
2013-07-03,2013.506,7763.8
2013-07-04,2013.508,8002
2013-07-05,2013.511,7868.4
2013-07-08,2013.519,8017.6
2013-07-09,2013.522,8014.8
2013-07-10,2013.525,7995
2013-07-11,2013.528,8030.7
2013-07-12,2013.531,7844.7
2013-07-15,2013.539,7855.1
2013-07-16,2013.542,7798.2
2013-07-17,2013.544,7812.7
2013-07-18,2013.547,7957.3
2013-07-19,2013.55,7943.2
2013-07-22,2013.558,7966
2013-07-23,2013.561,8073.7
2013-07-24,2013.564,8192.5
2013-07-25,2013.567,8282.1
2013-07-26,2013.569,8353.6
2013-07-29,2013.578,8376.1
2013-07-30,2013.581,8456.5
2013-07-31,2013.583,8433.4
2013-08-01,2013.583,8540.2
2013-08-02,2013.586,8574
2013-08-05,2013.594,8560.8
2013-08-06,2013.597,8529.5
2013-08-07,2013.6,8574.1
2013-08-08,2013.603,8671.8
2013-08-09,2013.606,8735.5
2013-08-12,2013.614,8717.7
2013-08-13,2013.617,8758.5
2013-08-14,2013.619,8789.3
2013-08-15,2013.622,8737.6
2013-08-16,2013.625,8821.3
2013-08-19,2013.633,8657.1
