Date,t,Close
2011-10-03,2011.756,10655.3
2011-10-04,2011.758,10808.71
2011-10-05,2011.761,10939.95
2011-10-06,2011.764,11123.33
2011-10-07,2011.767,11103.12
2011-10-10,2011.775,11433.18
2011-10-11,2011.778,11416.3
2011-10-12,2011.781,11518.85
2011-10-13,2011.783,11478.13
2011-10-14,2011.786,11644.49
2011-10-17,2011.794,11397
2011-10-18,2011.797,11577.05
2011-10-19,2011.8,11504.62
2011-10-20,2011.803,11541.78
2011-10-21,2011.806,11808.79
2011-10-24,2011.814,11913.62
2011-10-25,2011.817,11706.62
2011-10-26,2011.819,11869.04
2011-10-27,2011.822,12208.55
2011-10-28,2011.825,12231.11
2011-10-31,2011.833,11955.01
2011-11-01,2011.833,11657.96
2011-11-02,2011.836,11836.04
2011-11-03,2011.839,12044.47
2011-11-04,2011.842,11983.24
2011-11-07,2011.85,12068.39
2011-11-08,2011.853,12170.18
2011-11-09,2011.856,11780.94
2011-11-10,2011.858,11893.79
2011-11-11,2011.861,12153.68
2011-11-14,2011.869,12078.98
2011-11-15,2011.872,12096.16
2011-11-16,2011.875,11905.59
2011-11-17,2011.878,11770.73
2011-11-18,2011.881,11796.16
2011-11-21,2011.889,11547.31
2011-11-22,2011.892,11493.72
2011-11-23,2011.894,11257.55
2011-11-25,2011.9,11231.78
2011-11-28,2011.908,11523.01
2011-11-29,2011.911,11555.63
2011-11-30,2011.914,12045.68
2011-12-01,2011.917,12020.03
2011-12-02,2011.919,12019.42
2011-12-05,2011.928,12097.83
2011-12-06,2011.931,12150.13
2011-12-07,2011.933,12196.37
2011-12-08,2011.936,11997.7
2011-12-09,2011.939,12184.26
2011-12-12,2011.947,12021.39
2011-12-13,2011.95,11954.94
2011-12-14,2011.953,11823.48
2011-12-15,2011.956,11868.81
2011-12-16,2011.958,11866.39
2011-12-19,2011.967,11766.26
2011-12-20,2011.969,12103.58
2011-12-21,2011.972,12107.74
2011-12-22,2011.975,12169.65
2011-12-23,2011.978,12294
2011-12-27,2011.989,12291.35
2011-12-28,2011.992,12151.41
2011-12-29,2011.994,12287.04
2011-12-30,2011.997,12217.56
2012-01-03,2012.006,12397.38
2012-01-04,2012.008,12418.42
2012-01-05,2012.011,12415.7
2012-01-06,2012.014,12359.92
2012-01-09,2012.022,12392.69
2012-01-10,2012.025,12462.47
2012-01-11,2012.028,12449.45
2012-01-12,2012.031,12471.02
2012-01-13,2012.033,12422.06
2012-01-17,2012.044,12482.07
2012-01-18,2012.047,12578.95
2012-01-19,2012.05,12623.98
2012-01-20,2012.053,12720.48
2012-01-23,2012.061,12708.82
2012-01-24,2012.064,12675.75
2012-01-25,2012.067,12756.96
2012-01-26,2012.069,12734.63
2012-01-27,2012.072,12660.46
2012-01-30,2012.081,12653.72
2012-01-31,2012.083,12632.91
2012-02-01,2012.083,12716.46
2012-02-02,2012.086,12705.41
2012-02-03,2012.089,12862.23
2012-02-06,2012.097,12845.13
2012-02-07,2012.1,12878.2
2012-02-08,2012.103,12883.95
2012-02-09,2012.106,12890.46
2012-02-10,2012.108,12801.23
2012-02-13,2012.117,12874.04
2012-02-14,2012.119,12878.28
2012-02-15,2012.122,12780.95
2012-02-16,2012.125,12904.08
2012-02-17,2012.128,12949.87
2012-02-21,2012.139,12965.69
2012-02-22,2012.142,12938.67
2012-02-23,2012.144,12984.69
2012-02-24,2012.147,12982.95
2012-02-27,2012.156,12981.51
2012-02-28,2012.158,13005.12
2012-02-29,2012.161,12952.07
2012-03-01,2012.167,12980.3
2012-03-02,2012.169,12977.57
2012-03-05,2012.178,12962.81
2012-03-06,2012.181,12759.15
2012-03-07,2012.183,12837.33
2012-03-08,2012.186,12907.94
2012-03-09,2012.189,12922.02
2012-03-12,2012.197,12959.71
2012-03-13,2012.2,13177.68
2012-03-14,2012.203,13194.1
2012-03-15,2012.206,13252.76
2012-03-16,2012.208,13232.62
2012-03-19,2012.217,13239.13
2012-03-20,2012.219,13170.19
2012-03-21,2012.222,13124.62
2012-03-22,2012.225,13046.14
2012-03-23,2012.228,13080.73
2012-03-26,2012.236,13241.63
2012-03-27,2012.239,13197.73
2012-03-28,2012.242,13126.21
2012-03-29,2012.244,13145.82
2012-03-30,2012.247,13212.04
2012-04-02,2012.253,13264.49
2012-04-03,2012.256,13199.55
2012-04-04,2012.258,13074.75
2012-04-05,2012.261,13060.14
2012-04-09,2012.272,12929.59
2012-04-10,2012.275,12715.93
2012-04-11,2012.278,12805.39
2012-04-12,2012.281,12986.58
2012-04-13,2012.283,12849.59
2012-04-16,2012.292,12921.41
2012-04-17,2012.294,13115.54
2012-04-18,2012.297,13032.75
2012-04-19,2012.3,12964.1
2012-04-20,2012.303,13029.26
2012-04-23,2012.311,12927.17
2012-04-24,2012.314,13001.56
2012-04-25,2012.317,13090.72
2012-04-26,2012.319,13204.62
2012-04-27,2012.322,13228.31
2012-04-30,2012.331,13213.63
2012-05-01,2012.333,13279.32
2012-05-02,2012.336,13268.57
2012-05-03,2012.339,13206.59
2012-05-04,2012.342,13038.27
2012-05-07,2012.35,13008.53
2012-05-08,2012.353,12932.09
2012-05-09,2012.356,12835.06
2012-05-10,2012.358,12855.04
2012-05-11,2012.361,12820.6
2012-05-14,2012.369,12695.35
2012-05-15,2012.372,12632
2012-05-16,2012.375,12598.55
2012-05-17,2012.378,12442.49
2012-05-18,2012.381,12369.38
2012-05-21,2012.389,12504.48
2012-05-22,2012.392,12502.81
2012-05-23,2012.394,12496.15
2012-05-24,2012.397,12529.75
2012-05-25,2012.4,12454.83
2012-05-29,2012.411,12580.69
2012-05-30,2012.414,12419.86
2012-05-31,2012.417,12393.45
2012-06-01,2012.417,12118.57
2012-06-04,2012.425,12101.46
2012-06-05,2012.428,12127.95
2012-06-06,2012.431,12414.79
2012-06-07,2012.433,12460.96
2012-06-08,2012.436,12554.2
2012-06-11,2012.444,12411.23
2012-06-12,2012.447,12573.8
2012-06-13,2012.45,12496.38
2012-06-14,2012.453,12651.91
2012-06-15,2012.456,12767.17
2012-06-18,2012.464,12741.82
2012-06-19,2012.467,12837.33
2012-06-20,2012.469,12824.39
2012-06-21,2012.472,12573.57
2012-06-22,2012.475,12640.78
2012-06-25,2012.483,12502.66
2012-06-26,2012.486,12534.67
2012-06-27,2012.489,12627.01
2012-06-28,2012.492,12602.26
2012-06-29,2012.494,12880.09
2012-07-02,2012.503,12871.39
2012-07-03,2012.506,12943.82
2012-07-05,2012.511,12896.67
2012-07-06,2012.514,12772.47
2012-07-09,2012.522,12736.29
2012-07-10,2012.525,12653.12
2012-07-11,2012.528,12604.53
2012-07-12,2012.531,12573.27
2012-07-13,2012.533,12777.09
2012-07-16,2012.542,12727.21
2012-07-17,2012.544,12805.54
2012-07-18,2012.547,12908.7
2012-07-19,2012.55,12943.36
2012-07-20,2012.553,12822.57
2012-07-23,2012.561,12721.46
2012-07-24,2012.564,12617.32
2012-07-25,2012.567,12676.05
2012-07-26,2012.569,12887.93
2012-07-27,2012.572,13075.66
2012-07-30,2012.581,13073.01
2012-07-31,2012.583,13008.68
2012-08-01,2012.583,12971.06
2012-08-02,2012.586,12878.88
2012-08-03,2012.589,13096.17
2012-08-06,2012.597,13117.51
2012-08-07,2012.6,13168.6
2012-08-08,2012.603,13175.64
2012-08-09,2012.606,13165.19
2012-08-10,2012.608,13207.95
2012-08-13,2012.617,13169.43
2012-08-14,2012.619,13172.14
2012-08-15,2012.622,13164.78
2012-08-16,2012.625,13250.11
2012-08-17,2012.628,13275.2
2012-08-20,2012.636,13271.64
2012-08-21,2012.639,13203.58
2012-08-22,2012.642,13172.76
2012-08-23,2012.644,13057.46
2012-08-24,2012.647,13157.97
2012-08-27,2012.656,13124.67
2012-08-28,2012.658,13102.99
2012-08-29,2012.661,13107.48
