Date,t,Close
2012-11-16,2012.875,947.81
2012-11-19,2012.883,969.98
2012-11-20,2012.886,968.44
2012-11-21,2012.889,970.32
2012-11-23,2012.894,966.46
2012-11-26,2012.903,989.44
2012-11-27,2012.906,980.97
2012-11-28,2012.908,1011.49
2012-11-29,2012.911,1072.76
2012-11-30,2012.914,1058.96
2012-12-03,2012.922,1054.24
2012-12-04,2012.925,1070.37
2012-12-05,2012.928,1069.67
2012-12-06,2012.931,1065.97
2012-12-07,2012.933,1092.65
2012-12-10,2012.942,1152.64
2012-12-11,2012.944,1173.23
2012-12-12,2012.947,1196.2
2012-12-13,2012.95,1191.69
2012-12-14,2012.953,1250.84
2012-12-17,2012.961,1262.76
2012-12-18,2012.964,1330.34
2012-12-19,2012.967,1301.1
2012-12-20,2012.969,1293.19
2012-12-21,2012.972,1245.35
2012-12-24,2012.981,1250.27
2012-12-26,2012.986,1244.26
2012-12-27,2012.989,1281.22
2012-12-28,2012.992,1242.99
2012-12-31,2013,1253.17
2013-01-02,2013.003,1312.33
2013-01-03,2013.006,1315.07
2013-01-04,2013.008,1308.77
2013-01-07,2013.017,1324.49
2013-01-08,2013.019,1335.11
2013-01-09,2013.022,1331.66
2013-01-10,2013.025,1325.49
2013-01-11,2013.028,1321.25
2013-01-14,2013.036,1333.16
2013-01-15,2013.039,1322.65
2013-01-16,2013.042,1332.2
2013-01-17,2013.044,1355.86
2013-01-18,2013.047,1370.43
2013-01-22,2013.058,1386.58
2013-01-23,2013.061,1384.55
2013-01-24,2013.064,1390.41
2013-01-25,2013.067,1396.09
2013-01-28,2013.075,1408.2
2013-01-29,2013.078,1473.32
2013-01-30,2013.081,1453.84
2013-01-31,2013.083,1462.49
2013-02-01,2013.083,1485.52
2013-02-04,2013.092,1453.33
2013-02-05,2013.094,1458.27
2013-02-06,2013.097,1462.88
2013-02-07,2013.1,1462.8
2013-02-08,2013.103,1447.45
2013-02-11,2013.111,1434.23
2013-02-12,2013.114,1432.96
2013-02-13,2013.117,1446.93
2013-02-14,2013.119,1438.15
2013-02-15,2013.122,1429.3
2013-02-19,2013.133,1417.45
2013-02-20,2013.136,1383.6
2013-02-21,2013.139,1331.42
2013-02-22,2013.142,1332.46
2013-02-25,2013.15,1299.92
2013-02-26,2013.153,1303.36
2013-02-27,2013.156,1326.86
2013-02-28,2013.158,1158.18
2013-03-01,2013.167,1207.13
2013-03-04,2013.175,1283.04
2013-03-05,2013.178,1297.47
2013-03-06,2013.181,1299.02
2013-03-07,2013.183,1318.05
