Date,t,Close
2011-11-23,2011.894,78.81
2011-11-24,2011.897,80.52
2011-11-25,2011.9,80.88
2011-11-28,2011.908,85.25
2011-11-29,2011.911,85.86
2011-11-30,2011.914,89.97
2011-12-01,2011.917,88.55
2011-12-02,2011.919,90.5
2011-12-05,2011.928,91.6
2011-12-06,2011.931,91.43
2011-12-07,2011.933,91.59
2011-12-09,2011.939,90.28
2011-12-12,2011.947,87.16
2011-12-13,2011.95,87.24
2011-12-14,2011.953,85.64
2011-12-15,2011.956,86.91
2011-12-16,2011.958,87.97
2011-12-19,2011.967,87.52
2011-12-20,2011.969,90.38
2011-12-21,2011.972,90.47
2011-12-22,2011.975,92.82
2011-12-23,2011.978,92.67
2011-12-27,2011.989,93.29
2011-12-28,2011.992,92.62
2011-12-29,2011.994,92.94
2012-01-02,2012.003,95.38
2012-01-03,2012.006,95.84
2012-01-04,2012.008,94.61
2012-01-05,2012.011,92.03
2012-01-09,2012.022,90.31
2012-01-10,2012.025,92.21
2012-01-11,2012.028,92.41
2012-01-12,2012.031,93.57
2012-01-13,2012.033,93.68
2012-01-16,2012.042,93.89
2012-01-17,2012.044,95.59
2012-01-18,2012.047,95.76
2012-01-19,2012.05,98.14
2012-01-20,2012.053,98.7
2012-01-23,2012.061,102.82
2012-01-24,2012.064,100.68
2012-01-25,2012.067,101.25
2012-01-26,2012.069,105.39
2012-01-27,2012.072,104.47
2012-01-30,2012.081,101.46
2012-01-31,2012.083,101.65
2012-02-01,2012.083,105.1
2012-02-02,2012.086,107.11
2012-02-03,2012.089,109.24
2012-02-06,2012.097,109.57
2012-02-07,2012.1,110.24
2012-02-08,2012.103,110.22
2012-02-09,2012.106,110.63
2012-02-10,2012.108,106.69
2012-02-13,2012.117,108.23
2012-02-14,2012.119,106.61
2012-02-15,2012.122,106.96
2012-02-16,2012.125,106.72
2012-02-17,2012.128,108.52
2012-02-20,2012.136,110.41
2012-02-21,2012.139,109.25
2012-02-22,2012.142,107.77
2012-02-23,2012.144,107.61
2012-02-24,2012.147,109.23
2012-02-27,2012.156,108.35
2012-02-28,2012.158,108.43
2012-02-29,2012.161,108.02
2012-03-01,2012.167,110.3
2012-03-02,2012.169,110.32
2012-03-05,2012.178,108.88
2012-03-06,2012.181,104.37
2012-03-07,2012.183,104.9
2012-03-08,2012.186,106.58
2012-03-09,2012.189,106.7
2012-03-12,2012.197,105.73
2012-03-13,2012.2,107.66
2012-03-14,2012.203,108.06
2012-03-15,2012.206,109.14
2012-03-16,2012.208,110.03
2012-03-19,2012.217,110.52
2012-03-20,2012.219,109.56
2012-03-21,2012.222,108.99
2012-03-22,2012.225,107.25
2012-03-23,2012.228,107.53
2012-03-26,2012.236,108.46
2012-03-27,2012.239,108.07
2012-03-28,2012.242,106.41
2012-03-29,2012.244,104.67
2012-03-30,2012.247,105.51
2012-04-02,2012.253,105.08
2012-04-03,2012.256,104.37
2012-04-04,2012.258,101.68
2012-04-05,2012.261,99.64
2012-04-10,2012.275,97.32
2012-04-11,2012.278,99.59
2012-04-12,2012.281,101.2
2012-04-13,2012.283,98.84
2012-04-16,2012.292,98.52
2012-04-17,2012.294,99.98
2012-04-18,2012.297,97.89
2012-04-19,2012.3,97.15
2012-04-20,2012.303,98.77
2012-04-23,2012.311,96.76
2012-04-24,2012.314,98.71
2012-04-25,2012.317,99.93
2012-04-26,2012.319,100.29
2012-04-27,2012.322,101.24
2012-04-30,2012.331,101.72
2012-05-02,2012.336,100.93
2012-05-03,2012.339,100.43
2012-05-04,2012.342,99.63
2012-05-07,2012.35,101.35
2012-05-08,2012.353,100.15
2012-05-09,2012.356,97.2
2012-05-10,2012.358,98.17
2012-05-11,2012.361,97.83
2012-05-14,2012.369,94.12
2012-05-15,2012.372,90.85
2012-05-16,2012.375,90.11
2012-05-18,2012.381,89.57
2012-05-21,2012.389,90.55
2012-05-22,2012.392,92.86
2012-05-23,2012.394,90.31
2012-05-24,2012.397,90.91
2012-05-25,2012.4,89.72
2012-05-29,2012.411,89.59
2012-05-30,2012.414,86.89
2012-05-31,2012.417,87.44
2012-06-01,2012.417,85.72
2012-06-04,2012.425,85.77
2012-06-05,2012.428,86.79
2012-06-06,2012.431,87.97
2012-06-08,2012.436,88.44
2012-06-11,2012.444,88.52
2012-06-12,2012.447,87.63
2012-06-13,2012.45,87.78
2012-06-14,2012.453,88.23
2012-06-15,2012.456,90.08
2012-06-18,2012.464,89.48
2012-06-19,2012.467,91.87
2012-06-20,2012.469,92.41
2012-06-21,2012.472,90.94
2012-06-22,2012.475,88.99
2012-06-25,2012.483,87.61
2012-06-26,2012.486,86.41
2012-06-27,2012.489,87.83
2012-06-28,2012.492,87.73
2012-06-29,2012.494,92.22
2012-07-02,2012.503,93.79
2012-07-03,2012.506,94.28
2012-07-04,2012.508,94.1
2012-07-05,2012.511,93.03
2012-07-06,2012.514,90.77
2012-07-09,2012.522,90.37
2012-07-10,2012.525,91.3
2012-07-11,2012.528,91.09
2012-07-12,2012.531,89.86
2012-07-13,2012.533,91.29
2012-07-16,2012.542,91.17
2012-07-17,2012.544,91.45
2012-07-18,2012.547,92.17
2012-07-19,2012.55,92.89
2012-07-20,2012.553,90.13
2012-07-23,2012.561,87.33
2012-07-24,2012.564,87.09
2012-07-25,2012.567,87.64
2012-07-26,2012.569,91.3
2012-07-27,2012.572,92.03
2012-07-30,2012.581,94.21
2012-07-31,2012.583,94.05
2012-08-01,2012.583,93
2012-08-02,2012.586,90.45
2012-08-03,2012.589,93.57
2012-08-06,2012.597,95.11
2012-08-07,2012.6,95.63
2012-08-08,2012.603,95.57
2012-08-09,2012.606,95.93
2012-08-10,2012.608,95.29
2012-08-13,2012.617,95.28
2012-08-14,2012.619,95.58
2012-08-16,2012.625,96.84
2012-08-17,2012.628,97.92
2012-08-20,2012.636,96.44
2012-08-21,2012.639,96.86
2012-08-22,2012.642,95.85
2012-08-23,2012.644,94.97
2012-08-24,2012.647,93.58
2012-08-27,2012.656,94.46
2012-08-28,2012.658,93.43
2012-08-29,2012.661,93.48
2012-08-30,2012.664,91.77
2012-08-31,2012.667,93.38
2012-09-03,2012.672,93.5
2012-09-04,2012.675,93.18
2012-09-05,2012.678,93.88
2012-09-06,2012.681,97.38
2012-09-07,2012.683,98.19
2012-09-10,2012.692,98.2
2012-09-11,2012.694,99.07
2012-09-12,2012.697,100.23
2012-09-13,2012.7,99.34
2012-09-14,2012.703,103.72
2012-09-17,2012.711,103.07
2012-09-18,2012.714,101.44
2012-09-19,2012.717,101.31
2012-09-20,2012.719,100.09
2012-09-21,2012.722,100.61
2012-09-24,2012.731,99.84
2012-09-25,2012.733,99.48
2012-09-26,2012.736,97.31
2012-09-27,2012.739,98.07
2012-09-28,2012.742,97.14
2012-10-01,2012.75,99.19
2012-10-02,2012.753,98.99
2012-10-03,2012.756,99.69
2012-10-04,2012.758,100.03
2012-10-05,2012.761,101.16
2012-10-08,2012.769,99.87
2012-10-09,2012.772,99.2
2012-10-10,2012.775,99.25
2012-10-11,2012.778,101.11
2012-10-12,2012.781,100.37
2012-10-15,2012.789,101.27
2012-10-16,2012.792,102.88
2012-10-17,2012.794,104.58
2012-10-18,2012.797,104.59
2012-10-19,2012.8,102.72
2012-10-22,2012.808,102.67
2012-10-23,2012.811,100.19
2012-10-24,2012.814,100.14
2012-10-25,2012.817,99.99
2012-10-29,2012.828,99.72
2012-10-30,2012.831,101.97
2012-10-31,2012.833,102.34
2012-11-02,2012.836,104.4
2012-11-05,2012.844,104.06
2012-11-06,2012.847,104.62
2012-11-07,2012.85,103.04
2012-11-08,2012.853,101.58
2012-11-09,2012.856,102.01
2012-11-12,2012.864,102.03
2012-11-13,2012.867,101.74
2012-11-14,2012.869,101.79
2012-11-15,2012.872,101.52
2012-11-16,2012.875,100.77
2012-11-19,2012.883,102.88
2012-11-20,2012.886,103.09
2012-11-21,2012.889,102.66
2012-11-22,2012.892,103.59
2012-11-23,2012.894,105.01
2012-11-26,2012.903,105.23
2012-11-27,2012.906,105.91
2012-11-28,2012.908,105.47
2012-11-29,2012.911,107.3
2012-11-30,2012.914,107.53
2012-12-03,2012.922,107.62
2012-12-04,2012.925,107.16
2012-12-05,2012.928,108.03
2012-12-06,2012.931,109.22
2012-12-07,2012.933,108.46
2012-12-10,2012.942,108.87
2012-12-11,2012.944,109.89
2012-12-12,2012.947,110.34
2012-12-13,2012.95,111.15
2012-12-14,2012.953,110.94
2012-12-17,2012.961,111.02
2012-12-18,2012.964,112.88
2012-12-19,2012.967,113.87
2012-12-20,2012.969,112.85
2012-12-21,2012.972,112.42
2012-12-27,2012.989,112.97
2012-12-28,2012.992,112.2
2013-01-02,2013.003,115.9
2013-01-03,2013.006,116.51
2013-01-04,2013.008,116.17
2013-01-07,2013.017,116.15
2013-01-08,2013.019,116.19
2013-01-09,2013.022,116.72
2013-01-10,2013.025,115.9
2013-01-11,2013.028,115.4
2013-01-14,2013.036,114.94
2013-01-15,2013.039,114.66
2013-01-16,2013.042,114.36
2013-01-17,2013.044,115.49
2013-01-18,2013.047,114.92
2013-01-21,2013.056,114.45
2013-01-22,2013.058,113.88
2013-01-23,2013.061,113.9
2013-01-24,2013.064,114.12
2013-01-25,2013.067,114.68
2013-01-28,2013.075,114.53
2013-01-29,2013.078,114.59
2013-01-30,2013.081,113.79
2013-01-31,2013.083,113.71
2013-02-01,2013.083,113.35
2013-02-04,2013.092,110.79
2013-02-05,2013.094,111.25
2013-02-06,2013.097,110.85
2013-02-07,2013.1,110
2013-02-08,2013.103,111.96
2013-02-11,2013.111,111.87
2013-02-12,2013.114,112.57
2013-02-13,2013.117,113.57
2013-02-14,2013.119,112.51
2013-02-15,2013.122,111.74
2013-02-18,2013.131,111.6
2013-02-19,2013.133,112.26
2013-02-20,2013.136,113.44
2013-02-21,2013.139,111.49
2013-02-22,2013.142,113.16
2013-02-25,2013.15,114.4
2013-02-26,2013.153,112.3
2013-02-27,2013.156,113.81
2013-02-28,2013.158,115.52
2013-03-01,2013.167,115.39
2013-03-04,2013.175,115.51
2013-03-05,2013.178,117.91
2013-03-06,2013.181,117.54
2013-03-07,2013.183,117.54
2013-03-08,2013.186,119.37
2013-03-11,2013.194,118.41
2013-03-12,2013.197,117.34
2013-03-13,2013.2,116.53
2013-03-14,2013.203,117.4
2013-03-15,2013.206,116.86
2013-03-18,2013.214,115.36
2013-03-19,2013.217,113.95
2013-03-20,2013.219,115.24
2013-03-21,2013.222,114.55
2013-03-22,2013.225,113.36
2013-03-25,2013.233,111.23
2013-03-26,2013.236,111.07
2013-03-27,2013.239,109.83
2013-03-28,2013.242,109.52
2013-04-02,2013.253,111.01
2013-04-03,2013.256,110.45
2013-04-04,2013.258,109.79
2013-04-05,2013.261,108.79
2013-04-08,2013.269,109.22
2013-04-09,2013.272,111.65
2013-04-10,2013.275,114.84
2013-04-11,2013.278,116.36
2013-04-12,2013.281,114.57
2013-04-15,2013.289,111.65
2013-04-16,2013.292,111.04
2013-04-17,2013.294,109.43
2013-04-18,2013.297,108.74
2013-04-19,2013.3,109.6
2013-04-22,2013.308,110.07
2013-04-23,2013.311,112.04
2013-04-24,2013.314,113.03
2013-04-25,2013.317,114.35
2013-04-26,2013.319,112.7
2013-04-29,2013.328,113.61
2013-04-30,2013.331,113.32
2013-05-02,2013.336,110.21
2013-05-03,2013.339,112.37
2013-05-06,2013.347,113.36
2013-05-07,2013.35,113.61
2013-05-08,2013.353,112.9
2013-05-10,2013.358,114.47
2013-05-13,2013.367,114.61
2013-05-14,2013.369,117.25
2013-05-15,2013.372,117.51
2013-05-16,2013.375,117.18
2013-05-17,2013.378,117.78
2013-05-21,2013.389,118.79
2013-05-22,2013.392,117.16
2013-05-23,2013.394,115.16
2013-05-24,2013.397,115.09
2013-05-27,2013.406,115.49
2013-05-28,2013.408,116.16
2013-05-29,2013.411,114.99
2013-05-31,2013.417,112.84
2013-06-03,2013.422,112.68
2013-06-04,2013.425,112.68
2013-06-05,2013.428,112.61
2013-06-06,2013.431,110.18
2013-06-07,2013.433,112.64
2013-06-10,2013.442,112.23
2013-06-11,2013.444,110.88
2013-06-12,2013.447,109.91
2013-06-13,2013.45,109.99
2013-06-14,2013.453,110.98
2013-06-17,2013.461,111.08
2013-06-18,2013.464,111.73
2013-06-19,2013.467,111.7
2013-06-20,2013.469,108.72
2013-06-21,2013.472,106.42
2013-06-24,2013.481,101.2
2013-06-25,2013.483,102.52
2013-06-26,2013.486,104.44
2013-06-27,2013.489,104.76
2013-06-28,2013.492,103.77
2013-07-01,2013.5,105.57
2013-07-02,2013.503,105.6
2013-07-03,2013.506,103.42
2013-07-04,2013.508,105.24
2013-07-05,2013.511,105.2
2013-07-08,2013.519,106.11
2013-07-09,2013.522,105.33
2013-07-10,2013.525,103.95
2013-07-11,2013.528,106.47
2013-07-12,2013.531,107.66
2013-07-15,2013.539,107.92
2013-07-16,2013.542,106.7
2013-07-17,2013.544,107.45
2013-07-18,2013.547,108.64
2013-07-19,2013.55,107.19
2013-07-22,2013.558,107.22
2013-07-23,2013.561,107.24
2013-07-24,2013.564,108.64
2013-07-25,2013.567,108.41
2013-07-26,2013.569,109.23
2013-07-29,2013.578,109.88
2013-07-30,2013.581,108.77
2013-07-31,2013.583,108.76
2013-08-01,2013.583,112.21
2013-08-02,2013.586,112.54
2013-08-05,2013.594,112.57
2013-08-06,2013.597,112.33
2013-08-07,2013.6,112.1
2013-08-08,2013.603,114.19
2013-08-09,2013.606,115.43
2013-08-12,2013.614,115.73
2013-08-13,2013.617,116.47
2013-08-14,2013.619,117.28
2013-08-16,2013.625,118.71
2013-08-19,2013.633,116.51
2013-08-20,2013.636,114.96
2013-08-21,2013.639,114.8
2013-08-22,2013.642,116.44
2013-08-23,2013.644,117.75
2013-08-26,2013.653,117.19
2013-08-27,2013.656,114.71
2013-08-28,2013.658,115.16
2013-08-29,2013.661,115.57
2013-08-30,2013.664,113.93
2013-09-02,2013.669,115.16
2013-09-03,2013.672,115.64
2013-09-04,2013.675,116.54
2013-09-05,2013.678,117.59
2013-09-06,2013.681,117.14
2013-09-09,2013.689,117.36
2013-09-10,2013.692,118.36
2013-09-11,2013.694,118.96
2013-09-12,2013.697,116.96
2013-09-13,2013.7,115.92
2013-09-16,2013.708,117.33
2013-09-17,2013.711,116.77
2013-09-18,2013.714,117.07
2013-09-19,2013.717,117.7
2013-09-20,2013.719,116.93
2013-09-23,2013.728,116.12
2013-09-24,2013.731,117.16
2013-09-25,2013.733,117.62
2013-09-26,2013.736,117.95
2013-09-27,2013.739,118.91
2013-09-30,2013.747,117.91
2013-10-01,2013.75,118.75
2013-10-02,2013.753,118.46
2013-10-03,2013.756,118.5
2013-10-04,2013.758,117.65
2013-10-07,2013.767,116.45
2013-10-08,2013.769,115.14
2013-10-09,2013.772,114.45
2013-10-10,2013.775,117
2013-10-11,2013.778,116.86
2013-10-14,2013.786,117.3
2013-10-15,2013.789,118.8
2013-10-16,2013.792,118.79
2013-10-17,2013.794,118.85
2013-10-18,2013.797,119.77
2013-10-21,2013.806,119.62
2013-10-22,2013.808,119.2
2013-10-23,2013.811,118.39
2013-10-24,2013.814,118.52
2013-10-25,2013.817,118.14
2013-10-28,2013.825,117.9
2013-10-29,2013.828,119.28
2013-10-30,2013.831,121.7
2013-10-31,2013.833,121.17
2013-11-01,2013.833,121.17
2013-11-04,2013.842,124.21
2013-11-05,2013.844,123.49
2013-11-06,2013.847,124.81
2013-11-07,2013.85,124.39
2013-11-08,2013.853,122.9
2013-11-11,2013.861,123.46
2013-11-12,2013.864,122.95
2013-11-13,2013.867,122.08
2013-11-14,2013.869,121.69
2013-11-15,2013.872,122.18
2013-11-18,2013.881,123.16
2013-11-19,2013.883,122.64
2013-11-20,2013.886,122.03
2013-11-21,2013.889,123.31
2013-11-22,2013.892,123.56
2013-11-25,2013.9,124.28
2013-11-26,2013.903,124.19
2013-11-27,2013.906,124.41
2013-11-28,2013.908,124.44
2013-11-29,2013.911,124.01
2013-12-02,2013.919,123.21
2013-12-03,2013.922,120.85
2013-12-04,2013.925,119.22
2013-12-05,2013.928,117.63
2013-12-06,2013.931,117.33
2013-12-09,2013.939,118.14
2013-12-10,2013.942,118.45
2013-12-11,2013.944,117.01
2013-12-12,2013.947,116.02
2013-12-13,2013.95,114.68
2013-12-16,2013.958,115.35
2013-12-17,2013.961,114.03
2013-12-18,2013.964,115.87
2013-12-19,2013.967,115.77
2013-12-20,2013.969,116.69
2013-12-23,2013.978,118.26
2013-12-27,2013.989,119.28
2013-12-30,2013.997,119.05
2014-01-02,2014.003,118.24
2014-01-03,2014.006,118.98
2014-01-07,2014.017,123.02
2014-01-08,2014.019,125.13
2014-01-09,2014.022,125.19
