Date,t,Close
2011-09-26,2011.736,784.92
2011-09-27,2011.739,814.31
2011-09-28,2011.742,821.27
2011-09-29,2011.744,815
2011-09-30,2011.747,815.12
2011-10-03,2011.756,792.23
2011-10-04,2011.758,786.72
2011-10-05,2011.761,797.45
2011-10-06,2011.764,827.47
2011-10-07,2011.767,846.87
2011-10-10,2011.775,854.4
2011-10-11,2011.778,859.3
2011-10-12,2011.781,855.13
2011-10-13,2011.783,863.22
2011-10-14,2011.786,855.36
2011-10-17,2011.794,869.47
2011-10-18,2011.797,851.36
2011-10-19,2011.8,856.56
2011-10-20,2011.803,842.01
2011-10-21,2011.806,841.14
2011-10-24,2011.814,864.36
2011-10-25,2011.817,859.63
2011-10-26,2011.819,862.53
2011-10-27,2011.822,884.31
2011-10-28,2011.825,885.5
2011-10-31,2011.833,873.64
2011-11-01,2011.833,860.29
2011-11-02,2011.836,849.88
2011-11-03,2011.839,847.15
2011-11-04,2011.842,869.68
2011-11-07,2011.85,867.63
2011-11-08,2011.853,871.76
2011-11-09,2011.856,882.62
2011-11-10,2011.858,861.33
2011-11-11,2011.861,871.85
2011-11-14,2011.869,872.63
2011-11-15,2011.872,868.53
2011-11-16,2011.875,860.59
2011-11-17,2011.878,862.93
2011-11-18,2011.881,846.45
2011-11-21,2011.889,843.27
2011-11-22,2011.892,837.12
2011-11-23,2011.894,820.53
2011-11-24,2011.897,819.45
2011-11-25,2011.9,806.32
2011-11-28,2011.908,821.83
2011-11-29,2011.911,831.03
2011-11-30,2011.914,834.96
2011-12-01,2011.917,857.45
2011-12-02,2011.919,869.44
2011-12-05,2011.928,876.1
2011-12-06,2011.931,863.81
2011-12-07,2011.933,870.12
2011-12-08,2011.936,867.7
2011-12-09,2011.939,851.2
2011-12-12,2011.947,861.46
2011-12-13,2011.95,849.45
2011-12-14,2011.953,849.15
2011-12-15,2011.956,838.64
2011-12-16,2011.958,842.08
2011-12-19,2011.967,823.37
2011-12-20,2011.969,821.43
2011-12-21,2011.972,839.13
2011-12-22,2011.975,830.07
2011-12-23,2011.978,839.9
2011-12-28,2011.992,829.19
2011-12-29,2011.994,826.36
2011-12-30,2011.997,822.75
2012-01-03,2012.006,831.55
2012-01-04,2012.008,850.09
2012-01-05,2012.011,840.57
2012-01-06,2012.014,833.12
2012-01-09,2012.022,832.57
2012-01-10,2012.025,842.44
2012-01-11,2012.028,849.75
2012-01-12,2012.031,848.29
2012-01-13,2012.033,850.82
2012-01-16,2012.042,840.99
2012-01-17,2012.044,854.03
2012-01-18,2012.047,853.89
2012-01-19,2012.05,852.91
2012-01-20,2012.053,857.51
2012-01-23,2012.061,854.34
2012-01-24,2012.064,854.73
2012-01-25,2012.067,865.96
2012-01-27,2012.072,869.48
2012-01-30,2012.081,865.88
2012-01-31,2012.083,863.69
2012-02-01,2012.083,855.93
2012-02-02,2012.086,864.29
2012-02-03,2012.089,860.34
2012-02-06,2012.097,869.24
2012-02-07,2012.1,864.24
2012-02-08,2012.103,867.37
2012-02-09,2012.106,865.31
2012-02-10,2012.108,856.94
2012-02-13,2012.117,865.23
2012-02-14,2012.119,856.93
2012-02-15,2012.122,859.83
2012-02-16,2012.125,844.75
2012-02-17,2012.128,846.62
2012-02-20,2012.136,859.75
2012-02-21,2012.139,866.24
2012-02-22,2012.142,866.43
2012-02-23,2012.144,865.21
2012-02-24,2012.147,869.36
2012-02-27,2012.156,860.76
2012-02-28,2012.158,858.78
2012-02-29,2012.161,866.16
2012-03-01,2012.167,857.05
2012-03-02,2012.169,860.35
2012-03-05,2012.178,858.4
2012-03-06,2012.181,846.89
2012-03-07,2012.183,835.11
2012-03-08,2012.186,840.32
2012-03-09,2012.189,848.94
2012-03-12,2012.197,845.35
2012-03-13,2012.2,855.63
2012-03-14,2012.203,863.36
2012-03-15,2012.206,861.42
2012-03-16,2012.208,861.47
2012-03-19,2012.217,864.29
2012-03-20,2012.219,861.73
2012-03-21,2012.222,857.19
2012-03-22,2012.225,861.57
2012-03-23,2012.228,861.24
2012-03-26,2012.236,859.36
2012-03-27,2012.239,867.44
2012-03-28,2012.242,876.38
2012-03-29,2012.244,876.21
2012-03-30,2012.247,875.14
2012-04-02,2012.253,873.62
2012-04-03,2012.256,874.95
2012-04-04,2012.258,874.98
2012-04-05,2012.261,872.69
2012-04-10,2012.275,867.25
2012-04-11,2012.278,858.11
2012-04-12,2012.281,864.64
2012-04-13,2012.283,873.24
2012-04-16,2012.292,869
2012-04-17,2012.294,866.75
2012-04-18,2012.297,878.76
2012-04-19,2012.3,881.05
2012-04-20,2012.303,881.51
2012-04-23,2012.311,878.83
2012-04-24,2012.314,880.63
2012-04-26,2012.319,883.82
2012-04-27,2012.322,880.72
2012-04-30,2012.331,887.73
