Date,t,Close
2011-09-22,2011.725,41.41
2011-09-23,2011.728,42.01
2011-09-26,2011.736,42.85
2011-09-27,2011.739,44.42
2011-09-28,2011.742,44.17
2011-09-29,2011.744,44.53
2011-09-30,2011.747,44.19
2011-10-03,2011.756,43.91
2011-10-04,2011.758,42.85
2011-10-05,2011.761,43.77
2011-10-06,2011.764,44.27
2011-10-07,2011.767,43.86
2011-10-10,2011.775,44.5
2011-10-11,2011.778,44.36
2011-10-12,2011.781,44.84
2011-10-13,2011.783,44.7
2011-10-14,2011.786,45.17
2011-10-17,2011.794,44.57
2011-10-18,2011.797,44.23
2011-10-19,2011.8,44.26
2011-10-20,2011.803,43.82
2011-10-21,2011.806,44.45
2011-10-24,2011.814,44.88
2011-10-25,2011.817,44.29
2011-10-26,2011.819,44.28
2011-10-27,2011.822,45.69
2011-10-28,2011.825,45.37
2011-10-31,2011.833,44.8
2011-11-01,2011.833,43.62
2011-11-02,2011.836,43.47
2011-11-03,2011.839,44.29
2011-11-04,2011.842,43.64
2011-11-07,2011.85,43.67
2011-11-08,2011.853,44.38
2011-11-09,2011.856,44.39
2011-11-10,2011.858,44.35
2011-11-11,2011.861,45.6
2011-11-14,2011.869,44.95
2011-11-15,2011.872,44.57
2011-11-16,2011.875,44.75
2011-11-17,2011.878,44.31
2011-11-18,2011.881,44.09
2011-11-21,2011.889,42.99
2011-11-22,2011.892,43.12
2011-11-23,2011.894,42.81
2011-11-24,2011.897,42.61
2011-11-25,2011.9,42.81
2011-11-28,2011.908,44.36
2011-11-29,2011.911,44.34
2011-11-30,2011.914,45.24
2011-12-01,2011.917,44.94
2011-12-02,2011.919,45.39
2011-12-05,2011.928,46.11
2011-12-06,2011.931,45.47
2011-12-07,2011.933,45.62
2011-12-08,2011.936,45.12
2011-12-09,2011.939,45.26
2011-12-12,2011.947,44.65
2011-12-13,2011.95,44.9
2011-12-14,2011.953,44.24
2011-12-15,2011.956,44.5
2011-12-16,2011.958,44.26
2011-12-19,2011.967,44.8
2011-12-20,2011.969,45.42
2011-12-21,2011.972,45.12
2011-12-22,2011.975,45.36
2011-12-23,2011.978,45.74
2011-12-27,2011.989,45.99
2011-12-28,2011.992,45.92
2011-12-29,2011.994,46.4
2011-12-30,2011.997,46.63
2012-01-02,2012.003,47.4
2012-01-03,2012.006,47.37
2012-01-04,2012.008,46.72
2012-01-05,2012.011,46.75
2012-01-06,2012.014,46.47
2012-01-09,2012.022,46.82
2012-01-10,2012.025,47.51
2012-01-11,2012.028,47.56
2012-01-12,2012.031,47.54
2012-01-13,2012.033,47.04
2012-01-16,2012.042,47.51
2012-01-17,2012.044,47.86
2012-01-18,2012.047,48.03
2012-01-19,2012.05,48.51
2012-01-20,2012.053,48.52
2012-01-23,2012.061,48.55
2012-01-24,2012.064,48.08
2012-01-25,2012.067,48.29
2012-01-26,2012.069,49.05
2012-01-27,2012.072,48.6
2012-01-30,2012.081,48.1
2012-01-31,2012.083,48.01
2012-02-01,2012.083,49.08
2012-02-02,2012.086,49.41
2012-02-03,2012.089,50.47
2012-02-06,2012.097,50.25
2012-02-07,2012.1,50.29
2012-02-08,2012.103,50.09
2012-02-09,2012.106,50.17
2012-02-10,2012.108,49.64
2012-02-13,2012.117,50.37
2012-02-14,2012.119,50.09
2012-02-15,2012.122,50.12
2012-02-16,2012.125,50.67
2012-02-17,2012.128,50.94
2012-02-20,2012.136,51.27
2012-02-21,2012.139,50.95
2012-02-22,2012.142,50.6
2012-02-23,2012.144,50.52
2012-02-24,2012.147,50.51
2012-02-27,2012.156,50.43
2012-02-28,2012.158,50.81
2012-02-29,2012.161,51.3
2012-03-01,2012.167,51.78
2012-03-02,2012.169,51.66
2012-03-05,2012.178,51.62
2012-03-06,2012.181,50.32
2012-03-07,2012.183,51.04
2012-03-08,2012.186,52.23
2012-03-09,2012.189,52.59
2012-03-12,2012.197,52.92
2012-03-13,2012.2,53.68
2012-03-14,2012.203,54.01
2012-03-15,2012.206,54.11
2012-03-16,2012.208,54.57
2012-03-19,2012.217,54.7
2012-03-20,2012.219,54.28
2012-03-21,2012.222,54.36
2012-03-22,2012.225,53.99
2012-03-23,2012.228,54.1
2012-03-26,2012.236,54.57
2012-03-27,2012.239,54.38
2012-03-28,2012.242,53.82
2012-03-29,2012.244,53.24
2012-03-30,2012.247,54.04
2012-04-02,2012.253,54.58
2012-04-03,2012.256,54.53
2012-04-04,2012.258,52.96
2012-04-05,2012.261,52.65
2012-04-10,2012.275,52.13
2012-04-11,2012.278,52.63
2012-04-12,2012.281,53.24
2012-04-13,2012.283,52.54
2012-04-16,2012.292,52.97
2012-04-17,2012.294,53.72
2012-04-18,2012.297,53.61
2012-04-19,2012.3,53.09
2012-04-20,2012.303,53.02
2012-04-23,2012.311,51.99
2012-04-24,2012.314,52.48
2012-04-25,2012.317,53.32
2012-04-26,2012.319,53.04
2012-04-27,2012.322,52.79
2012-04-30,2012.331,52.36
2012-05-02,2012.336,53
2012-05-03,2012.339,53.33
2012-05-04,2012.342,52.57
2012-05-07,2012.35,53.44
2012-05-08,2012.353,52.71
2012-05-09,2012.356,52.43
2012-05-10,2012.358,52.78
2012-05-11,2012.361,53.04
2012-05-14,2012.369,52.09
2012-05-15,2012.372,51.52
2012-05-16,2012.375,51.46
2012-05-17,2012.378,51.15
2012-05-18,2012.381,50.29
2012-05-21,2012.389,50.57
2012-05-22,2012.392,51.46
2012-05-23,2012.394,50.42
2012-05-24,2012.397,51.25
2012-05-25,2012.4,51.43
2012-05-28,2012.408,51.08
2012-05-29,2012.411,51.82
2012-05-30,2012.414,51.28
2012-05-31,2012.417,51.17
2012-06-01,2012.417,49.84
2012-06-04,2012.425,49.66
2012-06-05,2012.428,49.83
2012-06-06,2012.431,50.89
2012-06-07,2012.433,50.8
2012-06-08,2012.436,51.09
2012-06-11,2012.444,51.06
2012-06-12,2012.447,51.52
2012-06-13,2012.45,51.71
2012-06-14,2012.453,52.08
2012-06-15,2012.456,52.08
2012-06-18,2012.464,51.97
2012-06-19,2012.467,52.68
2012-06-20,2012.469,52.09
2012-06-21,2012.472,52.21
2012-06-22,2012.475,51.82
2012-06-25,2012.483,52.07
2012-06-26,2012.486,52.51
2012-06-27,2012.489,53.26
2012-06-28,2012.492,53.6
2012-06-29,2012.494,55.71
2012-07-02,2012.503,56.76
2012-07-03,2012.506,57.09
2012-07-04,2012.508,57.08
2012-07-05,2012.511,56.78
2012-07-06,2012.514,56.34
2012-07-09,2012.522,56.01
2012-07-10,2012.525,57.08
2012-07-11,2012.528,56.61
