Date,t,Close
2014-02-03,2014.089,1916.05
2014-02-04,2014.092,1952.17
2014-02-05,2014.094,1948.48
2014-02-06,2014.097,2018.3
2014-02-07,2014.1,2025.24
2014-02-10,2014.108,2001.16
2014-02-11,2014.111,2023.6
2014-02-12,2014.114,2014.58
2014-02-13,2014.117,2001.32
2014-02-14,2014.119,2036.41
2014-02-17,2014.128,2015.56
2014-02-18,2014.131,1968.29
2014-02-19,2014.133,1998.12
2014-02-20,2014.136,2015.68
2014-02-21,2014.139,2032.3
2014-02-24,2014.147,2055.68
2014-02-25,2014.15,2023.57
2014-02-26,2014.153,2013.48
2014-02-27,2014.156,2057.68
2014-02-28,2014.158,2042.72
2014-03-03,2014.172,2035.1
2014-03-04,2014.175,2035.1
2014-03-05,2014.178,2016.83
2014-03-06,2014.181,2072.03
2014-03-07,2014.183,2009.04
2014-03-10,2014.192,1977.21
2014-03-11,2014.194,1979.75
2014-03-12,2014.197,1972.71
2014-03-13,2014.2,1959.23
2014-03-14,2014.203,1935.61
2014-03-17,2014.211,1952.96
2014-03-18,2014.214,2004.02
2014-03-19,2014.217,2027.96
2014-03-20,2014.219,2056.18
2014-03-21,2014.222,2070.12
2014-03-24,2014.231,2094.75
2014-03-25,2014.233,2117.38
2014-03-26,2014.236,2115.08
2014-03-27,2014.239,2222.82
2014-03-28,2014.242,2229.07
2014-03-31,2014.25,2261.81
2014-04-01,2014.25,2254.79
2014-04-02,2014.253,2308.13
2014-04-03,2014.256,2271.61
2014-04-04,2014.258,2291.25
2014-04-07,2014.267,2351.52
2014-04-08,2014.269,2355.71
2014-04-09,2014.272,2328.17
2014-04-10,2014.275,2343.74
2014-04-11,2014.278,2373.34
2014-04-14,2014.286,2357.34
2014-04-15,2014.289,2279.95
2014-04-16,2014.292,2305.02
2014-04-17,2014.294,2335.19
2014-04-18,2014.297,2335.19
2014-04-21,2014.306,2346.68
2014-04-22,2014.308,2333.11
2014-04-23,2014.311,2316.84
2014-04-24,2014.314,2346.32
2014-04-25,2014.317,2320.62
2014-04-28,2014.325,2312.91
2014-04-29,2014.328,2347.13
2014-04-30,2014.331,2321.94
2014-05-01,2014.333,2325.27
2014-05-02,2014.336,2380.39
2014-05-05,2014.344,2391.8
2014-05-06,2014.347,2399.03
2014-05-07,2014.35,2420.16
2014-05-08,2014.353,2405.44
2014-05-09,2014.356,2383.42
