Date,t,Close
2011-08-10,2011.608,624.53
2011-08-11,2011.611,655.02
2011-08-12,2011.614,683.49
2011-08-15,2011.622,693.36
2011-08-16,2011.625,698.23
2011-08-17,2011.628,704.08
2011-08-18,2011.631,674.66
2011-08-19,2011.633,661.92
2011-08-22,2011.642,668.23
2011-08-23,2011.644,679.5
2011-08-24,2011.647,692.79
2011-08-25,2011.65,689.27
2011-08-26,2011.653,692.21
2011-08-29,2011.661,709.01
2011-08-30,2011.664,709.44
2011-08-31,2011.667,720.47
2011-09-01,2011.667,719.97
2011-09-02,2011.669,697.94
2011-09-05,2011.678,669.47
2011-09-06,2011.681,698.09
2011-09-07,2011.683,715.94
2011-09-08,2011.686,719.13
2011-09-09,2011.689,706.07
2011-09-12,2011.697,689.6
2011-09-13,2011.7,696.83
2011-09-14,2011.703,705.03
2011-09-15,2011.706,707.63
2011-09-16,2011.708,710.48
2011-09-19,2011.717,698.4
2011-09-20,2011.719,712.3
2011-09-21,2011.722,712.65
2011-09-22,2011.725,687.71
2011-09-23,2011.728,689.1
2011-09-26,2011.736,702.54
2011-09-27,2011.739,724.48
2011-09-28,2011.742,722.39
2011-09-29,2011.744,729.63
2011-09-30,2011.747,718.78
2011-10-03,2011.756,714.06
2011-10-04,2011.758,707
2011-10-05,2011.761,714.89
2011-10-06,2011.764,732.73
2011-10-07,2011.767,734.4
2011-10-10,2011.775,742.91
2011-10-11,2011.778,744.35
2011-10-12,2011.781,751.16
2011-10-13,2011.783,742.39
2011-10-14,2011.786,748.44
2011-10-17,2011.794,743.37
2011-10-18,2011.797,738.2
2011-10-19,2011.8,740.85
2011-10-20,2011.803,734.96
2011-10-21,2011.806,747.89
2011-10-24,2011.814,753.26
2011-10-25,2011.817,743.83
2011-10-26,2011.819,743.01
2011-10-27,2011.822,759.78
2011-10-28,2011.825,762.95
2011-10-31,2011.833,747.12
2011-11-01,2011.833,728.06
2011-11-02,2011.836,731.11
2011-11-03,2011.839,739.44
2011-11-04,2011.842,738.06
2011-11-07,2011.85,736.22
2011-11-08,2011.853,741.03
2011-11-09,2011.856,730.94
2011-11-10,2011.858,725.51
