Date,t,Close
2014-02-03,2014.089,1576.73
2014-02-04,2014.092,1584.45
2014-02-05,2014.094,1588.08
2014-02-06,2014.097,1626.48
2014-02-07,2014.1,1638.45
2014-02-10,2014.108,1643.83
2014-02-11,2014.111,1668.96
2014-02-12,2014.114,1704.51
2014-02-13,2014.117,1718.4
2014-02-14,2014.119,1753.57
2014-02-17,2014.128,1756.1
2014-02-18,2014.131,1740.86
2014-02-19,2014.133,1720.49
2014-02-20,2014.136,1714.71
2014-02-21,2014.139,1709.95
2014-02-24,2014.147,1719.59
2014-02-25,2014.15,1710.11
2014-02-26,2014.153,1718.19
2014-02-27,2014.156,1714.51
2014-02-28,2014.158,1745.99
2014-03-03,2014.172,1711.05
2014-03-04,2014.175,1737.34
2014-03-05,2014.178,1731.32
2014-03-06,2014.181,1751.74
2014-03-07,2014.183,1716.23
2014-03-10,2014.192,1677.24
2014-03-11,2014.194,1671.97
2014-03-12,2014.197,1657.61
2014-03-13,2014.2,1666.38
2014-03-14,2014.203,1656.13
2014-03-17,2014.211,1665.23
2014-03-18,2014.214,1689.17
2014-03-19,2014.217,1671.63
2014-03-20,2014.219,1688.86
2014-03-21,2014.222,1689.72
2014-03-24,2014.231,1695.41
2014-03-25,2014.233,1734.72
2014-03-26,2014.236,1738.78
2014-03-27,2014.239,1767.92
2014-03-28,2014.242,1784.48
2014-03-31,2014.25,1789.23
2014-04-01,2014.25,1800.96
2014-04-02,2014.253,1798.95
2014-04-03,2014.256,1781.93
2014-04-04,2014.258,1773.02
2014-04-07,2014.267,1784.66
2014-04-08,2014.269,1831.78
2014-04-09,2014.272,1844.36
2014-04-10,2014.275,1852.05
2014-04-11,2014.278,1846.36
2014-04-14,2014.286,1857.86
2014-04-15,2014.289,1834.15
2014-04-16,2014.292,1836.44
2014-04-17,2014.294,1829.48
2014-04-18,2014.297,1829.48
2014-04-21,2014.306,1820.78
2014-04-22,2014.308,1802.42
2014-04-23,2014.311,1794.16
2014-04-24,2014.314,1806.26
2014-04-25,2014.317,1779.89
2014-04-28,2014.325,1775.84
2014-04-29,2014.328,1788.91
2014-04-30,2014.331,1810.52
2014-05-01,2014.333,1809.93
2014-05-02,2014.336,1832.28
2014-05-05,2014.344,1804.31
2014-05-06,2014.347,1785.44
2014-05-07,2014.35,1800.02
2014-05-08,2014.353,1832.51
2014-05-09,2014.356,1826.64
