Date,t,Close
2011-10-04,2011.758,44.74
2011-10-05,2011.761,44.74
2011-10-06,2011.764,47.6
2011-10-07,2011.767,49.22
2011-10-10,2011.775,49.02
2011-10-11,2011.778,50.74
2011-10-12,2011.781,51.63
2011-10-13,2011.783,53.32
2011-10-14,2011.786,52.18
2011-10-17,2011.794,53.61
2011-10-18,2011.797,50.87
2011-10-19,2011.8,51.37
2011-10-20,2011.803,50.15
2011-10-21,2011.806,50.31
2011-10-24,2011.814,52.7
2011-10-25,2011.817,53.52
2011-10-26,2011.819,54.3
2011-10-27,2011.822,56.82
2011-10-28,2011.825,57.1
2011-10-31,2011.833,56.46
2011-11-01,2011.833,54.93
2011-11-02,2011.836,56.26
2011-11-03,2011.839,55.34
2011-11-04,2011.842,57.1
2011-11-07,2011.85,56.6
2011-11-08,2011.853,56.46
2011-11-09,2011.856,57.54
2011-11-10,2011.858,54.71
2011-11-11,2011.861,55.34
2011-11-14,2011.869,56.74
2011-11-15,2011.872,56.37
2011-11-16,2011.875,55.15
2011-11-17,2011.878,54.78
2011-11-18,2011.881,53.42
2011-11-21,2011.889,52.49
2011-11-22,2011.892,52.59
2011-11-23,2011.894,51.32
2011-11-24,2011.897,51.69
2011-11-25,2011.9,50.89
2011-11-28,2011.908,51.96
2011-11-29,2011.911,52.66
2011-11-30,2011.914,51.78
2011-12-01,2011.917,55.26
2011-12-02,2011.919,55.26
2011-12-05,2011.928,55.5
2011-12-06,2011.931,54.65
2011-12-07,2011.933,55.57
2011-12-08,2011.936,55.24
2011-12-09,2011.939,53.71
2011-12-12,2011.947,53.62
2011-12-13,2011.95,53.21
2011-12-14,2011.953,52.92
2011-12-15,2011.956,51.86
2011-12-16,2011.958,52.8
2011-12-19,2011.967,52.12
2011-12-20,2011.969,51.99
2011-12-21,2011.972,53.08
2011-12-22,2011.975,53.02
2011-12-23,2011.978,53.94
2011-12-26,2011.986,53.93
2011-12-27,2011.989,53.92
2011-12-28,2011.992,53.22
2011-12-29,2011.994,52.95
2011-12-30,2011.997,53
2012-01-02,2012.003,53
2012-01-03,2012.006,54.3
2012-01-04,2012.008,53.68
2012-01-05,2012.011,53.86
2012-01-06,2012.014,53.2
2012-01-09,2012.022,54.27
2012-01-10,2012.025,54.98
2012-01-11,2012.028,55.55
2012-01-12,2012.031,55.41
2012-01-13,2012.033,55.75
2012-01-16,2012.042,54.97
2012-01-17,2012.044,57.08
2012-01-18,2012.047,57.11
2012-01-19,2012.05,57.87
2012-01-20,2012.053,57.95
2012-01-23,2012.061,57.95
2012-01-24,2012.064,57.95
2012-01-25,2012.067,57.95
2012-01-26,2012.069,59.09
2012-01-27,2012.072,59.21
2012-01-30,2012.081,57.81
2012-01-31,2012.083,58.65
2012-02-01,2012.083,58.49
2012-02-02,2012.086,59.96
2012-02-03,2012.089,60.07
2012-02-06,2012.097,59.8
2012-02-07,2012.1,59.63
2012-02-08,2012.103,60.92
2012-02-09,2012.106,61.1
2012-02-10,2012.108,60.15
2012-02-13,2012.117,60.26
2012-02-14,2012.119,60.07
2012-02-15,2012.122,61.44
2012-02-16,2012.125,61.14
2012-02-17,2012.128,61.7
2012-02-20,2012.136,61.47
2012-02-21,2012.139,61.45
2012-02-22,2012.142,62.19
2012-02-23,2012.144,61.64
2012-02-24,2012.147,61.67
2012-02-27,2012.156,61.09
2012-02-28,2012.158,62.15
2012-02-29,2012.161,62.48
2012-03-01,2012.167,61.27
2012-03-02,2012.169,62.01
2012-03-05,2012.178,61.01
2012-03-06,2012.181,59.52
2012-03-07,2012.183,58.97
2012-03-08,2012.186,60
2012-03-09,2012.189,60.69
2012-03-12,2012.197,60.72
2012-03-13,2012.2,61.24
2012-03-14,2012.203,61
2012-03-15,2012.206,60.8
2012-03-16,2012.208,60.62
2012-03-19,2012.217,59.69
2012-03-20,2012.219,58.85
2012-03-21,2012.222,58.66
2012-03-22,2012.225,58.73
2012-03-23,2012.228,58.23
2012-03-26,2012.236,58.01
