Date,t,Close
2014-02-04,2014.092,887.96
2014-02-05,2014.094,893.68
2014-02-06,2014.097,909.7
2014-02-07,2014.1,915.54
2014-02-10,2014.108,906.2
2014-02-11,2014.111,916.86
2014-02-12,2014.114,935.93
2014-02-13,2014.117,938.53
2014-02-14,2014.119,947.7
2014-02-17,2014.128,947.28
2014-02-18,2014.131,947.05
2014-02-19,2014.133,953.35
2014-02-20,2014.136,932.03
2014-02-21,2014.139,932.41
2014-02-24,2014.147,946.67
2014-02-25,2014.15,925.1
2014-02-26,2014.153,917.74
2014-02-27,2014.156,919.89
2014-02-28,2014.158,942.2
2014-03-03,2014.172,926.63
2014-03-04,2014.175,950.52
2014-03-05,2014.178,964.91
2014-03-06,2014.181,992
2014-03-07,2014.183,977.8
2014-03-10,2014.192,970.84
2014-03-11,2014.194,981.3
2014-03-12,2014.197,980.33
2014-03-13,2014.2,982.03
2014-03-14,2014.203,983.24
2014-03-17,2014.211,990.01
2014-03-18,2014.214,988.52
2014-03-19,2014.217,998.7
2014-03-20,2014.219,1017.27
2014-03-21,2014.222,1014.17
2014-03-24,2014.231,1013.02
2014-03-25,2014.233,1047.08
2014-03-26,2014.236,1051.99
2014-03-27,2014.239,1069.11
2014-03-28,2014.242,1076.67
2014-03-31,2014.25,1087.32
2014-04-01,2014.25,1089.76
2014-04-02,2014.253,1099.34
2014-04-03,2014.256,1101.87
2014-04-04,2014.258,1102.28
2014-04-07,2014.267,1101.73
2014-04-08,2014.269,1103.97
2014-04-09,2014.272,1093.74
2014-04-10,2014.275,1109.53
2014-04-11,2014.278,1104.48
2014-04-14,2014.286,1108.6
2014-04-15,2014.289,1093.67
2014-04-16,2014.292,1099.42
2014-04-17,2014.294,1102.04
2014-04-18,2014.297,1102.04
2014-04-21,2014.306,1094.67
2014-04-22,2014.308,1080.81
2014-04-23,2014.311,1075.12
2014-04-24,2014.314,1071.25
2014-04-25,2014.317,1069.57
2014-04-28,2014.325,1071.14
2014-04-29,2014.328,1084.22
2014-04-30,2014.331,1098.31
2014-05-01,2014.333,1095.84
2014-05-02,2014.336,1094.94
2014-05-05,2014.344,1089.29
2014-05-06,2014.347,1092.58
2014-05-07,2014.35,1101.25
2014-05-08,2014.353,1115.51
2014-05-09,2014.356,1116.26
