Date,t,Close
2013-07-22,2013.558,223.4
2013-07-23,2013.561,229.88
2013-07-24,2013.564,231.18
2013-07-25,2013.567,232.26
2013-07-26,2013.569,233.19
2013-07-29,2013.578,232.91
2013-07-30,2013.581,236.46
2013-07-31,2013.583,235.99
2013-08-01,2013.583,240.42
2013-08-02,2013.586,242.24
2013-08-05,2013.594,239.34
2013-08-06,2013.597,239.97
2013-08-07,2013.6,240.71
2013-08-08,2013.603,244.45
2013-08-09,2013.606,242.2
2013-08-12,2013.614,241.88
2013-08-13,2013.617,242.6
2013-08-14,2013.619,245.4
2013-08-15,2013.622,241.88
2013-08-16,2013.625,240.72
2013-08-19,2013.633,241.84
2013-08-20,2013.636,239.93
2013-08-21,2013.639,240.01
2013-08-22,2013.642,240
2013-08-23,2013.644,242.52
2013-08-26,2013.653,242.99
2013-08-27,2013.656,242.98
2013-08-28,2013.658,241.63
2013-08-29,2013.661,240.47
2013-08-30,2013.664,241.48
2013-09-02,2013.669,238.54
2013-09-03,2013.672,237.31
2013-09-04,2013.675,236.26
2013-09-05,2013.678,240.84
2013-09-06,2013.681,243.04
2013-09-09,2013.689,242.49
2013-09-10,2013.692,251.13
2013-09-11,2013.694,256.49
2013-09-12,2013.697,260.84
2013-09-13,2013.7,258.91
2013-09-16,2013.708,259.94
2013-09-17,2013.711,261.2
2013-09-18,2013.714,260.2
2013-09-19,2013.717,256.21
2013-09-20,2013.719,249.69
2013-09-23,2013.728,251.68
2013-09-24,2013.731,252.86
2013-09-25,2013.733,252.99
2013-09-26,2013.736,252.96
2013-09-27,2013.739,253.96
2013-09-30,2013.747,253
2013-10-01,2013.75,256.09
2013-10-02,2013.753,258.83
2013-10-03,2013.756,255.41
2013-10-04,2013.758,254.39
2013-10-07,2013.767,256.05
2013-10-08,2013.769,255.71
2013-10-09,2013.772,256.17
2013-10-10,2013.775,254.78
2013-10-11,2013.778,252.96
2013-10-14,2013.786,253.65
2013-10-15,2013.789,257.11
2013-10-16,2013.792,258.13
2013-10-17,2013.794,258.36
2013-10-18,2013.797,262.52
2013-10-21,2013.806,264.46
2013-10-22,2013.808,266.28
2013-10-23,2013.811,263.92
2013-10-24,2013.814,263.79
2013-10-25,2013.817,263.78
2013-10-29,2013.828,276.33
2013-10-30,2013.831,277.93
2013-10-31,2013.833,277.89
2013-11-01,2013.833,277.47
2013-11-04,2013.842,280.23
2013-11-05,2013.844,276.88
2013-11-06,2013.847,282.56
2013-11-07,2013.85,283.13
2013-11-08,2013.853,277.51
2013-11-11,2013.861,274.82
2013-11-12,2013.864,274.78
2013-11-13,2013.867,272.68
2013-11-14,2013.869,271.56
2013-11-15,2013.872,273.92
2013-11-18,2013.881,277.2
2013-11-19,2013.883,276.05
2013-11-20,2013.886,276.15
2013-11-21,2013.889,272.64
2013-11-22,2013.892,274.41
2013-11-25,2013.9,272.19
2013-11-26,2013.903,268.49
2013-11-27,2013.906,274.19
2013-11-28,2013.908,274.62
2013-11-29,2013.911,276.57
2013-12-02,2013.919,273.86
2013-12-03,2013.922,271.23
2013-12-04,2013.925,269.33
2013-12-05,2013.928,266.28
2013-12-06,2013.931,262.26
2013-12-09,2013.939,260.95
2013-12-10,2013.942,261.61
2013-12-11,2013.944,264.59
2013-12-12,2013.947,260.72
2013-12-13,2013.95,256.3
2013-12-16,2013.958,257.64
2013-12-17,2013.961,257.23
2013-12-18,2013.964,259.4
2013-12-19,2013.967,259.98
2013-12-20,2013.969,258.75
2013-12-23,2013.978,259.91
2013-12-27,2013.989,260.67
2013-12-30,2013.997,262.14
2014-01-02,2014.003,264.4
2014-01-03,2014.006,263.27
2014-01-06,2014.014,261.02
2014-01-07,2014.017,255.32
2014-01-08,2014.019,252.83
2014-01-09,2014.022,253.03
2014-01-10,2014.025,256.01
2014-01-13,2014.033,263.35
2014-01-14,2014.036,263.58
2014-01-15,2014.039,263.45
2014-01-16,2014.042,261.5
2014-01-17,2014.044,261.17
2014-01-20,2014.053,261.83
2014-01-21,2014.056,262.57
2014-01-22,2014.058,263.28
2014-01-23,2014.061,262.69
2014-01-24,2014.064,261.95
2014-01-27,2014.072,258.79
2014-01-28,2014.075,256.57
2014-01-29,2014.078,254.71
2014-01-30,2014.081,258.33
2014-01-31,2014.083,261.85
2014-02-03,2014.089,260.21
