Date,t,Close
2011-09-12,2011.697,73.65
2011-09-13,2011.7,74.97
2011-09-14,2011.703,77.5
2011-09-15,2011.706,79.86
2011-09-16,2011.708,80.82
2011-09-19,2011.717,78.5
2011-09-20,2011.719,80.74
2011-09-21,2011.722,78.79
2011-09-22,2011.725,74.81
2011-09-23,2011.728,75.21
2011-09-26,2011.736,77.22
2011-09-27,2011.739,81.34
2011-09-28,2011.742,80.65
2011-09-29,2011.744,81.51
2011-09-30,2011.747,79.46
2011-10-03,2011.756,77.65
2011-10-04,2011.758,75.25
2011-10-05,2011.761,78.86
2011-10-06,2011.764,81.46
2011-10-07,2011.767,81.94
2011-10-10,2011.775,84.41
2011-10-11,2011.778,84.64
2011-10-12,2011.781,86.55
2011-10-13,2011.783,85.44
2011-10-14,2011.786,86.26
2011-10-17,2011.794,84.73
2011-10-18,2011.797,85.03
2011-10-19,2011.8,85.47
2011-10-20,2011.803,83.38
2011-10-21,2011.806,86.35
2011-10-24,2011.814,87.66
2011-10-25,2011.817,87.46
2011-10-26,2011.819,87.05
2011-10-27,2011.822,91.6
2011-10-28,2011.825,91.74
2011-10-31,2011.833,88.75
2011-11-01,2011.833,84.41
2011-11-02,2011.836,86.28
2011-11-03,2011.839,88.75
2011-11-04,2011.842,86.46
2011-11-07,2011.85,85.97
2011-11-08,2011.853,86.46
2011-11-09,2011.856,84.57
2011-11-10,2011.858,85
2011-11-11,2011.861,87.72
2011-11-14,2011.869,86.65
2011-11-15,2011.872,85.86
2011-11-16,2011.875,85.59
2011-11-17,2011.878,84.65
2011-11-18,2011.881,83.89
2011-11-21,2011.889,81.07
2011-11-22,2011.892,80.13
2011-11-23,2011.894,78.97
2011-11-24,2011.897,78.63
2011-11-25,2011.9,79.49
2011-11-28,2011.908,83.17
2011-11-29,2011.911,83.92
2011-11-30,2011.914,88.09
2011-12-01,2011.917,87.31
2011-12-02,2011.919,87.98
2011-12-05,2011.928,88.38
2011-12-06,2011.931,87.32
2011-12-07,2011.933,86.82
2011-12-08,2011.936,85.06
2011-12-09,2011.939,86.6
2011-12-12,2011.947,83.75
2011-12-13,2011.95,83.64
2011-12-14,2011.953,82.12
2011-12-15,2011.956,82.88
2011-12-16,2011.958,82.48
2011-12-19,2011.967,82.08
2011-12-20,2011.969,84.64
2011-12-21,2011.972,83.86
2011-12-22,2011.975,84.72
2011-12-23,2011.978,85.12
2011-12-27,2011.989,85.26
2011-12-28,2011.992,83.59
2011-12-29,2011.994,84.66
2011-12-30,2011.997,85.37
2012-01-02,2012.003,87.89
2012-01-03,2012.006,89.17
2012-01-04,2012.008,88.46
2012-01-05,2012.011,88.25
2012-01-06,2012.014,87.79
2012-01-09,2012.022,87.23
2012-01-10,2012.025,89.32
2012-01-11,2012.028,89.3
2012-01-12,2012.031,89.67
2012-01-13,2012.033,89.15
2012-01-16,2012.042,90.22
2012-01-17,2012.044,91.85
2012-01-18,2012.047,92.16
2012-01-19,2012.05,93.14
2012-01-20,2012.053,92.91
2012-01-23,2012.061,93.34
2012-01-24,2012.064,93.05
2012-01-25,2012.067,92.78
2012-01-26,2012.069,94.44
2012-01-27,2012.072,94.02
2012-01-30,2012.081,93.04
2012-01-31,2012.083,93.31
2012-02-01,2012.083,95.53
2012-02-02,2012.086,96.08
2012-02-03,2012.089,97.72
2012-02-06,2012.097,97.65
2012-02-07,2012.1,97.47
2012-02-08,2012.103,97.43
2012-02-09,2012.106,98.01
2012-02-10,2012.108,96.64
2012-02-13,2012.117,97.29
2012-02-14,2012.119,97.11
2012-02-15,2012.122,97.6
2012-02-16,2012.125,97.49
2012-02-17,2012.128,98.84
2012-02-20,2012.136,100.28
2012-02-21,2012.139,99.65
2012-02-22,2012.142,98.79
2012-02-23,2012.144,98.32
2012-02-24,2012.147,99.11
2012-02-27,2012.156,98.88
2012-02-28,2012.158,99.43
2012-02-29,2012.161,98.98
2012-03-01,2012.167,100.17
2012-03-02,2012.169,99.9
2012-03-05,2012.178,99.11
2012-03-06,2012.181,95.72
2012-03-07,2012.183,96.35
2012-03-08,2012.186,98.72
2012-03-09,2012.189,99.39
2012-03-12,2012.197,99.7
2012-03-13,2012.2,101.02
2012-03-14,2012.203,102.13
2012-03-15,2012.206,103.02
2012-03-16,2012.208,103.17
2012-03-19,2012.217,103.09
2012-03-20,2012.219,101.58
2012-03-21,2012.222,101.88
2012-03-22,2012.225,100.7
2012-03-23,2012.228,100.97
2012-03-26,2012.236,102.17
2012-03-27,2012.239,102.13
2012-03-28,2012.242,100.98
2012-03-29,2012.244,99.19
2012-03-30,2012.247,100.29
2012-04-02,2012.253,101.89
2012-04-03,2012.256,100.86
2012-04-04,2012.258,98.01
2012-04-05,2012.261,97.64
2012-04-10,2012.275,95.2
2012-04-11,2012.278,96.2
2012-04-12,2012.281,97.27
2012-04-13,2012.283,95.06
2012-04-16,2012.292,95.64
2012-04-17,2012.294,98.08
2012-04-18,2012.297,97.13
2012-04-19,2012.3,96.26
2012-04-20,2012.303,97.09
2012-04-23,2012.311,93.83
2012-04-24,2012.314,94.78
2012-04-25,2012.317,96.45
2012-04-26,2012.319,97.06
2012-04-27,2012.322,97.82
2012-04-30,2012.331,96.71
2012-05-02,2012.336,96.04
2012-05-03,2012.339,95.88
2012-05-04,2012.342,93.66
2012-05-07,2012.35,93.71
2012-05-08,2012.353,91.93
2012-05-09,2012.356,92.39
2012-05-10,2012.358,92.47
2012-05-11,2012.361,93.27
2012-05-14,2012.369,91.43
2012-05-15,2012.372,90.79
2012-05-16,2012.375,90.47
2012-05-17,2012.378,89.18
2012-05-18,2012.381,88.57
2012-05-21,2012.389,89.41
2012-05-22,2012.392,90.95
2012-05-23,2012.394,88.83
2012-05-24,2012.397,89.05
2012-05-25,2012.4,89.06
2012-05-28,2012.408,88.9
2012-05-29,2012.411,90.01
2012-05-30,2012.414,88.37
2012-05-31,2012.417,88.12
2012-06-01,2012.417,85.03
2012-06-04,2012.425,83.94
2012-06-05,2012.428,83.86
2012-06-06,2012.431,85.64
2012-06-07,2012.433,86.44
2012-06-08,2012.436,86.21
2012-06-11,2012.444,86.38
2012-06-12,2012.447,86.58
2012-06-13,2012.45,86.41
2012-06-14,2012.453,86.18
2012-06-15,2012.456,87.39
2012-06-18,2012.464,87.66
2012-06-19,2012.467,89.32
2012-06-20,2012.469,89.75
2012-06-21,2012.472,89.04
2012-06-22,2012.475,87.86
2012-06-25,2012.483,86.04
2012-06-26,2012.486,86.01
2012-06-27,2012.489,87.25
2012-06-28,2012.492,86.19
2012-06-29,2012.494,89.87
2012-07-02,2012.503,91
2012-07-03,2012.506,92.24
2012-07-04,2012.508,92.13
2012-07-05,2012.511,91.75
2012-07-06,2012.514,90
2012-07-09,2012.522,89.64
2012-07-10,2012.525,90.42
2012-07-11,2012.528,90.53
2012-07-12,2012.531,90.08
2012-07-13,2012.533,92.03
2012-07-16,2012.542,92.16
2012-07-17,2012.544,92.31
2012-07-18,2012.547,93.77
2012-07-19,2012.55,94.85
2012-07-20,2012.553,93.09
2012-07-23,2012.561,90.12
2012-07-24,2012.564,89.74
2012-07-25,2012.567,89.99
2012-07-26,2012.569,92.38
2012-07-27,2012.572,93.85
2012-07-30,2012.581,95.01
2012-07-31,2012.583,94.93
2012-08-01,2012.583,94.71
2012-08-02,2012.586,92.68
2012-08-03,2012.589,96.24
2012-08-06,2012.597,97.04
2012-08-07,2012.6,97.7
2012-08-08,2012.603,97.65
2012-08-09,2012.606,97.61
2012-08-10,2012.608,97.35
2012-08-13,2012.617,96.85
2012-08-14,2012.619,97.71
2012-08-15,2012.622,97.33
2012-08-16,2012.625,98.01
2012-08-17,2012.628,98.73
2012-08-20,2012.636,98.59
2012-08-21,2012.639,99.34
2012-08-22,2012.642,98.35
2012-08-23,2012.644,97.41
2012-08-24,2012.647,97.62
2012-08-27,2012.656,98.66
2012-08-28,2012.658,98.07
2012-08-29,2012.661,98.2
2012-08-30,2012.664,96.59
2012-08-31,2012.667,97.57
2012-09-03,2012.672,98.18
2012-09-04,2012.675,97.02
2012-09-05,2012.678,97.46
2012-09-06,2012.681,100.24
2012-09-07,2012.683,100.88
2012-09-10,2012.692,100.87
2012-09-11,2012.694,102.1
2012-09-12,2012.697,102.57
2012-09-13,2012.7,102.11
2012-09-14,2012.703,103.63
2012-09-17,2012.711,103.42
2012-09-18,2012.714,102.64
2012-09-19,2012.717,103.3
2012-09-20,2012.719,103.3
2012-09-21,2012.722,104.22
2012-09-24,2012.731,103.68
2012-09-25,2012.733,103.89
2012-09-26,2012.736,101.79
2012-09-27,2012.739,101.98
2012-09-28,2012.742,100.99
2012-10-01,2012.75,102.51
2012-10-02,2012.753,102.25
2012-10-03,2012.756,102.5
2012-10-04,2012.758,102.34
2012-10-05,2012.761,103.58
2012-10-08,2012.769,102.11
2012-10-09,2012.772,101.34
2012-10-10,2012.775,100.98
2012-10-11,2012.778,102.05
2012-10-12,2012.781,101.32
2012-10-15,2012.789,101.74
2012-10-16,2012.792,103.33
2012-10-17,2012.794,103.62
2012-10-18,2012.797,104.14
2012-10-19,2012.8,103.35
2012-10-22,2012.808,102.65
2012-10-23,2012.811,100.55
2012-10-24,2012.814,100.88
2012-10-25,2012.817,101.03
2012-10-26,2012.819,101.46
2012-10-29,2012.828,101.08
2012-10-30,2012.831,102.23
2012-10-31,2012.833,101.92
2012-11-01,2012.833,102.98
2012-11-02,2012.836,103.42
2012-11-05,2012.844,102.87
2012-11-06,2012.847,103.57
2012-11-07,2012.85,101.65
2012-11-08,2012.853,101.2
2012-11-09,2012.856,100.66
2012-11-12,2012.864,100.71
2012-11-13,2012.867,100.72
2012-11-14,2012.869,99.81
2012-11-15,2012.872,98.96
2012-11-16,2012.875,97.66
2012-11-19,2012.883,100.11
2012-11-20,2012.886,100.82
2012-11-21,2012.889,101.04
2012-11-22,2012.892,101.89
2012-11-23,2012.894,102.75
2012-11-26,2012.903,102.53
2012-11-27,2012.906,103.13
2012-11-28,2012.908,103.25
2012-11-29,2012.911,104.1
2012-11-30,2012.914,104.19
2012-12-03,2012.922,104.57
