Date,t,Close
2011-08-25,2011.65,2978.27
2011-08-26,2011.653,2997.74
2011-08-29,2011.661,3081.7
2011-08-30,2011.664,3088.61
2011-08-31,2011.667,3207.65
2011-09-01,2011.667,3236
2011-09-02,2011.669,3141.92
2011-09-05,2011.678,3053.17
2011-09-06,2011.681,3067.55
2011-09-07,2011.683,3169.98
2011-09-08,2011.686,3197.86
2011-09-09,2011.689,3110.53
2011-09-12,2011.697,3021.06
2011-09-13,2011.7,3020.33
2011-09-14,2011.703,3044.2
2011-09-15,2011.706,3120.79
2011-09-16,2011.708,3101.41
2011-09-19,2011.717,3039.86
2011-09-20,2011.719,3108.37
2011-09-21,2011.722,3121.48
2011-09-22,2011.725,3026.36
2011-09-23,2011.728,3022.17
2011-09-26,2011.736,3042.07
2011-09-27,2011.739,3164.36
2011-09-28,2011.742,3117.96
2011-09-29,2011.744,3142.9
2011-09-30,2011.747,3122.29
2011-10-03,2011.756,3121.3
2011-10-04,2011.758,3059.09
2011-10-05,2011.761,3061.95
2011-10-06,2011.764,3051.64
2011-10-07,2011.767,3054.84
2011-10-10,2011.775,3109.47
2011-10-11,2011.778,3076.09
2011-10-12,2011.781,3148.49
2011-10-13,2011.783,3111.3
2011-10-14,2011.786,3103.41
2011-10-17,2011.794,3041.08
2011-10-18,2011.797,3072.24
2011-10-19,2011.8,3045.57
2011-10-20,2011.803,3046.82
2011-10-21,2011.806,3105.47
2011-10-24,2011.814,3144.13
2011-10-25,2011.817,3164.47
2011-10-26,2011.819,3187.07
2011-10-27,2011.822,3310.98
2011-10-28,2011.825,3338.72
2011-10-31,2011.833,3227.46
2011-11-01,2011.833,3156.75
2011-11-02,2011.836,3144.49
2011-11-03,2011.839,3217.83
2011-11-04,2011.842,3234.8
2011-11-07,2011.85,3251.34
2011-11-08,2011.853,3299.23
2011-11-09,2011.856,3291.35
2011-11-10,2011.858,3250.29
2011-11-11,2011.861,3311.07
2011-11-14,2011.869,3335.17
2011-11-15,2011.872,3347.68
2011-11-16,2011.875,3352.58
2011-11-17,2011.878,3352.49
2011-11-18,2011.881,3332.61
2011-11-21,2011.889,3277.62
2011-11-22,2011.892,3250.93
2011-11-23,2011.894,3237.19
2011-11-24,2011.897,3206.78
2011-11-25,2011.9,3237.83
2011-11-28,2011.908,3304.84
2011-11-29,2011.911,3326.44
2011-11-30,2011.914,3442.04
2011-12-01,2011.917,3375.61
2011-12-02,2011.919,3425.74
2011-12-05,2011.928,3437.2
2011-12-06,2011.931,3443.28
2011-12-07,2011.933,3447.53
2011-12-08,2011.936,3420.15
2011-12-09,2011.939,3404.39
2011-12-12,2011.947,3382.55
2011-12-13,2011.95,3417.05
2011-12-14,2011.953,3333.53
2011-12-15,2011.956,3359.17
2011-12-16,2011.958,3346.82
2011-12-19,2011.967,3366.11
2011-12-20,2011.969,3406.22
2011-12-21,2011.972,3404.29
2011-12-22,2011.975,3374.76
2011-12-23,2011.978,3420.46
2011-12-27,2011.989,3429.7
2011-12-28,2011.992,3449.44
2011-12-29,2011.994,3454.71
2011-12-30,2011.997,3488.58
2012-01-02,2012.003,3562.77
2012-01-03,2012.006,3574.94
2012-01-04,2012.008,3515.4
2012-01-05,2012.011,3575.66
2012-01-06,2012.014,3566.24
2012-01-09,2012.022,3616.72
2012-01-10,2012.025,3627.94
2012-01-11,2012.028,3585.02
2012-01-12,2012.031,3579.25
2012-01-13,2012.033,3565.4
2012-01-16,2012.042,3600.99
2012-01-17,2012.044,3605.66
2012-01-18,2012.047,3610.29
2012-01-19,2012.05,3627.97
2012-01-20,2012.053,3593.43
2012-01-23,2012.061,3598.85
2012-01-24,2012.064,3568.28
2012-01-25,2012.067,3578.13
2012-01-26,2012.069,3609.9
2012-01-27,2012.072,3575.34
2012-01-30,2012.081,3547.3
2012-01-31,2012.083,3612.93
2012-02-01,2012.083,3680.89
2012-02-02,2012.086,3755.3
2012-02-03,2012.089,3840.11
2012-02-06,2012.097,3829.81
2012-02-07,2012.1,3876
2012-02-08,2012.103,3886.2
2012-02-09,2012.106,3890.7
2012-02-10,2012.108,3890.37
2012-02-13,2012.117,3961.26
2012-02-14,2012.119,3935.57
2012-02-15,2012.122,4039.36
2012-02-16,2012.125,3998.22
2012-02-17,2012.128,4011.77
2012-02-20,2012.136,4065.64
2012-02-21,2012.139,4034.38
2012-02-22,2012.142,4018.64
2012-02-23,2012.144,4044.35
2012-02-24,2012.147,4063.24
2012-02-27,2012.156,4008.2
2012-02-28,2012.158,4056.92
2012-02-29,2012.161,4043.61
2012-03-01,2012.167,4072.45
2012-03-02,2012.169,4072.07
2012-03-05,2012.178,4059.02
2012-03-06,2012.181,3964.1
2012-03-07,2012.183,3986.75
2012-03-08,2012.186,3992.11
2012-03-09,2012.189,4065.02
2012-03-12,2012.197,4069.92
2012-03-13,2012.2,4101.71
2012-03-14,2012.203,4082.38
2012-03-15,2012.206,4077.88
2012-03-16,2012.208,4094.09
2012-03-19,2012.217,4093.21
2012-03-20,2012.219,4087.35
2012-03-21,2012.222,4086.55
2012-03-22,2012.225,4023.27
2012-03-23,2012.228,3996.8
