Date,t,Close
2011-12-28,2011.992,772.02
2011-12-29,2011.994,779.15
2011-12-30,2011.997,779.15
2012-01-02,2012.003,791.79
2012-01-03,2012.006,786.75
2012-01-04,2012.008,786.52
2012-01-05,2012.011,780.81
2012-01-06,2012.014,780.81
2012-01-09,2012.022,786.55
2012-01-10,2012.025,806.75
2012-01-11,2012.028,813.17
2012-01-12,2012.031,813.92
2012-01-13,2012.033,813.91
2012-01-16,2012.042,824.52
2012-01-17,2012.044,832.98
2012-01-18,2012.047,838.39
2012-01-19,2012.05,831.94
2012-01-20,2012.053,831.94
2012-01-23,2012.061,868.15
2012-01-24,2012.064,895.82
2012-01-25,2012.067,895.82
2012-01-26,2012.069,961.15
2012-01-27,2012.072,961.15
2012-01-30,2012.081,979.65
2012-01-31,2012.083,1004.17
2012-02-01,2012.083,1012.46
2012-02-02,2012.086,991.82
2012-02-03,2012.089,991.82
2012-02-06,2012.097,982.41
2012-02-07,2012.1,991.37
2012-02-08,2012.103,1019.94
2012-02-09,2012.106,1032.26
2012-02-10,2012.108,1032.28
2012-02-13,2012.117,1108.73
2012-02-14,2012.119,1099.61
2012-02-15,2012.122,1083.73
2012-02-16,2012.125,1074.9
2012-02-17,2012.128,1074.9
2012-02-20,2012.136,1112.62
2012-02-21,2012.139,1085.79
2012-02-22,2012.142,1083.78
2012-02-23,2012.144,1109.73
2012-02-24,2012.147,1109.73
2012-02-27,2012.156,1121.19
2012-02-28,2012.158,1122.41
2012-02-29,2012.161,1152.65
2012-03-01,2012.167,1157.32
2012-03-02,2012.169,1157.32
2012-03-05,2012.178,1152.44
2012-03-06,2012.181,1169.93
2012-03-07,2012.183,1178.81
2012-03-08,2012.186,1168.51
2012-03-09,2012.189,1168.51
2012-03-12,2012.197,1133.44
2012-03-13,2012.2,1099.35
2012-03-14,2012.203,1107.55
2012-03-15,2012.206,1123.11
2012-03-16,2012.208,1123.11
2012-03-19,2012.217,1094.8
2012-03-20,2012.219,1103.6
2012-03-21,2012.222,1114.56
2012-03-22,2012.225,1120.42
2012-03-23,2012.228,1120.42
2012-03-26,2012.236,1071.87
2012-03-27,2012.239,1088.6
2012-03-28,2012.242,1101.74
2012-03-29,2012.244,1096.48
2012-03-30,2012.247,1096.48
2012-04-02,2012.253,1085.24
2012-04-03,2012.256,1071.75
2012-04-04,2012.258,1057.54
2012-04-05,2012.261,1054.1
2012-04-06,2012.264,1054.1
2012-04-09,2012.272,1001.26
2012-04-10,2012.275,994.63
2012-04-11,2012.278,1015.43
2012-04-12,2012.281,1035
2012-04-13,2012.283,1035
2012-04-16,2012.292,1035
2012-04-17,2012.294,1023.77
2012-04-18,2012.297,1022.87
2012-04-19,2012.3,1029.29
2012-04-20,2012.303,1029.29
2012-04-23,2012.311,1080.85
2012-04-24,2012.314,1072.56
2012-04-25,2012.317,1072.56
2012-04-26,2012.319,1078.47
2012-04-27,2012.322,1078.47
2012-04-30,2012.331,1082.62
2012-05-01,2012.333,1082.62
2012-05-02,2012.336,1078.14
2012-05-03,2012.339,1083.64
2012-05-04,2012.342,1083.64
2012-05-07,2012.35,1099.91
2012-05-08,2012.353,1104.49
2012-05-09,2012.356,1098.81
2012-05-10,2012.358,1093.98
2012-05-11,2012.361,1093.98
2012-05-14,2012.369,1104.8
2012-05-15,2012.372,1093.21
2012-05-16,2012.375,1082.59
2012-05-17,2012.378,1072.18
2012-05-18,2012.381,1072.18
2012-05-21,2012.389,1068.75
2012-05-22,2012.392,1066.34
2012-05-23,2012.394,1077.83
2012-05-24,2012.397,1089.52
2012-05-25,2012.4,1089.52
2012-05-28,2012.408,1033.53
2012-05-29,2012.411,1027.81
2012-05-30,2012.414,1029.41
2012-05-31,2012.417,1027.81
2012-06-01,2012.417,1027.81
2012-06-04,2012.425,1015
2012-06-05,2012.428,990.16
2012-06-06,2012.431,991.6
2012-06-07,2012.433,992.62
2012-06-08,2012.436,992.62
2012-06-11,2012.444,974.8
2012-06-12,2012.447,989.53
2012-06-13,2012.45,985.52
2012-06-14,2012.453,983.63
2012-06-15,2012.456,983.63
2012-06-18,2012.464,946.36
2012-06-19,2012.467,903.43
2012-06-20,2012.469,908.93
2012-06-21,2012.472,892.32
2012-06-22,2012.475,892.32
2012-06-25,2012.483,991.8
2012-06-26,2012.486,1020.66
2012-06-27,2012.489,1019.72
2012-06-28,2012.492,1033.71
2012-06-29,2012.494,1033.71
2012-07-02,2012.503,1087.36
2012-07-03,2012.506,1098.51
2012-07-04,2012.508,1085.13
2012-07-05,2012.511,1093.12
2012-07-06,2012.514,1093.15
2012-07-09,2012.522,1039.1
2012-07-10,2012.525,1040.27
2012-07-11,2012.528,1058.67
2012-07-12,2012.531,1065.32
2012-07-13,2012.533,1065.32
2012-07-16,2012.542,1051.85
2012-07-17,2012.544,1069.49
2012-07-18,2012.547,1072.82
2012-07-19,2012.55,1081.07
2012-07-20,2012.553,1081.07
2012-07-23,2012.561,1080.28
2012-07-24,2012.564,1066.05
2012-07-25,2012.567,1048.26
2012-07-26,2012.569,1050.17
2012-07-27,2012.572,1050.17
2012-07-30,2012.581,1050.46
2012-07-31,2012.583,1070.98
2012-08-01,2012.583,1090.5
2012-08-02,2012.586,1105.02
2012-08-03,2012.589,1105.02
2012-08-06,2012.597,1109.55
2012-08-07,2012.6,1114.94
2012-08-08,2012.603,1104.7
