Date,t,Close
2012-07-24,2012.564,64.7
2012-07-25,2012.567,65.19
2012-07-26,2012.569,69.38
2012-07-27,2012.572,72.2
2012-07-30,2012.581,74.21
2012-07-31,2012.583,73.56
2012-08-01,2012.583,73.38
2012-08-02,2012.586,69.41
2012-08-03,2012.589,73.83
2012-08-06,2012.597,77.12
2012-08-07,2012.6,78.87
2012-08-08,2012.603,78.27
2012-08-09,2012.606,77.79
2012-08-10,2012.608,77.18
2012-08-13,2012.617,77.5
2012-08-14,2012.619,78.13
2012-08-15,2012.622,78.22
2012-08-16,2012.625,81.28
2012-08-17,2012.628,82.81
2012-08-20,2012.636,81.79
2012-08-21,2012.639,82.6
2012-08-22,2012.642,80.38
2012-08-23,2012.644,79.8
2012-08-24,2012.647,80.08
2012-08-27,2012.656,81.02
2012-08-28,2012.658,80.35
2012-08-29,2012.661,79.98
2012-08-30,2012.664,78.66
2012-08-31,2012.667,81.35
2012-09-03,2012.672,81.51
2012-09-04,2012.675,82.13
2012-09-05,2012.678,82.17
2012-09-06,2012.681,86.24
2012-09-07,2012.683,86.73
2012-09-10,2012.692,86.38
2012-09-11,2012.694,87.26
2012-09-12,2012.697,88.07
2012-09-13,2012.7,87.28
2012-09-14,2012.703,89.6
2012-09-17,2012.711,89.46
2012-09-18,2012.714,88.28
2012-09-19,2012.717,88.63
2012-09-20,2012.719,87.67
2012-09-21,2012.722,90.09
2012-09-24,2012.731,89.08
2012-09-25,2012.733,89.46
2012-09-26,2012.736,85.87
2012-09-27,2012.739,85.79
2012-09-28,2012.742,84.23
2012-10-01,2012.75,84.96
2012-10-02,2012.753,85.89
2012-10-03,2012.756,85.28
2012-10-04,2012.758,85.12
2012-10-05,2012.761,86.88
2012-10-08,2012.769,86.14
2012-10-09,2012.772,84.47
2012-10-10,2012.775,83.54
2012-10-11,2012.778,84.36
2012-10-12,2012.781,83.42
2012-10-15,2012.789,83.83
2012-10-16,2012.792,86.81
2012-10-17,2012.794,88.88
2012-10-18,2012.797,88.48
2012-10-19,2012.8,86.35
2012-10-22,2012.808,85.84
2012-10-23,2012.811,84.46
2012-10-24,2012.814,84.91
2012-10-25,2012.817,84.71
2012-10-26,2012.819,84.65
2012-10-29,2012.828,84.05
2012-10-30,2012.831,85.25
2012-10-31,2012.833,85.5
2012-11-01,2012.833,85.94
2012-11-02,2012.836,86.76
2012-11-05,2012.844,85.04
2012-11-06,2012.847,85.24
2012-11-07,2012.85,83.17
2012-11-08,2012.853,82.87
2012-11-09,2012.856,82.97
2012-11-12,2012.864,82.18
2012-11-13,2012.867,83.83
2012-11-14,2012.869,83.63
2012-11-15,2012.872,83.91
2012-11-16,2012.875,82.64
2012-11-19,2012.883,84.56
2012-11-20,2012.886,84.73
2012-11-21,2012.889,85.07
2012-11-22,2012.892,85.84
2012-11-23,2012.894,86.27
2012-11-26,2012.903,85.89
2012-11-27,2012.906,85.75
2012-11-28,2012.908,85.43
2012-11-29,2012.911,86.96
2012-11-30,2012.914,86.65
2012-12-03,2012.922,86.15
2012-12-04,2012.925,86.36
2012-12-05,2012.928,86.08
2012-12-06,2012.931,86.45
2012-12-07,2012.933,85.75
2012-12-10,2012.942,85.12
2012-12-11,2012.944,86.37
2012-12-12,2012.947,87.1
2012-12-13,2012.95,87.47
2012-12-14,2012.953,87.5
2012-12-17,2012.961,87.45
2012-12-18,2012.964,88.78
2012-12-19,2012.967,89.76
2012-12-20,2012.969,89.79
2012-12-21,2012.972,90.21
2012-12-24,2012.981,90.23
2012-12-27,2012.989,90.11
2012-12-28,2012.992,88.57
2012-12-31,2013,89.11
2013-01-02,2013.003,92.12
2013-01-03,2013.006,91.67
2013-01-04,2013.008,92.12
2013-01-07,2013.017,91.92
2013-01-08,2013.019,92.27
2013-01-09,2013.022,94.16
2013-01-10,2013.025,94.39
2013-01-11,2013.028,94.97
2013-01-14,2013.036,94.83
2013-01-15,2013.039,94.29
2013-01-16,2013.042,94.21
2013-01-17,2013.044,94.64
2013-01-18,2013.047,94.31
2013-01-21,2013.056,94.84
2013-01-22,2013.058,94.46
2013-01-23,2013.061,94.22
2013-01-24,2013.064,94.89
2013-01-25,2013.067,95.59
2013-01-28,2013.075,95.06
2013-01-29,2013.078,94.71
2013-01-30,2013.081,93.81
2013-01-31,2013.083,91.47
2013-02-01,2013.083,89.92
2013-02-04,2013.092,86.3
2013-02-05,2013.094,88.31
2013-02-06,2013.097,87.82
2013-02-07,2013.1,87.34
2013-02-08,2013.103,89.27
2013-02-11,2013.111,88.2
2013-02-12,2013.114,89.89
2013-02-13,2013.117,90.66
2013-02-14,2013.119,89.94
2013-02-15,2013.122,88.8
2013-02-18,2013.131,88.32
2013-02-19,2013.133,89.62
2013-02-20,2013.136,88.87
2013-02-21,2013.139,87.18
2013-02-22,2013.142,89.04
2013-02-25,2013.15,89.75
2013-02-26,2013.153,86.66
2013-02-27,2013.156,88.41
2013-02-28,2013.158,89.4
2013-03-01,2013.167,88.92
2013-03-04,2013.175,89.67
2013-03-05,2013.178,91.56
2013-03-06,2013.181,90.81
2013-03-07,2013.183,91.19
2013-03-08,2013.186,93.96
2013-03-11,2013.194,93.06
2013-03-12,2013.197,92.71
2013-03-13,2013.2,92.41
2013-03-14,2013.203,94.35
2013-03-15,2013.206,93.98
2013-03-18,2013.214,92.59
2013-03-19,2013.217,90.4
2013-03-20,2013.219,91.55
2013-03-21,2013.222,90.81
2013-03-22,2013.225,90.54
2013-03-25,2013.233,88.26
2013-03-26,2013.236,86.32
2013-03-27,2013.239,85.43
2013-03-28,2013.242,85.59
2013-04-02,2013.253,87.17
2013-04-03,2013.256,85.39
2013-04-04,2013.258,84.85
2013-04-05,2013.261,84.43
2013-04-08,2013.269,84.3
2013-04-09,2013.272,85.3
2013-04-10,2013.275,88.36
2013-04-11,2013.278,88.58
2013-04-12,2013.281,87.01
2013-04-15,2013.289,86.76
2013-04-16,2013.292,86.12
2013-04-17,2013.294,84.65
2013-04-18,2013.297,84.8
2013-04-19,2013.3,85.89
2013-04-22,2013.308,87.05
2013-04-23,2013.311,90.1
2013-04-24,2013.314,91.17
2013-04-25,2013.317,90.72
2013-04-26,2013.319,89.89
2013-04-29,2013.328,91.67
2013-04-30,2013.331,91.26
2013-05-02,2013.336,91.13
2013-05-03,2013.339,92.68
2013-05-06,2013.347,92.13
2013-05-07,2013.35,92.67
2013-05-08,2013.353,93.09
2013-05-09,2013.356,92.81
2013-05-10,2013.358,92.39
2013-05-13,2013.367,91.35
2013-05-14,2013.369,91.49
2013-05-15,2013.372,92.65
2013-05-16,2013.375,92.29
2013-05-17,2013.378,92.7
2013-05-20,2013.386,91.92
2013-05-21,2013.389,91.33
2013-05-22,2013.392,91.33
2013-05-23,2013.394,90.11
2013-05-24,2013.397,89.2
2013-05-27,2013.406,90.3
2013-05-28,2013.408,92.02
2013-05-29,2013.411,91.34
2013-05-30,2013.414,91.22
2013-05-31,2013.417,90.07
2013-06-03,2013.422,89.47
2013-06-04,2013.425,90.22
2013-06-05,2013.428,89.38
2013-06-06,2013.431,88.51
2013-06-07,2013.433,89.02
2013-06-10,2013.442,88.51
2013-06-11,2013.444,87.03
2013-06-12,2013.447,87.31
2013-06-13,2013.45,86.74
2013-06-14,2013.453,86.75
2013-06-17,2013.461,87.49
2013-06-18,2013.464,87.97
2013-06-19,2013.467,87.08
2013-06-20,2013.469,84.11
2013-06-21,2013.472,82.79
2013-06-24,2013.481,81.09
2013-06-25,2013.483,81.64
2013-06-26,2013.486,84.09
2013-06-27,2013.489,84.11
2013-06-28,2013.492,83.26
2013-07-01,2013.5,84.76
2013-07-02,2013.503,84.58
2013-07-03,2013.506,83.31
2013-07-04,2013.508,86.05
2013-07-05,2013.511,84.48
2013-07-08,2013.519,86.14
2013-07-09,2013.522,86.14
