Date,t,Close
2012-06-04,2012.425,58.61
2012-06-05,2012.428,59.17
2012-06-06,2012.431,60.9
2012-06-07,2012.433,61.66
2012-06-08,2012.436,61.86
2012-06-11,2012.444,61.3
2012-06-12,2012.447,61.46
2012-06-13,2012.45,60.17
2012-06-14,2012.453,58.82
2012-06-15,2012.456,60.45
2012-06-18,2012.464,60.45
2012-06-19,2012.467,61.7
2012-06-20,2012.469,62.22
2012-06-21,2012.472,61.67
2012-06-25,2012.483,59.24
2012-06-26,2012.486,58.81
2012-06-27,2012.489,59.93
2012-06-28,2012.492,59.42
2012-06-29,2012.494,61.35
2012-07-02,2012.503,62.58
2012-07-03,2012.506,63.48
2012-07-04,2012.508,63.31
2012-07-05,2012.511,62.96
2012-07-06,2012.514,61.7
2012-07-09,2012.522,61.09
2012-07-10,2012.525,61.74
2012-07-11,2012.528,61.61
2012-07-12,2012.531,61.22
2012-07-13,2012.533,61.72
2012-07-16,2012.542,62.21
2012-07-17,2012.544,61.71
2012-07-18,2012.547,61.54
2012-07-19,2012.55,62.36
2012-07-20,2012.553,60.78
2012-07-23,2012.561,59.22
2012-07-24,2012.564,59.19
2012-07-25,2012.567,59.85
2012-07-26,2012.569,61.61
2012-07-27,2012.572,63.15
2012-07-30,2012.581,64.11
2012-07-31,2012.583,63.68
2012-08-01,2012.583,63.71
2012-08-02,2012.586,62.04
2012-08-03,2012.589,64.11
2012-08-06,2012.597,65.02
2012-08-07,2012.6,66.36
2012-08-08,2012.603,65.99
2012-08-09,2012.606,67.23
2012-08-10,2012.608,66.93
2012-08-13,2012.617,66.08
2012-08-14,2012.619,65.57
2012-08-15,2012.622,65.49
2012-08-16,2012.625,66.65
2012-08-17,2012.628,67.14
2012-08-20,2012.636,66.93
2012-08-21,2012.639,67.76
2012-08-22,2012.642,67.13
2012-08-23,2012.644,66.72
2012-08-24,2012.647,66.9
2012-08-27,2012.656,68.09
2012-08-28,2012.658,66.51
2012-08-29,2012.661,65.53
2012-08-30,2012.664,65.12
2012-08-31,2012.667,65.8
2012-09-03,2012.672,66.88
2012-09-04,2012.675,65.84
2012-09-05,2012.678,64.64
2012-09-06,2012.681,65.62
2012-09-07,2012.683,67.35
2012-09-10,2012.692,67.37
2012-09-11,2012.694,68.13
2012-09-12,2012.697,68.95
2012-09-13,2012.7,68.95
2012-09-14,2012.703,71
2012-09-17,2012.711,70.15
2012-09-18,2012.714,68.74
2012-09-19,2012.717,68.93
2012-09-20,2012.719,68.44
2012-09-21,2012.722,68.5
2012-09-24,2012.731,67.67
2012-09-25,2012.733,68.71
2012-09-26,2012.736,66.94
2012-09-27,2012.739,67.53
2012-09-28,2012.742,66.94
2012-10-01,2012.75,68.25
2012-10-02,2012.753,67.82
2012-10-03,2012.756,67.31
2012-10-04,2012.758,67.18
2012-10-05,2012.761,68.35
2012-10-08,2012.769,67.83
2012-10-09,2012.772,67.91
2012-10-10,2012.775,67.37
2012-10-11,2012.778,67.81
2012-10-12,2012.781,67.26
2012-10-15,2012.789,67.86
2012-10-16,2012.792,68.74
2012-10-17,2012.794,69.52
2012-10-18,2012.797,69.88
2012-10-19,2012.8,68.63
2012-10-22,2012.808,68.82
2012-10-23,2012.811,67.43
2012-10-24,2012.814,67.62
2012-10-25,2012.817,67.04
2012-10-26,2012.819,67.07
2012-10-29,2012.828,67.14
2012-10-30,2012.831,68.15
2012-10-31,2012.833,68.08
2012-11-01,2012.833,69.34
2012-11-02,2012.836,70.17
