Date,t,Close
2011-09-22,2011.725,77.85
2011-09-23,2011.728,78.53
2011-09-26,2011.736,79.79
2011-09-27,2011.739,84.24
2011-09-28,2011.742,83.44
2011-09-29,2011.744,84.28
2011-09-30,2011.747,82.96
2011-10-03,2011.756,81.4
2011-10-04,2011.758,79.26
2011-10-05,2011.761,82.54
2011-10-06,2011.764,85.38
2011-10-07,2011.767,85.9
2011-10-10,2011.775,87.69
2011-10-11,2011.778,87.46
2011-10-12,2011.781,89.54
2011-10-13,2011.783,88.39
2011-10-14,2011.786,89.27
2011-10-17,2011.794,87.88
2011-10-18,2011.797,87.23
2011-10-19,2011.8,87.59
2011-10-20,2011.803,85.62
2011-10-21,2011.806,88.08
2011-10-24,2011.814,89.46
2011-10-25,2011.817,88.29
2011-10-26,2011.819,88.19
2011-10-27,2011.822,93.45
2011-10-28,2011.825,92.92
2011-10-31,2011.833,90.07
2011-11-01,2011.833,85.38
2011-11-02,2011.836,86.46
2011-11-03,2011.839,88.82
2011-11-04,2011.842,86.96
2011-11-07,2011.85,86.42
2011-11-08,2011.853,87.43
2011-11-09,2011.856,85.54
2011-11-10,2011.858,85.22
2011-11-11,2011.861,87.48
2011-11-14,2011.869,86.34
2011-11-15,2011.872,84.74
2011-11-16,2011.875,85.13
2011-11-17,2011.878,83.61
2011-11-18,2011.881,83.21
2011-11-21,2011.889,80.43
2011-11-22,2011.892,79.78
2011-11-23,2011.894,78.46
2011-11-24,2011.897,78.51
2011-11-25,2011.9,79.39
2011-11-28,2011.908,83.63
2011-11-29,2011.911,84.07
2011-11-30,2011.914,87.55
2011-12-01,2011.917,86.86
2011-12-02,2011.919,87.78
2011-12-05,2011.928,88.78
2011-12-06,2011.931,88.19
2011-12-07,2011.933,88.06
2011-12-08,2011.936,85.82
2011-12-09,2011.939,87.81
2011-12-12,2011.947,85.56
2011-12-13,2011.95,85.25
2011-12-14,2011.953,82.49
2011-12-15,2011.956,83.11
2011-12-16,2011.958,82.52
2011-12-19,2011.967,82.56
2011-12-20,2011.969,84.85
2011-12-21,2011.972,84.15
2011-12-22,2011.975,85.24
2011-12-23,2011.978,86.09
2011-12-27,2011.989,86.11
2011-12-28,2011.992,85.32
2011-12-29,2011.994,86.8
2011-12-30,2011.997,87.68
2012-01-02,2012.003,89.37
2012-01-03,2012.006,90.01
2012-01-04,2012.008,88.63
2012-01-05,2012.011,87.23
2012-01-06,2012.014,87.05
2012-01-09,2012.022,86.77
2012-01-10,2012.025,89
2012-01-11,2012.028,88.91
2012-01-12,2012.031,88.9
2012-01-13,2012.033,88.73
2012-01-16,2012.042,89.51
2012-01-17,2012.044,90.76
2012-01-18,2012.047,90.67
2012-01-19,2012.05,92.42
2012-01-20,2012.053,92.24
2012-01-23,2012.061,92.73
2012-01-24,2012.064,92.2
2012-01-25,2012.067,91.98
2012-01-26,2012.069,93.44
2012-01-27,2012.072,92.27
2012-01-30,2012.081,90.81
2012-01-31,2012.083,91.73
2012-02-01,2012.083,93.63
2012-02-02,2012.086,93.9
2012-02-03,2012.089,95.27
2012-02-06,2012.097,94.69
2012-02-07,2012.1,94.76
2012-02-08,2012.103,94.76
2012-02-09,2012.106,95.18
2012-02-10,2012.108,93.85
2012-02-13,2012.117,94.15
2012-02-14,2012.119,93.89
2012-02-15,2012.122,94.34
2012-02-16,2012.125,94.42
2012-02-17,2012.128,95.64
2012-02-20,2012.136,96.55
2012-02-21,2012.139,96.32
2012-02-22,2012.142,95.81
2012-02-23,2012.144,95.84
2012-02-24,2012.147,96.47
2012-02-27,2012.156,95.72
2012-02-28,2012.158,96.09
2012-02-29,2012.161,96.12
2012-03-01,2012.167,97.37
2012-03-02,2012.169,97.44
2012-03-05,2012.178,97.03
2012-03-06,2012.181,93.61
2012-03-07,2012.183,94.5
2012-03-08,2012.186,96.9
2012-03-09,2012.189,97.18
2012-03-12,2012.197,97.28
2012-03-13,2012.2,98.94
2012-03-14,2012.203,99.27
2012-03-15,2012.206,99.7
2012-03-16,2012.208,100.13
2012-03-19,2012.217,99.68
2012-03-20,2012.219,98.45
2012-03-21,2012.222,98.36
2012-03-22,2012.225,96.9
2012-03-23,2012.228,97.03
2012-03-26,2012.236,97.8
2012-03-27,2012.239,97
2012-03-28,2012.242,95.92
2012-03-29,2012.244,94.56
2012-03-30,2012.247,95.77
2012-04-02,2012.253,96.84
2012-04-03,2012.256,95.36
2012-04-04,2012.258,92.69
2012-04-05,2012.261,92.85
2012-04-10,2012.275,90.1
2012-04-11,2012.278,90.75
2012-04-12,2012.281,91.7
2012-04-13,2012.283,89.6
2012-04-16,2012.292,89.96
2012-04-17,2012.294,92.34
2012-04-18,2012.297,90.93
2012-04-19,2012.3,89.25
2012-04-20,2012.303,89.49
2012-04-23,2012.311,86.98
2012-04-24,2012.314,88.87
2012-04-25,2012.317,90.69
2012-04-26,2012.319,90.65
2012-04-27,2012.322,91.71
2012-04-30,2012.331,90.31
2012-05-02,2012.336,90.7
2012-05-03,2012.339,90.62
2012-05-04,2012.342,88.89
2012-05-07,2012.35,90.3
2012-05-08,2012.353,87.85
2012-05-09,2012.356,87.7
2012-05-10,2012.358,87.99
2012-05-11,2012.361,87.94
2012-05-14,2012.369,85.94
2012-05-15,2012.372,85.42
2012-05-16,2012.375,85.6
2012-05-17,2012.378,84.58
2012-05-18,2012.381,84.4
2012-05-21,2012.389,84.92
2012-05-22,2012.392,86.51
2012-05-23,2012.394,84.23
2012-05-24,2012.397,85.2
2012-05-25,2012.4,85.44
2012-05-28,2012.408,85.33
2012-05-29,2012.411,86.46
2012-05-30,2012.414,84.59
2012-05-31,2012.417,84.56
2012-06-01,2012.417,82.63
2012-06-04,2012.425,82.7
2012-06-05,2012.428,83.57
2012-06-06,2012.431,85.55
2012-06-07,2012.433,86.01
2012-06-08,2012.436,85.49
2012-06-11,2012.444,85.25
2012-06-12,2012.447,85.3
2012-06-13,2012.45,84.84
2012-06-14,2012.453,84.89
2012-06-15,2012.456,86.38
2012-06-18,2012.464,85.89
2012-06-19,2012.467,87.26
2012-06-20,2012.469,87.53
2012-06-21,2012.472,87.18
2012-06-22,2012.475,86.51
2012-06-25,2012.483,84.69
2012-06-26,2012.486,84.4
2012-06-27,2012.489,85.82
2012-06-28,2012.492,85.51
2012-06-29,2012.494,89.43
2012-07-02,2012.503,90.67
2012-07-03,2012.506,91.51
2012-07-04,2012.508,91.44
2012-07-05,2012.511,90.45
2012-07-06,2012.514,88.86
2012-07-09,2012.522,88.52
2012-07-10,2012.525,89.05
2012-07-11,2012.528,88.51
2012-07-12,2012.531,87.89
2012-07-13,2012.533,89.17
2012-07-16,2012.542,89.17
2012-07-17,2012.544,89.1
2012-07-18,2012.547,90.66
2012-07-19,2012.55,91.53
2012-07-20,2012.553,89.71
2012-07-23,2012.561,87.07
2012-07-24,2012.564,86.4
2012-07-25,2012.567,86.64
2012-07-26,2012.569,90.05
2012-07-27,2012.572,91.89
2012-07-30,2012.581,92.97
2012-07-31,2012.583,92.12
2012-08-01,2012.583,92.89
2012-08-02,2012.586,90.59
2012-08-03,2012.589,94.33
2012-08-06,2012.597,95.09
2012-08-07,2012.6,96.36
2012-08-08,2012.603,95.92
2012-08-09,2012.606,96.39
2012-08-10,2012.608,95.88
2012-08-13,2012.617,95.61
2012-08-14,2012.619,96.22
2012-08-15,2012.622,96.22
