Date,t,Close
2011-10-04,2011.758,1466.74
2011-10-05,2011.761,1513.05
2011-10-06,2011.764,1568.54
2011-10-07,2011.767,1572.3
2011-10-10,2011.775,1600.64
2011-10-11,2011.778,1599.69
2011-10-12,2011.781,1613.1
2011-10-13,2011.783,1601.69
2011-10-14,2011.786,1620.27
2011-10-17,2011.794,1611.72
2011-10-18,2011.797,1603.87
2011-10-19,2011.8,1615.84
2011-10-20,2011.803,1596.38
2011-10-21,2011.806,1627
2011-10-24,2011.814,1644.72
2011-10-25,2011.817,1638.23
2011-10-26,2011.819,1646.29
2011-10-27,2011.822,1693.28
2011-10-28,2011.825,1689.94
2011-10-31,2011.833,1643.33
2011-11-01,2011.833,1607.15
2011-11-02,2011.836,1625.28
2011-11-03,2011.839,1643.05
2011-11-04,2011.842,1637.92
2011-11-07,2011.85,1633.14
2011-11-08,2011.853,1649.98
2011-11-09,2011.856,1618.49
2011-11-10,2011.858,1614.01
2011-11-11,2011.861,1643.54
2011-11-14,2011.869,1636.02
2011-11-15,2011.872,1635.24
2011-11-16,2011.875,1630.38
2011-11-17,2011.878,1605.1
2011-11-18,2011.881,1587.13
2011-11-21,2011.889,1545.67
2011-11-22,2011.892,1540.99
2011-11-23,2011.894,1521.33
2011-11-24,2011.897,1517.35
2011-11-25,2011.9,1528.38
2011-11-28,2011.908,1572.03
2011-11-29,2011.911,1579.33
2011-11-30,2011.914,1629.47
2011-12-01,2011.917,1624.7
2011-12-02,2011.919,1643.32
2011-12-05,2011.928,1647.85
2011-12-06,2011.931,1648.23
2011-12-07,2011.933,1641.85
2011-12-08,2011.936,1623.19
2011-12-09,2011.939,1636.68
2011-12-12,2011.947,1606.86
2011-12-13,2011.95,1625.24
2011-12-14,2011.953,1588.94
2011-12-15,2011.956,1598.92
2011-12-16,2011.958,1595.03
2011-12-19,2011.967,1588.5
2011-12-20,2011.969,1604.68
2011-12-21,2011.972,1595.32
2011-12-22,2011.975,1615.05
2011-12-23,2011.978,1631.3
2011-12-28,2011.992,1630.37
2011-12-29,2011.994,1648.01
2011-12-30,2011.997,1649.61
2012-01-03,2012.006,1687.04
2012-01-04,2012.008,1677.92
2012-01-05,2012.011,1664.79
2012-01-06,2012.014,1672.81
2012-01-09,2012.022,1661.61
2012-01-10,2012.025,1686.19
2012-01-11,2012.028,1678.31
2012-01-12,2012.031,1676.01
2012-01-13,2012.033,1667.84
2012-01-16,2012.042,1674.16
2012-01-17,2012.044,1684.97
2012-01-18,2012.047,1687.34
2012-01-19,2012.05,1698.45
2012-01-20,2012.053,1694.77
2012-01-23,2012.061,1710.76
2012-01-24,2012.064,1701.82
2012-01-25,2012.067,1693.25
2012-01-26,2012.069,1713.86
2012-01-27,2012.072,1695.69
2012-01-30,2012.081,1677.17
2012-01-31,2012.083,1680.49
2012-02-01,2012.083,1712.51
2012-02-02,2012.086,1713.71
2012-02-03,2012.089,1744.62
2012-02-06,2012.097,1742.51
2012-02-07,2012.1,1741.99
2012-02-08,2012.103,1738.03
2012-02-09,2012.106,1743.93
2012-02-10,2012.108,1731.31
2012-02-13,2012.117,1747.5
2012-02-14,2012.119,1745.78
2012-02-15,2012.122,1743.1
2012-02-16,2012.125,1741.03
2012-02-17,2012.128,1746.41
2012-02-20,2012.136,1758.04
2012-02-21,2012.139,1753.07
2012-02-22,2012.142,1750.06
2012-02-23,2012.144,1756.38
2012-02-24,2012.147,1755.45
2012-02-27,2012.156,1749.69
2012-02-28,2012.158,1753.46
2012-02-29,2012.161,1736.62
2012-03-01,2012.167,1754.47
2012-03-02,2012.169,1748.45
2012-03-05,2012.178,1738.06
2012-03-06,2012.181,1706.01
2012-03-07,2012.183,1713.97
2012-03-08,2012.186,1733.94
2012-03-09,2012.189,1742.33
2012-03-12,2012.197,1743.78
2012-03-13,2012.2,1762.45
2012-03-14,2012.203,1759.37
2012-03-15,2012.206,1757.62
2012-03-16,2012.208,1765.12
2012-03-19,2012.217,1764.3
2012-03-20,2012.219,1743.99
2012-03-21,2012.222,1744.08
2012-03-22,2012.225,1730.35
2012-03-23,2012.228,1733.17
2012-03-26,2012.236,1747.36
2012-03-27,2012.239,1737.64
2012-03-28,2012.242,1720.11
2012-03-29,2012.244,1700.32
2012-03-30,2012.247,1708.1
2012-04-02,2012.253,1739.51
2012-04-03,2012.256,1728.83
2012-04-04,2012.258,1689.34
2012-04-05,2012.261,1695.05
2012-04-10,2012.275,1657.05
2012-04-11,2012.278,1668.56
2012-04-12,2012.281,1690.49
2012-04-13,2012.283,1672.93
2012-04-16,2012.292,1676.91
2012-04-17,2012.294,1706.57
2012-04-18,2012.297,1700.13
2012-04-19,2012.3,1699.86
2012-04-20,2012.303,1707.73
2012-04-23,2012.311,1676.57
2012-04-24,2012.314,1689.42
2012-04-25,2012.317,1691.64
2012-04-26,2012.319,1701.05
2012-04-27,2012.322,1709.09
2012-04-30,2012.331,1697.59
2012-05-01,2012.333,1719.57
2012-05-02,2012.336,1703.48
2012-05-03,2012.339,1706.57
2012-05-04,2012.342,1673.76
2012-05-08,2012.353,1644.84
2012-05-09,2012.356,1637.71
2012-05-10,2012.358,1641.49
2012-05-11,2012.361,1650.89
2012-05-14,2012.369,1618.72
2012-05-15,2012.372,1610.71
2012-05-16,2012.375,1600.76
2012-05-17,2012.378,1581.35
2012-05-18,2012.381,1560.28
2012-05-21,2012.389,1570.88
2012-05-22,2012.392,1600.14
2012-05-23,2012.394,1559.71
2012-05-24,2012.397,1584.84
2012-05-25,2012.4,1585.58
2012-05-28,2012.408,1587.02
2012-05-29,2012.411,1596.89
2012-05-30,2012.414,1569.66
2012-05-31,2012.417,1576.87
2012-06-01,2012.417,1559.15
2012-06-06,2012.431,1595.41
2012-06-07,2012.433,1614.77
2012-06-08,2012.436,1610.97
2012-06-11,2012.444,1610.14
2012-06-12,2012.447,1622.61
2012-06-13,2012.45,1625.58
2012-06-14,2012.453,1620.64
2012-06-15,2012.456,1623.61
2012-06-18,2012.464,1627.49
2012-06-19,2012.467,1655.89
2012-06-20,2012.469,1666.74
2012-06-21,2012.472,1649.92
2012-06-22,2012.475,1634.8
2012-06-25,2012.483,1615.92
2012-06-26,2012.486,1614.69
2012-06-27,2012.489,1637.67
2012-06-28,2012.492,1628.79
2012-06-29,2012.494,1651.76
2012-07-02,2012.503,1672.41
2012-07-03,2012.506,1686.62
2012-07-04,2012.508,1685.35
2012-07-05,2012.511,1687.93
2012-07-06,2012.514,1679.41
2012-07-09,2012.522,1668.74
2012-07-10,2012.525,1679.63
2012-07-11,2012.528,1679.52
2012-07-12,2012.531,1662.97
2012-07-13,2012.533,1680.33
2012-07-16,2012.542,1679.12
2012-07-17,2012.544,1669.18
2012-07-18,2012.547,1685.97
2012-07-19,2012.55,1694.77
2012-07-20,2012.553,1676.28
2012-07-23,2012.561,1641.3
2012-07-24,2012.564,1631.28
2012-07-25,2012.567,1630.89
2012-07-26,2012.569,1653.34
2012-07-27,2012.572,1669.3
2012-07-30,2012.581,1688.56
2012-07-31,2012.583,1671.54
2012-08-01,2012.583,1694.62
2012-08-02,2012.586,1679.66
2012-08-03,2012.589,1717.41
2012-08-06,2012.597,1722.98
2012-08-07,2012.6,1731.03
2012-08-08,2012.603,1733.01
2012-08-09,2012.606,1734.58
2012-08-10,2012.608,1733.21
2012-08-13,2012.617,1728.88
2012-08-14,2012.619,1739.15
2012-08-15,2012.622,1730.13
2012-08-16,2012.625,1730.36
2012-08-17,2012.628,1735.55
2012-08-20,2012.636,1727.13
2012-08-21,2012.639,1736.75
2012-08-22,2012.642,1711.94
2012-08-23,2012.644,1712.44
2012-08-24,2012.647,1712.37
2012-08-28,2012.658,1711.32
2012-08-29,2012.661,1702.15
2012-08-30,2012.664,1695.1
2012-08-31,2012.667,1692.2
2012-09-03,2012.672,1706.07
2012-09-04,2012.675,1680.52
2012-09-05,2012.678,1676.37
2012-09-06,2012.681,1711.94
2012-09-07,2012.683,1717.58
2012-09-10,2012.692,1716.94
2012-09-11,2012.694,1716.42
2012-09-12,2012.697,1713.18
2012-09-13,2012.7,1724.31
2012-09-14,2012.703,1753.27
2012-09-17,2012.711,1746.97
2012-09-18,2012.714,1739.06
2012-09-19,2012.717,1745.11
2012-09-20,2012.719,1734.62
2012-09-21,2012.722,1733.96
2012-09-24,2012.731,1729.7
2012-09-25,2012.733,1735.79
2012-09-26,2012.736,1708.43
2012-09-27,2012.739,1711.94
2012-09-28,2012.742,1700.47
2012-10-01,2012.75,1723.8
2012-10-02,2012.753,1720.29
2012-10-03,2012.756,1724.93
2012-10-04,2012.758,1725.54
2012-10-05,2012.761,1738.13
2012-10-08,2012.769,1729.32
2012-10-09,2012.772,1720.3
2012-10-10,2012.775,1710.45
2012-10-11,2012.778,1725.81
2012-10-12,2012.781,1715.36
2012-10-15,2012.789,1718.9
2012-10-16,2012.792,1738.29
2012-10-17,2012.794,1750.64
2012-10-18,2012.797,1752.01
2012-10-19,2012.8,1745.83
2012-10-22,2012.808,1742.05
2012-10-23,2012.811,1717.08
2012-10-24,2012.814,1718.97
2012-10-25,2012.817,1719.04
2012-10-26,2012.819,1719.61
2012-10-29,2012.828,1716.09
2012-10-30,2012.831,1732.18
2012-10-31,2012.833,1712.1
2012-11-01,2012.833,1735.59
2012-11-02,2012.836,1737.31
2012-11-05,2012.844,1728.39
2012-11-06,2012.847,1741.87
2012-11-07,2012.85,1714.36
2012-11-08,2012.853,1709.53
2012-11-09,2012.856,1707.33
2012-11-12,2012.864,1706.17
2012-11-13,2012.867,1711.76
2012-11-14,2012.869,1692.78
2012-11-15,2012.872,1680.28
2012-11-16,2012.875,1659.17
2012-11-19,2012.883,1698.06
2012-11-20,2012.886,1701.51
2012-11-21,2012.889,1702.56
2012-11-22,2012.892,1714.32
2012-11-23,2012.894,1722.56
2012-11-26,2012.903,1713.16
2012-11-27,2012.906,1716.79
2012-11-28,2012.908,1718.26
2012-11-29,2012.911,1739.01
2012-11-30,2012.914,1737.86
2012-12-03,2012.922,1739.24
2012-12-04,2012.925,1738.62
2012-12-05,2012.928,1745.6
2012-12-06,2012.931,1748.7
2012-12-07,2012.933,1752.36
2012-12-10,2012.942,1754.17
2012-12-11,2012.944,1755.03
2012-12-12,2012.947,1761.17
2012-12-13,2012.95,1756.71
2012-12-14,2012.953,1754.37
2012-12-17,2012.961,1751.61
2012-12-18,2012.964,1758.77
2012-12-19,2012.967,1766.09
2012-12-20,2012.969,1765.13
2012-12-21,2012.972,1759.55
2012-12-24,2012.981,1764.06
2012-12-27,2012.989,1764.11
2012-12-28,2012.992,1755.54
2012-12-31,2013,1747.37
2013-01-02,2013.003,1786.05
2013-01-03,2013.006,1792.07
2013-01-04,2013.008,1804.88
2013-01-07,2013.017,1797.61
2013-01-08,2013.019,1794.29
2013-01-09,2013.022,1807.92
2013-01-10,2013.025,1808.75
2013-01-11,2013.028,1814.54
2013-01-14,2013.036,1810.64
2013-01-15,2013.039,1813.57
2013-01-16,2013.042,1809.19
2013-01-17,2013.044,1817.41
2013-01-18,2013.047,1823.8
2013-01-21,2013.056,1831.67
2013-01-22,2013.058,1830.91
2013-01-23,2013.061,1836.32
2013-01-24,2013.064,1855.64
2013-01-25,2013.067,1861.18
2013-01-28,2013.075,1864.1
2013-01-29,2013.078,1877.56
2013-01-30,2013.081,1872.95
2013-01-31,2013.083,1859.23
2013-02-01,2013.083,1880.33
2013-02-04,2013.092,1850.93
2013-02-05,2013.094,1861.65
2013-02-06,2013.097,1865.76
2013-02-07,2013.1,1846.12
2013-02-08,2013.103,1856.54
2013-02-11,2013.111,1860.48
2013-02-12,2013.114,1878.35
2013-02-13,2013.117,1884.34
2013-02-14,2013.119,1875.35
2013-02-15,2013.122,1875.78
2013-02-18,2013.131,1872.84
2013-02-19,2013.133,1891.01
2013-02-20,2013.136,1895.81
2013-02-21,2013.139,1865.24
2013-02-22,2013.142,1877.96
2013-02-25,2013.15,1883.87
2013-02-26,2013.153,1858.56
2013-02-27,2013.156,1875.2
2013-02-28,2013.158,1885.26
2013-03-01,2013.167,1890.15
2013-03-04,2013.175,1879.99
2013-03-05,2013.178,1905.61
2013-03-06,2013.181,1904.43
2013-03-07,2013.183,1907.63
2013-03-08,2013.186,1920.64
2013-03-11,2013.194,1926.67
2013-03-12,2013.197,1928.34
2013-03-13,2013.2,1919.42
2013-03-14,2013.203,1933.24
2013-03-15,2013.206,1921.46
2013-03-18,2013.214,1911.99
2013-03-19,2013.217,1906.9
