Date,t,Close
2012-06-12,2012.447,8.74
2012-06-13,2012.45,8.86
2012-06-14,2012.453,9.66
2012-06-15,2012.456,9.36
2012-06-18,2012.464,9.57
2012-06-19,2012.467,10
2012-06-20,2012.469,10.33
2012-06-21,2012.472,10.4
2012-06-22,2012.475,10.34
2012-06-25,2012.483,10.06
2012-06-26,2012.486,10.05
2012-06-27,2012.489,10.1
2012-06-28,2012.492,10.25
2012-06-29,2012.494,10.58
2012-07-02,2012.503,10.79
2012-07-03,2012.506,11.05
2012-07-04,2012.508,11.7
2012-07-05,2012.511,11.15
2012-07-06,2012.514,11.25
2012-07-09,2012.522,11.29
2012-07-10,2012.525,11.18
2012-07-11,2012.528,10.85
2012-07-12,2012.531,10.48
2012-07-13,2012.533,10.69
2012-07-16,2012.542,10.7
2012-07-17,2012.544,10.36
2012-07-18,2012.547,10.44
2012-07-19,2012.55,10.69
2012-07-20,2012.553,11.17
2012-07-23,2012.561,10.63
2012-07-24,2012.564,10.48
2012-07-25,2012.567,10.49
2012-07-26,2012.569,10.44
2012-07-27,2012.572,10.45
2012-07-30,2012.581,10.55
2012-07-31,2012.583,10.69
2012-08-01,2012.583,10.61
2012-08-02,2012.586,10.44
2012-08-03,2012.589,10.6
2012-08-06,2012.597,10.7
2012-08-07,2012.6,10.74
2012-08-08,2012.603,10.68
2012-08-09,2012.606,10.68
2012-08-10,2012.608,10.76
2012-08-13,2012.617,11.03
2012-08-14,2012.619,11.09
2012-08-16,2012.625,11.22
2012-08-17,2012.628,11.6
2012-08-20,2012.636,11.13
2012-08-21,2012.639,11.21
2012-08-22,2012.642,11.01
2012-08-23,2012.644,10.94
2012-08-24,2012.647,11.16
2012-08-27,2012.656,11.19
2012-08-28,2012.658,10.93
2012-08-29,2012.661,11.19
2012-08-30,2012.664,10.77
2012-08-31,2012.667,11.4
2012-09-03,2012.672,11.2
2012-09-04,2012.675,11.3
2012-09-05,2012.678,11.44
2012-09-06,2012.681,11.52
2012-09-07,2012.683,11.31
2012-09-10,2012.692,11.5
2012-09-11,2012.694,11.38
2012-09-12,2012.697,11.84
2012-09-13,2012.7,11.36
2012-09-14,2012.703,11.13
2012-09-17,2012.711,11.17
2012-09-18,2012.714,10.99
2012-09-19,2012.717,10.37
2012-09-20,2012.719,10.73
2012-09-21,2012.722,10.65
2012-09-24,2012.731,10.49
2012-09-25,2012.733,10.29
2012-09-26,2012.736,10.58
2012-09-27,2012.739,10.5
2012-09-28,2012.742,10.29
2012-10-01,2012.75,10.54
2012-10-02,2012.753,10.98
2012-10-03,2012.756,10.98
2012-10-04,2012.758,11.11
2012-10-05,2012.761,11.47
2012-10-08,2012.769,11.32
2012-10-09,2012.772,11.78
2012-10-10,2012.775,11.49
2012-10-11,2012.778,11.05
2012-10-12,2012.781,11.66
2012-10-15,2012.789,11.79
2012-10-16,2012.792,12.29
2012-10-17,2012.794,12.12
2012-10-18,2012.797,11.98
2012-10-19,2012.8,11.99
2012-10-22,2012.808,12.27
2012-10-23,2012.811,12.13
2012-10-24,2012.814,12.31
2012-10-25,2012.817,12.13
2012-10-26,2012.819,12.03
2012-10-29,2012.828,11.7
2012-10-30,2012.831,11.66
2012-10-31,2012.833,11.93
2012-11-01,2012.833,11.75
2012-11-02,2012.836,11.95
2012-11-05,2012.844,12.44
2012-11-06,2012.847,12.36
2012-11-07,2012.85,12.21
2012-11-08,2012.853,12.14
2012-11-09,2012.856,12.12
2012-11-12,2012.864,12.1
2012-11-13,2012.867,12.28
2012-11-14,2012.869,12.17
2012-11-15,2012.872,12.05
2012-11-16,2012.875,12.01
2012-11-19,2012.883,12.23
2012-11-20,2012.886,12.42
2012-11-21,2012.889,12.48
2012-11-22,2012.892,12.46
2012-11-23,2012.894,12.38
2012-11-26,2012.903,12.47
2012-11-27,2012.906,12.91
2012-11-28,2012.908,12.62
2012-11-29,2012.911,12.57
2012-11-30,2012.914,12.72
2012-12-03,2012.922,12.54
2012-12-04,2012.925,12.5
