Date,t,Close
2014-03-13,2014.2,749.18
2014-03-14,2014.203,752.24
2014-03-17,2014.211,786.77
2014-03-18,2014.214,800.28
2014-03-19,2014.217,806.58
2014-03-20,2014.219,803.6
2014-03-21,2014.222,791.91
2014-03-24,2014.231,797.69
2014-03-25,2014.233,799.37
2014-03-26,2014.236,809.5
2014-03-27,2014.239,812.01
2014-03-28,2014.242,832.76
2014-03-31,2014.25,840.72
2014-04-01,2014.25,849.06
2014-04-02,2014.253,866.66
2014-04-03,2014.256,871.33
2014-04-04,2014.258,862.4
2014-04-07,2014.267,870.11
2014-04-08,2014.269,869.23
2014-04-09,2014.272,875.48
2014-04-10,2014.275,873.65
2014-04-11,2014.278,861.86
2014-04-14,2014.286,853.27
2014-04-15,2014.289,828.86
2014-04-16,2014.292,830.17
2014-04-17,2014.294,848.07
2014-04-22,2014.308,857.99
2014-04-23,2014.311,850.41
2014-04-24,2014.314,838.24
2014-04-25,2014.317,834.66
2014-04-28,2014.325,836.44
2014-04-29,2014.328,840.91
2014-04-30,2014.331,831.65
2014-05-05,2014.344,827.37
2014-05-06,2014.347,842.12
2014-05-07,2014.35,860.66
2014-05-08,2014.353,868.59
2014-05-09,2014.356,871.09
2014-05-12,2014.364,875.99
2014-05-13,2014.367,868.17
2014-05-14,2014.369,875.26
2014-05-15,2014.372,872.29
2014-05-16,2014.375,886.63
