Date,t,Close
2011-10-04,2011.758,4007.13
2011-10-05,2011.761,4037.83
2011-10-06,2011.764,4250.72
2011-10-07,2011.767,4225.14
2011-10-10,2011.775,4272.43
2011-10-11,2011.778,4400.28
2011-10-12,2011.781,4546.68
2011-10-13,2011.783,4595.31
2011-10-14,2011.786,4574.26
2011-10-17,2011.794,4653.81
2011-10-18,2011.797,4517.59
2011-10-19,2011.8,4616.76
2011-10-20,2011.803,4525.31
2011-10-21,2011.806,4514.57
2011-10-24,2011.814,4656.67
2011-10-25,2011.817,4663.2
2011-10-26,2011.819,4706.77
2011-10-27,2011.822,4793.65
2011-10-28,2011.825,4829.49
2011-10-31,2011.833,4773.82
2011-11-01,2011.833,4619.75
2011-11-02,2011.836,4746.89
2011-11-03,2011.839,4662.28
2011-11-04,2011.842,4775.1
2011-11-07,2011.85,4772.89
2011-11-08,2011.853,4805.83
2011-11-09,2011.856,4887.28
2011-11-10,2011.858,4778.07
2011-11-11,2011.861,4764.25
2011-11-14,2011.869,4846.77
2011-11-15,2011.872,4807.46
2011-11-16,2011.875,4811.7
2011-11-17,2011.878,4764.02
2011-11-18,2011.881,4692.34
2011-11-21,2011.889,4583.99
2011-11-22,2011.892,4665.69
2011-11-23,2011.894,4595.73
2011-11-24,2011.897,4615.34
2011-11-25,2011.9,4520.41
2011-11-28,2011.908,4538.08
2011-11-29,2011.911,4602.63
2011-11-30,2011.914,4631.76
2011-12-01,2011.917,4726.61
2011-12-02,2011.919,4731.87
2011-12-05,2011.928,4735.14
2011-12-06,2011.931,4702.23
2011-12-07,2011.933,4758.07
2011-12-08,2011.936,4733.44
2011-12-09,2011.939,4699.3
2011-12-12,2011.947,4750.18
2011-12-13,2011.95,4692.83
2011-12-14,2011.953,4674.53
2011-12-15,2011.956,4592.49
2011-12-16,2011.958,4698.56
2011-12-19,2011.967,4706.72
2011-12-20,2011.969,4687.02
2011-12-21,2011.972,4746.22
2011-12-22,2011.975,4749.89
2011-12-23,2011.978,4751.79
2011-12-27,2011.989,4750.46
2011-12-28,2011.992,4697.21
2011-12-29,2011.994,4749.29
2011-12-30,2011.997,4760.1
2012-01-02,2012.003,4743.25
2012-01-03,2012.006,4817.26
2012-01-04,2012.008,4890.21
2012-01-05,2012.011,4888.83
2012-01-06,2012.014,4832.36
2012-01-09,2012.022,4864.57
2012-01-10,2012.025,4931.49
2012-01-11,2012.028,4890.35
2012-01-12,2012.031,4872.28
2012-01-13,2012.033,4896.23
2012-01-16,2012.042,4853.49
2012-01-17,2012.044,4907.36
2012-01-18,2012.047,4957.48
2012-01-19,2012.05,4993.79
2012-01-20,2012.053,4973.3
2012-01-24,2012.064,4983.3
2012-01-25,2012.067,4934.38
2012-01-26,2012.069,4962.75
2012-01-27,2012.072,4968.92
2012-01-30,2012.081,4861.81
2012-01-31,2012.083,4902.38
2012-02-01,2012.083,4912.8
2012-02-02,2012.086,4971.05
2012-02-03,2012.089,4969.15
2012-02-06,2012.097,4897.39
2012-02-07,2012.1,4859.98
2012-02-08,2012.103,4905.06
2012-02-09,2012.106,4875.58
2012-02-10,2012.108,4765.77
2012-02-13,2012.117,4847.31
2012-02-14,2012.119,4828.78
2012-02-15,2012.122,4810.85
2012-02-16,2012.125,4776.11
2012-02-17,2012.128,4859.91
2012-02-20,2012.136,4868.43
2012-02-21,2012.139,4883.67
2012-02-22,2012.142,4865.9
2012-02-23,2012.144,4798.27
2012-02-24,2012.147,4700.19
2012-02-27,2012.156,4653.8
2012-02-28,2012.158,4720.41
2012-02-29,2012.161,4852.92
2012-03-01,2012.167,4809.49
2012-03-02,2012.169,4869.97
2012-03-05,2012.178,4840.54
2012-03-06,2012.181,4815.2
2012-03-07,2012.183,4759.81
2012-03-08,2012.186,4793.42
2012-03-09,2012.189,4819.72
2012-03-12,2012.197,4821.11
2012-03-13,2012.2,4850.41
2012-03-14,2012.203,4925.14
2012-03-15,2012.206,4899.39
2012-03-16,2012.208,4874.24
2012-03-19,2012.217,4881.23
2012-03-20,2012.219,4873.43
2012-03-21,2012.222,4899.91
2012-03-22,2012.225,4904.04
2012-03-26,2012.236,4891.46
2012-03-27,2012.239,4950.93
2012-03-28,2012.242,4955.97
2012-03-29,2012.244,4973.66
2012-03-30,2012.247,4995.24
2012-04-02,2012.253,5052.61
2012-04-03,2012.256,5132.31
2012-04-04,2012.258,4998.81
2012-04-05,2012.261,5046.27
2012-04-09,2012.272,5017.06
2012-04-10,2012.275,4989.73
2012-04-11,2012.278,4964.87
2012-04-12,2012.281,4981.26
2012-04-13,2012.283,4994.12
2012-04-16,2012.292,4958.14
2012-04-17,2012.294,4966.69
2012-04-18,2012.297,4976.46
2012-04-19,2012.3,4966.17
2012-04-20,2012.303,4991.67
2012-04-23,2012.311,4957.47
2012-04-24,2012.314,4968.49
2012-04-25,2012.317,4947.1
2012-04-26,2012.319,4977.98
2012-04-27,2012.322,4960.3
2012-04-30,2012.331,4977.29
2012-05-01,2012.333,4997.77
2012-05-02,2012.336,5025.69
2012-05-03,2012.339,5022.05
2012-05-04,2012.342,5008.71
2012-05-07,2012.35,4943.9
2012-05-08,2012.353,4953.06
2012-05-09,2012.356,4875.64
2012-05-10,2012.358,4882.39
2012-05-11,2012.361,4863.76
2012-05-14,2012.369,4796.25
2012-05-15,2012.372,4795.85
2012-05-16,2012.375,4716.78
2012-05-21,2012.389,4637.67
2012-05-22,2012.392,4735.76
2012-05-23,2012.394,4703.82
2012-05-24,2012.397,4701.33
2012-05-25,2012.4,4572.61
2012-05-28,2012.408,4590.53
2012-05-29,2012.411,4592.94
2012-05-30,2012.414,4625.15
2012-05-31,2012.417,4481.76
2012-06-01,2012.417,4443.46
2012-06-04,2012.425,4264.46
2012-06-05,2012.428,4364.58
2012-06-06,2012.431,4534.01
2012-06-07,2012.433,4528.44
2012-06-08,2012.436,4502.78
2012-06-11,2012.444,4548.96
2012-06-12,2012.447,4533.4
2012-06-13,2012.45,4559.84
2012-06-14,2012.453,4465.68
2012-06-15,2012.456,4495.29
2012-06-18,2012.464,4547.02
2012-06-19,2012.467,4576.85
