Date,t,Close
2011-09-12,2011.697,18.36
2011-09-13,2011.7,18.49
2011-09-14,2011.703,19.15
2011-09-15,2011.706,19.38
2011-09-16,2011.708,19.45
2011-09-19,2011.717,19.26
2011-09-20,2011.719,19.78
2011-09-21,2011.722,19.29
2011-09-22,2011.725,18.52
2011-09-23,2011.728,18.71
2011-09-26,2011.736,19.26
2011-09-27,2011.739,20.12
2011-09-28,2011.742,20.11
2011-09-29,2011.744,20.22
2011-09-30,2011.747,20.24
2011-10-03,2011.756,20.37
2011-10-04,2011.758,19.55
2011-10-05,2011.761,20.09
2011-10-06,2011.764,20.96
2011-10-07,2011.767,21.1
2011-10-10,2011.775,21.39
2011-10-11,2011.778,21.03
2011-10-12,2011.781,21.33
2011-10-13,2011.783,20.97
2011-10-14,2011.786,21.19
2011-10-17,2011.794,21.03
2011-10-18,2011.797,21.4
2011-10-19,2011.8,21.64
2011-10-20,2011.803,21.5
2011-10-21,2011.806,21.74
2011-10-24,2011.814,22.42
2011-10-25,2011.817,21.96
2011-10-26,2011.819,21.96
2011-10-27,2011.822,22.49
2011-10-28,2011.825,22.57
2011-10-31,2011.833,21.94
2011-11-01,2011.833,20.92
2011-11-02,2011.836,21.01
2011-11-03,2011.839,21.71
2011-11-04,2011.842,21.61
2011-11-07,2011.85,21.4
2011-11-08,2011.853,21.73
2011-11-09,2011.856,21.5
2011-11-10,2011.858,21.62
2011-11-11,2011.861,22.06
2011-11-14,2011.869,22.09
2011-11-15,2011.872,21.62
2011-11-16,2011.875,21.81
2011-11-17,2011.878,21.47
2011-11-18,2011.881,21.29
2011-11-21,2011.889,20.79
2011-11-22,2011.892,20.79
2011-11-23,2011.894,20.41
2011-11-24,2011.897,20.44
2011-11-25,2011.9,20.52
2011-11-28,2011.908,21.47
2011-11-29,2011.911,21.76
2011-11-30,2011.914,23.06
2011-12-01,2011.917,22.69
2011-12-02,2011.919,22.86
2011-12-05,2011.928,23.18
2011-12-06,2011.931,22.95
2011-12-07,2011.933,23.16
2011-12-08,2011.936,22.61
2011-12-09,2011.939,22.67
2011-12-12,2011.947,22.59
2011-12-13,2011.95,22.87
2011-12-14,2011.953,22.36
2011-12-15,2011.956,22.68
2011-12-16,2011.958,22.94
2011-12-19,2011.967,23.37
2011-12-20,2011.969,23.79
2011-12-21,2011.972,24.4
2011-12-22,2011.975,24.51
2011-12-23,2011.978,24.65
2011-12-28,2011.992,24.64
2011-12-29,2011.994,24.88
2011-12-30,2011.997,25.58
2012-01-03,2012.006,25.99
2012-01-04,2012.008,25.43
2012-01-05,2012.011,25.24
2012-01-06,2012.014,24.8
2012-01-09,2012.022,25.12
2012-01-10,2012.025,25.77
2012-01-11,2012.028,25.54
2012-01-12,2012.031,25.24
2012-01-13,2012.033,25.45
2012-01-16,2012.042,25.42
