Date,t,Close
2013-08-27,2013.656,178.91
2013-08-28,2013.658,179.47
2013-08-29,2013.661,181.58
2013-08-30,2013.664,181.98
2013-09-02,2013.669,181.19
2013-09-03,2013.672,179.78
2013-09-04,2013.675,179.55
2013-09-05,2013.678,179.04
2013-09-06,2013.681,179.37
2013-09-09,2013.689,179.99
2013-09-10,2013.692,182.33
2013-09-11,2013.694,184.42
2013-09-12,2013.697,184.15
2013-09-13,2013.7,184.01
2013-09-16,2013.708,186.74
2013-09-17,2013.711,185.95
2013-09-18,2013.714,186.31
2013-09-19,2013.717,188.77
2013-09-20,2013.719,187.4
2013-09-23,2013.728,187.89
2013-09-24,2013.731,188.03
2013-09-25,2013.733,187.17
2013-09-26,2013.736,186.97
2013-09-27,2013.739,187.1
2013-09-30,2013.747,188.13
2013-10-01,2013.75,189.21
2013-10-02,2013.753,188.06
2013-10-03,2013.756,188.13
2013-10-04,2013.758,188.22
2013-10-07,2013.767,190.91
2013-10-08,2013.769,192.56
2013-10-09,2013.772,192.99
2013-10-10,2013.775,195.72
2013-10-11,2013.778,196.24
2013-10-14,2013.786,198.48
2013-10-15,2013.789,196.23
2013-10-16,2013.792,195.78
2013-10-17,2013.794,196.09
2013-10-18,2013.797,196.04
2013-10-21,2013.806,197.88
2013-10-22,2013.808,198.37
2013-10-23,2013.811,196.13
2013-10-24,2013.814,195.59
2013-10-25,2013.817,195.47
2013-10-28,2013.825,197.66
2013-10-29,2013.828,198.53
2013-10-30,2013.831,191.11
2013-10-31,2013.833,188.63
2013-11-01,2013.833,187.76
2013-11-04,2013.842,186.67
2013-11-05,2013.844,186.98
2013-11-06,2013.847,187.44
2013-11-07,2013.85,188.39
2013-11-08,2013.853,188.61
2013-11-11,2013.861,188.22
2013-11-12,2013.864,189.32
2013-11-13,2013.867,189.85
2013-11-14,2013.869,191.48
2013-11-15,2013.872,191.4
2013-11-18,2013.881,193.45
2013-11-19,2013.883,194.69
2013-11-20,2013.886,197.85
2013-11-21,2013.889,196.47
2013-11-22,2013.892,196.5
2013-11-25,2013.9,198.66
2013-11-26,2013.903,198.16
2013-11-27,2013.906,199.39
2013-11-28,2013.908,199.42
2013-11-29,2013.911,199.58
2013-12-02,2013.919,201.14
2013-12-03,2013.922,200.45
2013-12-04,2013.925,199.7
2013-12-05,2013.928,199.77
2013-12-06,2013.931,200.65
2013-12-09,2013.939,198.48
2013-12-10,2013.942,201.67
2013-12-11,2013.944,200.11
2013-12-12,2013.947,196.07
2013-12-13,2013.95,196.33
2013-12-16,2013.958,196.78
