Date,t,Close
2011-12-20,2011.969,589.57
2011-12-21,2011.972,607.79
2011-12-22,2011.975,612.42
2011-12-23,2011.978,609.58
2011-12-26,2011.986,617.81
2011-12-27,2011.989,613.66
2011-12-28,2011.992,608.57
2011-12-29,2011.994,600.92
2011-12-30,2011.997,597.68
2012-01-02,2012.003,599.37
2012-01-03,2012.006,616.09
2012-01-04,2012.008,614.13
2012-01-05,2012.011,613.74
2012-01-06,2012.014,614.19
2012-01-09,2012.022,613.73
2012-01-10,2012.025,627.18
2012-01-11,2012.028,629.25
2012-01-12,2012.031,624.61
2012-01-13,2012.033,628.64
2012-01-16,2012.042,629.63
2012-01-17,2012.044,641.32
2012-01-18,2012.047,640.57
2012-01-19,2012.05,648.87
2012-01-20,2012.053,652.06
2012-01-23,2012.061,650.15
2012-01-24,2012.064,660.08
2012-01-25,2012.067,666.21
2012-01-27,2012.072,672.23
2012-01-30,2012.081,657.42
2012-01-31,2012.083,672.49
2012-02-01,2012.083,678.1
2012-02-02,2012.086,682.52
2012-02-03,2012.089,689.46
2012-02-06,2012.097,694.51
2012-02-07,2012.1,688.93
2012-02-08,2012.103,695.35
2012-02-09,2012.106,701.9
2012-02-10,2012.108,697.51
2012-02-13,2012.117,698.86
2012-02-14,2012.119,701.67
2012-02-15,2012.122,717.15
2012-02-16,2012.125,715.67
2012-02-17,2012.128,721.15
2012-02-21,2012.139,726.43
2012-02-22,2012.142,711.58
2012-02-23,2012.144,709.31
2012-02-24,2012.147,702.6
2012-02-27,2012.156,682.96
2012-02-28,2012.158,696.58
2012-02-29,2012.161,698.46
2012-03-01,2012.167,692.98
2012-03-02,2012.169,695
2012-03-05,2012.178,685
2012-03-06,2012.181,677.75
2012-03-07,2012.183,677.48
2012-03-09,2012.189,691.12
2012-03-12,2012.197,694.33
2012-03-13,2012.2,703.83
2012-03-14,2012.203,707.13
2012-03-15,2012.206,696.2
2012-03-16,2012.208,688.34
2012-03-19,2012.217,679.26
2012-03-20,2012.219,681.65
2012-03-21,2012.222,694.12
2012-03-22,2012.225,676.44
2012-03-23,2012.228,683.21
2012-03-26,2012.236,671.34
2012-03-27,2012.239,679.3
2012-03-28,2012.242,672.65
2012-03-29,2012.244,671.68
2012-03-30,2012.247,686.88
2012-04-02,2012.253,690.05
2012-04-03,2012.256,695.5
2012-04-04,2012.258,691.15
2012-04-09,2012.272,680.6
2012-04-10,2012.275,681.44
2012-04-11,2012.278,679.04
2012-04-12,2012.281,684.54
2012-04-13,2012.283,673.62
2012-04-16,2012.292,675.33
2012-04-17,2012.294,682.67
2012-04-18,2012.297,684.2
2012-04-19,2012.3,688.1
2012-04-20,2012.303,682.66
2012-04-23,2012.311,670.54
2012-04-24,2012.314,673.79
2012-04-25,2012.317,670.65
2012-04-26,2012.319,668.79
2012-04-27,2012.322,668.94
2012-04-30,2012.331,676.89
2012-05-02,2012.336,676.01
2012-05-03,2012.339,670.66
2012-05-04,2012.342,658.84
2012-05-07,2012.35,662.36
2012-05-08,2012.353,647.38
2012-05-09,2012.356,642.27
2012-05-10,2012.358,640.94
2012-05-11,2012.361,636.48
2012-05-14,2012.369,634.02
2012-05-15,2012.372,638.45
2012-05-16,2012.375,627.09
2012-05-17,2012.378,628.76
2012-05-18,2012.381,630.14
2012-05-21,2012.389,632.05
2012-05-22,2012.392,626.36
2012-05-23,2012.394,623.59
2012-05-24,2012.397,634.05
2012-05-25,2012.4,634.34
2012-05-28,2012.408,642.31
2012-05-29,2012.411,642.97
2012-05-30,2012.414,637.34
2012-05-31,2012.417,635.59
2012-06-01,2012.417,624.24
2012-06-04,2012.425,623.84
2012-06-05,2012.428,625.31
2012-06-06,2012.431,642.44
2012-06-07,2012.433,649.12
2012-06-08,2012.436,650.89
2012-06-11,2012.444,649.17
2012-06-12,2012.447,656.61
2012-06-13,2012.45,656.9
2012-06-14,2012.453,649.27
2012-06-15,2012.456,659.53
2012-06-18,2012.464,649.98
2012-06-19,2012.467,654.14
2012-06-20,2012.469,656.67
2012-06-21,2012.472,661.62
2012-06-22,2012.475,659
2012-06-25,2012.483,655.34
2012-06-26,2012.486,656.77
2012-06-27,2012.489,659.62
2012-06-28,2012.492,660.17
2012-06-29,2012.494,675.8
2012-07-02,2012.503,676.92
2012-07-03,2012.506,678.74
2012-07-04,2012.508,681.08
2012-07-05,2012.511,683.93
2012-07-06,2012.514,681.75
2012-07-09,2012.522,676.24
2012-07-10,2012.525,684.71
2012-07-11,2012.528,680
2012-07-12,2012.531,670.21
2012-07-13,2012.533,668.65
2012-07-16,2012.542,664.17
2012-07-17,2012.544,662.75
2012-07-18,2012.547,665.34
2012-07-19,2012.55,669.7
2012-07-20,2012.553,665.68
2012-07-23,2012.561,654.82
2012-07-24,2012.564,656.81
2012-07-25,2012.567,653.71
2012-07-26,2012.569,644.96
2012-07-27,2012.572,651.85
2012-07-30,2012.581,664.35
2012-07-31,2012.583,668.61
2012-08-01,2012.583,670.48
2012-08-02,2012.586,668.86
2012-08-03,2012.589,667.58
2012-08-06,2012.597,676.28
2012-08-07,2012.6,682.87
2012-08-08,2012.603,683.21
2012-08-09,2012.606,681.48
2012-08-10,2012.608,681.47
2012-08-13,2012.617,686.43
2012-08-14,2012.619,689.75
2012-08-16,2012.625,688.29
2012-08-17,2012.628,688.66
2012-08-21,2012.639,696.37
2012-08-22,2012.642,694.94
2012-08-23,2012.644,695.13
2012-08-24,2012.647,691.55
2012-08-27,2012.656,686.57
2012-08-28,2012.658,684.63
2012-08-29,2012.661,678.72
2012-08-30,2012.664,682.71
2012-08-31,2012.667,675.39
2012-09-03,2012.672,674.11
2012-09-04,2012.675,677.33
2012-09-05,2012.678,671.93
2012-09-06,2012.681,674.53
2012-09-07,2012.683,686.61
2012-09-10,2012.692,689.95
2012-09-11,2012.694,693.16
2012-09-12,2012.697,698.17
2012-09-13,2012.7,697.92
2012-09-14,2012.703,715.42
2012-09-17,2012.711,719.57
2012-09-18,2012.714,719.11
2012-09-19,2012.717,716.57
2012-09-20,2012.719,714.03
2012-09-21,2012.722,729.67
2012-09-24,2012.731,728.55
2012-09-25,2012.733,729.66
2012-09-26,2012.736,727.83
2012-09-27,2012.739,726.63
2012-09-28,2012.742,733.64
2012-10-01,2012.75,735.93
2012-10-03,2012.756,738.65
2012-10-04,2012.758,745.28
2012-10-05,2012.761,739.53
2012-10-08,2012.769,730.25
2012-10-09,2012.772,733.87
2012-10-10,2012.775,726
2012-10-11,2012.778,733.59
2012-10-12,2012.781,729.1
2012-10-15,2012.789,729.58
2012-10-16,2012.792,724.03
2012-10-17,2012.794,724.83
2012-10-18,2012.797,732.09
