Date,t,Close
2012-07-24,2012.564,37.72
2012-07-25,2012.567,38.08
2012-07-26,2012.569,40.24
2012-07-27,2012.572,41.45
2012-07-30,2012.581,42.52
2012-07-31,2012.583,42.25
2012-08-01,2012.583,42.32
2012-08-02,2012.586,40.49
2012-08-03,2012.589,43.08
2012-08-06,2012.597,43.72
2012-08-07,2012.6,44.67
2012-08-08,2012.603,44.69
2012-08-09,2012.606,44.6
2012-08-10,2012.608,44.31
2012-08-13,2012.617,44.25
2012-08-14,2012.619,44.63
2012-08-16,2012.625,45.35
2012-08-17,2012.628,45.91
2012-08-20,2012.636,45.49
2012-08-21,2012.639,46.49
2012-08-22,2012.642,45.96
2012-08-23,2012.644,45.34
2012-08-24,2012.647,45.12
2012-08-27,2012.656,45.52
2012-08-28,2012.658,45.45
2012-08-29,2012.661,45.33
2012-08-30,2012.664,44.87
2012-08-31,2012.667,45.8
2012-09-03,2012.672,46.16
2012-09-04,2012.675,45.96
2012-09-05,2012.678,45.63
2012-09-06,2012.681,47.57
2012-09-07,2012.683,48.62
2012-09-10,2012.692,48.54
2012-09-11,2012.694,48.91
2012-09-12,2012.697,49.41
2012-09-13,2012.7,48.96
2012-09-14,2012.703,50.16
2012-09-17,2012.711,49.71
2012-09-18,2012.714,48.61
2012-09-19,2012.717,48.74
2012-09-20,2012.719,47.96
2012-09-21,2012.722,48.53
2012-09-24,2012.731,48.04
2012-09-25,2012.733,48.2
2012-09-26,2012.736,46.66
2012-09-27,2012.739,46.73
2012-09-28,2012.742,45.7
2012-10-01,2012.75,46.92
2012-10-02,2012.753,46.81
2012-10-03,2012.756,46.88
2012-10-04,2012.758,46.76
2012-10-05,2012.761,47.84
2012-10-08,2012.769,46.95
2012-10-09,2012.772,46.76
2012-10-10,2012.775,46.68
2012-10-11,2012.778,47.15
2012-10-12,2012.781,46.71
2012-10-15,2012.789,46.97
2012-10-16,2012.792,48.14
2012-10-17,2012.794,48.86
2012-10-18,2012.797,48.69
2012-10-19,2012.8,47.74
2012-10-22,2012.808,47.7
2012-10-23,2012.811,46.85
2012-10-24,2012.814,47.23
2012-10-25,2012.817,46.67
2012-10-26,2012.819,46.86
2012-10-29,2012.828,46.18
2012-10-30,2012.831,46.76
2012-10-31,2012.833,46.86
2012-11-01,2012.833,47.55
2012-11-02,2012.836,47.43
2012-11-05,2012.844,46.76
2012-11-06,2012.847,47.18
2012-11-07,2012.85,46.07
2012-11-08,2012.853,45.76
2012-11-09,2012.856,45.81
2012-11-12,2012.864,45.69
2012-11-13,2012.867,46.28
2012-11-14,2012.869,46.07
2012-11-15,2012.872,45.84
2012-11-16,2012.875,44.91
2012-11-19,2012.883,46.24
2012-11-20,2012.886,46.15
2012-11-21,2012.889,46.48
2012-11-22,2012.892,46.94
2012-11-23,2012.894,47.18
2012-11-26,2012.903,46.79
2012-11-27,2012.906,46.63
2012-11-28,2012.908,46.59
2012-11-29,2012.911,47.84
2012-11-30,2012.914,47.59
2012-12-03,2012.922,47.75
2012-12-04,2012.925,48.23
2012-12-05,2012.928,47.87
2012-12-06,2012.931,47.5
2012-12-07,2012.933,47.13
2012-12-10,2012.942,46.15
2012-12-11,2012.944,46.82
2012-12-12,2012.947,47.33
2012-12-13,2012.95,47.59
2012-12-14,2012.953,47.71
2012-12-17,2012.961,47.98
2012-12-18,2012.964,48.38
2012-12-19,2012.967,48.87
2012-12-20,2012.969,49.02
2012-12-21,2012.972,48.88
2012-12-27,2012.989,49.06
2012-12-28,2012.992,48.63
2013-01-02,2013.003,50.47
2013-01-03,2013.006,50.49
2013-01-04,2013.008,50.64
2013-01-07,2013.017,50.33
2013-01-08,2013.019,50.48
2013-01-09,2013.022,51.63
2013-01-10,2013.025,51.97
2013-01-11,2013.028,52.14
2013-01-14,2013.036,51.8
2013-01-15,2013.039,52.07
2013-01-16,2013.042,51.7
2013-01-17,2013.044,52.36
