Date,t,Close
2012-06-04,2012.425,427.37
2012-06-05,2012.428,435.13
2012-06-06,2012.431,441.42
2012-06-07,2012.433,449.02
2012-06-08,2012.436,440.86
2012-06-11,2012.444,449
2012-06-12,2012.447,444.98
2012-06-13,2012.45,446.5
2012-06-14,2012.453,446.15
2012-06-15,2012.456,446.63
2012-06-18,2012.464,454.22
2012-06-19,2012.467,451.64
2012-06-20,2012.469,459.35
2012-06-21,2012.472,463.36
2012-06-22,2012.475,461.2
2012-06-25,2012.483,457.37
2012-06-26,2012.486,453.28
2012-06-27,2012.489,456.82
2012-06-28,2012.492,465.52
2012-06-29,2012.494,472.59
2012-07-02,2012.503,472.33
2012-07-03,2012.506,477.19
2012-07-04,2012.508,478.13
2012-07-05,2012.511,476.65
2012-07-06,2012.514,473.7
2012-07-09,2012.522,468.37
2012-07-10,2012.525,464.93
2012-07-11,2012.528,464.35
2012-07-12,2012.531,458.15
2012-07-13,2012.533,456.99
2012-07-17,2012.544,455.34
2012-07-18,2012.547,454.32
2012-07-19,2012.55,458.35
2012-07-20,2012.553,450.21
2012-07-23,2012.561,442.32
2012-07-24,2012.564,440.18
2012-07-25,2012.567,433.09
2012-07-26,2012.569,437.76
2012-07-27,2012.572,445.47
2012-07-30,2012.581,448.24
2012-07-31,2012.583,451.52
2012-08-01,2012.583,447.32
2012-08-02,2012.586,449.56
2012-08-03,2012.589,444.56
2012-08-06,2012.597,452.23
2012-08-07,2012.6,457.57
2012-08-08,2012.603,458.4
2012-08-09,2012.606,462.45
2012-08-10,2012.608,458.81
2012-08-13,2012.617,458.84
2012-08-14,2012.619,459.63
2012-08-15,2012.622,458.4
2012-08-16,2012.625,466.2
2012-08-17,2012.628,470.57
2012-08-20,2012.636,469.83
2012-08-21,2012.639,469.9
2012-08-22,2012.642,468.58
2012-08-23,2012.644,469.83
2012-08-24,2012.647,465.25
2012-08-27,2012.656,464.27
2012-08-28,2012.658,458.84
2012-08-29,2012.661,461.01
2012-08-30,2012.664,457.17
2012-08-31,2012.667,449.21
2012-09-03,2012.672,447.21
2012-09-04,2012.675,446.27
2012-09-05,2012.678,440.85
2012-09-06,2012.681,441.72
2012-09-07,2012.683,452.8
2012-09-10,2012.692,453.76
2012-09-11,2012.694,450.38
2012-09-12,2012.697,456.42
2012-09-13,2012.7,457.91
2012-09-14,2012.703,466.23
2012-09-18,2012.714,466.93
2012-09-19,2012.717,471.27
2012-09-20,2012.719,464.09
2012-09-21,2012.722,465.39
2012-09-24,2012.731,463.35
2012-09-25,2012.733,465.48
2012-09-26,2012.736,455.34
2012-09-27,2012.739,457.52
2012-09-28,2012.742,452.33
2012-10-01,2012.75,449.29
2012-10-02,2012.753,449.18
2012-10-03,2012.756,447.11
2012-10-04,2012.758,452.14
2012-10-05,2012.761,452.87
2012-10-09,2012.772,446.83
2012-10-10,2012.775,440.23
2012-10-11,2012.778,438.66
2012-10-12,2012.781,441.42
