Date,t,Close
2011-09-26,2011.736,463.79
2011-09-27,2011.739,488.66
2011-09-28,2011.742,487.29
2011-09-29,2011.744,502.23
2011-09-30,2011.747,501.48
2011-10-04,2011.758,483.61
2011-10-05,2011.761,472.59
2011-10-06,2011.764,486.8
2011-10-07,2011.767,500.89
2011-10-10,2011.775,502.29
2011-10-11,2011.778,510.34
2011-10-12,2011.781,514.98
2011-10-13,2011.783,517.84
2011-10-14,2011.786,520.76
2011-10-17,2011.794,528.13
2011-10-18,2011.797,520.21
2011-10-19,2011.8,524.73
2011-10-20,2011.803,511.48
2011-10-21,2011.806,521.04
2011-10-24,2011.814,538.97
2011-10-25,2011.817,537.03
2011-10-26,2011.819,537.06
2011-10-27,2011.822,544.19
2011-10-28,2011.825,547.5
2011-10-31,2011.833,542.87
2011-11-01,2011.833,543.6
2011-11-02,2011.836,539.55
2011-11-03,2011.839,530.45
2011-11-04,2011.842,548.98
2011-11-07,2011.85,545.47
2011-11-08,2011.853,539.59
2011-11-09,2011.856,541.95
2011-11-10,2011.858,513.29
2011-11-11,2011.861,528.86
2011-11-14,2011.869,539.87
2011-11-15,2011.872,534.72
2011-11-16,2011.875,526.26
2011-11-17,2011.878,531
2011-11-18,2011.881,519.05
2011-11-21,2011.889,513.11
2011-11-22,2011.892,515.89
2011-11-23,2011.894,502.1
2011-11-24,2011.897,506.25
2011-11-25,2011.9,501.44
2011-11-28,2011.908,513.79
2011-11-29,2011.911,527.29
2011-11-30,2011.914,524.21
2011-12-01,2011.917,546.55
2011-12-02,2011.919,545.47
2011-12-05,2011.928,547.56
2011-12-06,2011.931,541.42
2011-12-07,2011.933,545.79
2011-12-08,2011.936,543.56
2011-12-09,2011.939,531.75
2011-12-12,2011.947,539.73
2011-12-13,2011.95,528.28
2011-12-14,2011.953,525.11
2011-12-15,2011.956,513.49
2011-12-16,2011.958,521.02
2011-12-19,2011.967,503.86
2011-12-20,2011.969,507.29
2011-12-21,2011.972,525.06
2011-12-22,2011.975,524.98
2011-12-23,2011.978,530.62
2011-12-26,2011.986,527.24
2011-12-27,2011.989,523.58
2011-12-28,2011.992,518.97
2011-12-29,2011.994,519.4
2012-01-02,2012.003,520.81
2012-01-03,2012.006,536.29
2012-01-04,2012.008,532.47
2012-01-05,2012.011,530.31
2012-01-06,2012.014,524.05
2012-01-09,2012.022,518.46
2012-01-10,2012.025,525.76
2012-01-11,2012.028,523.28
2012-01-12,2012.031,528.76
2012-01-13,2012.033,532.92
2012-01-16,2012.042,527.93
2012-01-17,2012.044,538.19
2012-01-18,2012.047,538.33
2012-01-19,2012.05,546.7
2012-01-20,2012.053,558.4
2012-01-25,2012.067,559.18
2012-01-26,2012.069,559.39
2012-01-27,2012.072,562.1
2012-01-30,2012.081,554.05
2012-01-31,2012.083,557.81
2012-02-01,2012.083,557.67
2012-02-02,2012.086,564.66
2012-02-03,2012.089,559.99
2012-02-06,2012.097,560.95
2012-02-07,2012.1,563.24
2012-02-08,2012.103,569.48
2012-02-09,2012.106,572.31
2012-02-10,2012.108,564.62
2012-02-13,2012.117,568.7
2012-02-14,2012.119,568.21
2012-02-15,2012.122,576.46
2012-02-16,2012.125,568.26
2012-02-17,2012.128,577.53
2012-02-20,2012.136,577.55
2012-02-21,2012.139,577.77
2012-02-22,2012.142,579.38
2012-02-23,2012.144,571.84
2012-02-24,2012.147,575.63
2012-02-27,2012.156,567.16
2012-02-28,2012.158,571.82
2012-02-29,2012.161,580.41
2012-03-02,2012.169,580.8
2012-03-05,2012.178,575.22
2012-03-06,2012.181,571.35
2012-03-07,2012.183,565.8
2012-03-08,2012.186,571.6
2012-03-09,2012.189,578.28
2012-03-12,2012.197,574.14
2012-03-13,2012.2,582
2012-03-14,2012.203,589.03
2012-03-15,2012.206,589.25
2012-03-16,2012.208,585.51
2012-03-19,2012.217,590.14
2012-03-20,2012.219,588.94
2012-03-21,2012.222,584.33
2012-03-22,2012.225,585.59
2012-03-23,2012.228,585.88
2012-03-26,2012.236,584.49
2012-03-27,2012.239,593.07
2012-03-28,2012.242,590.9
2012-03-29,2012.244,585.45
2012-03-30,2012.247,584.21
2012-04-02,2012.253,589.98
2012-04-03,2012.256,598.75
2012-04-04,2012.258,589.87
2012-04-05,2012.261,594.29
2012-04-06,2012.264,594.29
2012-04-09,2012.272,585.95
2012-04-10,2012.275,584.11
2012-04-12,2012.281,580.56
2012-04-13,2012.283,586.55
2012-04-16,2012.292,581.45
2012-04-17,2012.294,578.11
2012-04-18,2012.297,585.21
2012-04-19,2012.3,584.06
2012-04-20,2012.303,575.24
2012-04-23,2012.311,574.6
2012-04-24,2012.314,572.9
2012-04-25,2012.317,573.84
2012-04-26,2012.319,576.69
2012-04-27,2012.322,581.02
2012-04-30,2012.331,583.24
2012-05-02,2012.336,588.47
2012-05-03,2012.339,586.95
2012-05-04,2012.342,582.61
2012-05-07,2012.35,572.22
2012-05-08,2012.353,574.91
2012-05-09,2012.356,570.12
2012-05-10,2012.358,568.69
2012-05-11,2012.361,560.56
2012-05-14,2012.369,561.3
2012-05-15,2012.372,556.86
2012-05-16,2012.375,537.1
2012-05-17,2012.378,539.22
2012-05-18,2012.381,520.14
2012-05-21,2012.389,526.77
2012-05-22,2012.392,536.1
2012-05-23,2012.394,529.86
2012-05-24,2012.397,530.99
2012-05-25,2012.4,533.15
2012-05-29,2012.411,541.71
2012-05-30,2012.414,541.1
2012-05-31,2012.417,539.79
2012-06-01,2012.417,536.86
2012-06-04,2012.425,520.98
2012-06-05,2012.428,525.66
2012-06-07,2012.433,541.95
2012-06-08,2012.436,537.67
2012-06-11,2012.444,547.7
2012-06-12,2012.447,543.78
2012-06-13,2012.45,545.67
2012-06-14,2012.453,548.44
2012-06-15,2012.456,543.49
2012-06-18,2012.464,553.69
2012-06-19,2012.467,553.59
2012-06-20,2012.469,557.26
2012-06-21,2012.472,551.23
2012-06-22,2012.475,537.1
2012-06-25,2012.483,528.76
2012-06-26,2012.486,526.65
2012-06-27,2012.489,526.95
