Date,t,Close
2013-08-29,2013.661,247.35
2013-08-30,2013.664,249.17
2013-09-02,2013.669,251.48
2013-09-03,2013.672,250.39
2013-09-04,2013.675,252.16
2013-09-05,2013.678,251.53
2013-09-06,2013.681,252.59
2013-09-09,2013.689,252.41
2013-09-10,2013.692,251.95
2013-09-11,2013.694,250.73
2013-09-12,2013.697,249.67
2013-09-13,2013.7,251.92
2013-09-16,2013.708,252.38
2013-09-17,2013.711,251.06
2013-09-18,2013.714,248.5
2013-09-19,2013.717,248.35
2013-09-20,2013.719,250.54
2013-09-23,2013.728,251.46
2013-09-24,2013.731,255.75
2013-09-25,2013.733,258.84
2013-09-26,2013.736,262.96
2013-09-27,2013.739,264.63
2013-09-30,2013.747,264.63
2013-10-01,2013.75,260.94
2013-10-02,2013.753,259.75
2013-10-03,2013.756,260.05
2013-10-04,2013.758,263.3
2013-10-07,2013.767,266.26
2013-10-08,2013.769,277.9
2013-10-09,2013.772,273.9
2013-10-10,2013.775,272.42
2013-10-11,2013.778,270.5
2013-10-14,2013.786,269.07
2013-10-15,2013.789,273.27
2013-10-21,2013.806,272.38
2013-10-22,2013.808,275.62
2013-10-23,2013.811,277.6
2013-10-24,2013.814,281.63
2013-10-25,2013.817,283.31
2013-10-28,2013.825,290.76
2013-10-29,2013.828,292.16
2013-10-30,2013.831,291.51
2013-10-31,2013.833,291.34
2013-11-01,2013.833,289.14
2013-11-04,2013.842,288.38
2013-11-07,2013.85,287.83
2013-11-08,2013.853,282.95
2013-11-11,2013.861,278.3
2013-11-12,2013.864,275.19
2013-11-13,2013.867,278.09
2013-11-14,2013.869,278.73
2013-11-15,2013.872,277.08
2013-11-19,2013.883,276.26
2013-11-20,2013.886,274.8
2013-11-21,2013.889,273.62
2013-11-22,2013.892,270.53
2013-11-25,2013.9,278.67
2013-11-26,2013.903,270.35
2013-11-27,2013.906,273.06
2013-11-28,2013.908,273.14
2013-11-29,2013.911,271.05
2013-12-02,2013.919,272.57
2013-12-03,2013.922,274.99
2013-12-04,2013.925,275.68
2013-12-05,2013.928,275.82
2013-12-06,2013.931,273.79
2013-12-09,2013.939,271.66
2013-12-10,2013.942,272.83
2013-12-11,2013.944,273.07
2013-12-12,2013.947,276.04
2013-12-13,2013.95,274.42
2013-12-16,2013.958,276.2
2013-12-17,2013.961,275.75
2013-12-18,2013.964,276.4
2013-12-19,2013.967,277.17
2013-12-20,2013.969,274.02
2013-12-23,2013.978,274.96
2013-12-24,2013.981,274.26
2013-12-25,2013.983,272.69
2013-12-26,2013.986,270.04
2013-12-27,2013.989,271
2013-12-30,2013.997,269.41
2013-12-31,2014,266.16
2014-01-02,2014.003,267.69
2014-01-03,2014.006,270.06
2014-01-06,2014.014,272.95
2014-01-07,2014.017,274.38
2014-01-08,2014.019,272.49
2014-01-09,2014.022,272.83
2014-01-10,2014.025,267.89
2014-01-13,2014.033,269.19
2014-01-16,2014.042,272.24
2014-01-17,2014.044,271.68
2014-01-20,2014.053,271.05
2014-01-21,2014.056,271.89
2014-01-22,2014.058,268.33
2014-01-23,2014.061,268.66
2014-01-24,2014.064,267.98
2014-01-27,2014.072,269.88
2014-01-28,2014.075,268.95
2014-01-29,2014.078,269.63
2014-01-30,2014.081,269.2
2014-01-31,2014.083,268.27
2014-02-03,2014.089,270.36
2014-02-04,2014.092,269.5
2014-02-05,2014.094,267.67
2014-02-06,2014.097,267.11
2014-02-07,2014.1,268.22
2014-02-10,2014.108,269.14
2014-02-11,2014.111,268.35
2014-02-12,2014.114,269.56
2014-02-13,2014.117,267.43
2014-02-14,2014.119,270.07
2014-02-17,2014.128,269.03
2014-02-18,2014.131,270.74
2014-02-19,2014.133,271.33
2014-02-20,2014.136,271.34
2014-02-21,2014.139,271.57
2014-02-24,2014.147,270.71
2014-02-25,2014.15,269.97
2014-02-26,2014.153,270.61
2014-02-27,2014.156,272.39
2014-02-28,2014.158,279.88
2014-03-03,2014.172,279.3
2014-03-04,2014.175,279.69
2014-03-05,2014.178,280.72
2014-03-06,2014.181,282.74
2014-03-07,2014.183,284.06
2014-03-10,2014.192,284.81
2014-03-11,2014.194,285.5
2014-03-12,2014.197,284.39
2014-03-13,2014.2,284.89
2014-03-14,2014.203,284.95
2014-03-17,2014.211,285.21
2014-03-18,2014.214,284.61
2014-03-19,2014.217,285.03
2014-03-20,2014.219,284.72
2014-03-21,2014.222,283.56
2014-03-24,2014.231,284.01
2014-03-25,2014.233,285.51
2014-03-26,2014.236,287.42
2014-03-27,2014.239,287.95
2014-03-28,2014.242,284.98
2014-03-31,2014.25,280.73
2014-04-01,2014.25,283.57
2014-04-02,2014.253,282.51
2014-04-03,2014.256,282.76
2014-04-04,2014.258,282.77
2014-04-07,2014.267,284.37
2014-04-08,2014.269,284.66
2014-04-09,2014.272,286.37
2014-04-10,2014.275,285.63
2014-04-11,2014.278,286.25
2014-04-14,2014.286,285.19
2014-04-15,2014.289,284.86
2014-04-16,2014.292,284.84
2014-04-17,2014.294,282.34
2014-04-18,2014.297,283.45
2014-04-21,2014.306,283.84
2014-04-22,2014.308,281.51
2014-04-23,2014.311,282.15
2014-04-24,2014.314,282.96
2014-04-25,2014.317,281.77
2014-04-28,2014.325,281.84
2014-04-29,2014.328,280.93
2014-04-30,2014.331,280.24
2014-05-02,2014.336,280.9
2014-05-05,2014.344,281.85
2014-05-06,2014.347,280.93
2014-05-07,2014.35,280.53
2014-05-08,2014.353,279.41
2014-05-09,2014.356,280.16
2014-05-12,2014.364,280.97
2014-05-13,2014.367,281.93
2014-05-14,2014.369,282.1
2014-05-15,2014.372,281.17
2014-05-16,2014.375,280.5
