Date,t,Close
2011-09-22,2011.725,4947.89
2011-09-23,2011.728,5013.26
2011-09-26,2011.736,5172.65
2011-09-27,2011.739,5364.84
2011-09-28,2011.742,5279.11
2011-09-29,2011.744,5298.17
2011-09-30,2011.747,5138.68
2011-10-03,2011.756,5035.98
2011-10-04,2011.758,5001.67
2011-10-05,2011.761,5106.82
2011-10-06,2011.764,5188.35
2011-10-07,2011.767,5253.68
2011-10-10,2011.775,5343.1
2011-10-11,2011.778,5361.19
2011-10-12,2011.781,5521.49
2011-10-13,2011.783,5484.1
2011-10-14,2011.786,5575.77
2011-10-17,2011.794,5446.77
2011-10-18,2011.797,5531.89
2011-10-19,2011.8,5502.93
2011-10-20,2011.803,5379.7
2011-10-21,2011.806,5483.31
2011-10-24,2011.814,5535.27
2011-10-25,2011.817,5586.94
2011-10-26,2011.819,5648.19
2011-10-27,2011.822,5923.82
2011-10-28,2011.825,5963.39
2011-10-31,2011.833,5846.23
2011-11-01,2011.833,5572.38
2011-11-02,2011.836,5645.31
2011-11-03,2011.839,5794.37
2011-11-04,2011.842,5794.42
2011-11-07,2011.85,5852.95
2011-11-08,2011.853,5926.68
2011-11-09,2011.856,5759.89
2011-11-10,2011.858,5749.64
2011-11-11,2011.861,5961.62
2011-11-14,2011.869,5829.3
2011-11-15,2011.872,5847.86
2011-11-16,2011.875,5738.59
2011-11-17,2011.878,5618.58
2011-11-18,2011.881,5635.76
2011-11-21,2011.889,5505.31
2011-11-22,2011.892,5448.83
2011-11-23,2011.894,5306.94
2011-11-24,2011.897,5279.92
2011-11-25,2011.9,5145.7
2011-11-28,2011.908,5367.58
2011-11-29,2011.911,5416.21
2011-11-30,2011.914,5719.92
2011-12-01,2011.917,5674.71
2011-12-02,2011.919,5736.31
2011-12-05,2011.928,5816.05
2011-12-06,2011.931,5797.55
2011-12-07,2011.933,5771.44
2011-12-08,2011.936,5646.67
2011-12-09,2011.939,5728.95
2011-12-12,2011.947,5667.32
2011-12-13,2011.95,5557.1
2011-12-14,2011.953,5434.15
2011-12-15,2011.956,5493.24
2011-12-16,2011.958,5492.97
2011-12-19,2011.967,5405.95
2011-12-20,2011.969,5538.52
2011-12-21,2011.972,5559.9
2011-12-22,2011.975,5652.8
2011-12-23,2011.978,5650.54
2011-12-26,2011.986,5672.98
2011-12-27,2011.989,5595.94
2011-12-28,2011.992,5527.53
2011-12-29,2011.994,5619.25
2011-12-30,2011.997,5602.12
2012-01-02,2012.003,5638.46
2012-01-03,2012.006,5742.79
2012-01-04,2012.008,5727.24
2012-01-05,2012.011,5667.36
2012-01-06,2012.014,5636.15
2012-01-09,2012.022,5634.73
2012-01-10,2012.025,5735.15
2012-01-11,2012.028,5726.36
2012-01-12,2012.031,5763.11
2012-01-13,2012.033,5631
2012-01-16,2012.042,5723.38
2012-01-17,2012.044,5705.64
2012-01-18,2012.047,5899.76
2012-01-19,2012.05,5966
2012-01-20,2012.053,5920.1
2012-01-23,2012.061,5933.25
2012-01-24,2012.064,5857.49
2012-01-25,2012.067,5928.23
2012-01-26,2012.069,6037.15
2012-01-27,2012.072,6015.64
2012-01-30,2012.081,5988.54
2012-01-31,2012.083,6016.1
2012-02-01,2012.083,6128.14
2012-02-02,2012.086,6171.08
2012-02-03,2012.089,6283.5
2012-02-06,2012.097,6313.3
2012-02-07,2012.1,6308.94
2012-02-08,2012.103,6294.26
2012-02-09,2012.106,6287.55
2012-02-10,2012.108,6241.51
2012-02-13,2012.117,6254.54
2012-02-14,2012.119,6186.86
2012-02-15,2012.122,6188.01
2012-02-16,2012.125,6185.64
2012-02-17,2012.128,6197.01
2012-02-20,2012.136,6313.4
2012-02-21,2012.139,6216.93
2012-02-22,2012.142,6179.23
2012-02-23,2012.144,6208.18
2012-02-24,2012.147,6181.53
2012-02-27,2012.156,6136.52
2012-02-28,2012.158,6198.52
2012-02-29,2012.161,6192.58
2012-03-01,2012.167,6233.47
2012-03-02,2012.169,6275.62
2012-03-05,2012.178,6222.54
2012-03-06,2012.181,6041.04
2012-03-07,2012.183,6048.68
2012-03-08,2012.186,6187.16
2012-03-09,2012.189,6245.63
2012-03-12,2012.197,6178.27
2012-03-13,2012.2,6293.13
2012-03-14,2012.203,6262.22
2012-03-15,2012.206,6290.65
2012-03-16,2012.208,6306.89
2012-03-19,2012.217,6327.81
2012-03-20,2012.219,6259.03
2012-03-21,2012.222,6328.54
2012-03-22,2012.225,6248.33
2012-03-23,2012.228,6259.27
2012-03-26,2012.236,6426.41
2012-03-27,2012.239,6445.08
2012-03-28,2012.242,6380.26
2012-03-29,2012.244,6378.19
2012-03-30,2012.247,6463.76
2012-04-02,2012.253,6545.99
2012-04-03,2012.256,6582.52
2012-04-04,2012.258,6441.95
2012-04-05,2012.261,6442.21
2012-04-06,2012.264,6442.21
2012-04-09,2012.272,6361.11
2012-04-10,2012.275,6214.83
2012-04-11,2012.278,6249.25
2012-04-12,2012.281,6296.89
2012-04-13,2012.283,6234.24
2012-04-16,2012.292,6194.87
2012-04-17,2012.294,6300.73
2012-04-18,2012.297,6278.93
2012-04-19,2012.3,6241.16
2012-04-20,2012.303,6295.22
2012-04-23,2012.311,6205.77
2012-04-24,2012.314,6240.45
2012-04-25,2012.317,6249.14
2012-04-26,2012.319,6241.95
2012-04-27,2012.322,6371.02
2012-04-30,2012.331,6404.41
2012-05-01,2012.333,6456.76
2012-05-02,2012.336,6445.12
2012-05-03,2012.339,6440.38
2012-05-04,2012.342,6359.65
2012-05-07,2012.35,6446.78
2012-05-08,2012.353,6220.25
2012-05-09,2012.356,6135
2012-05-10,2012.358,6158.94
2012-05-11,2012.361,6088.44
2012-05-14,2012.369,5931.82
2012-05-15,2012.372,5846.27
2012-05-16,2012.375,5768.51
2012-05-17,2012.378,5737.26
2012-05-18,2012.381,5690.9
2012-05-21,2012.389,5766.14
2012-05-22,2012.392,5802.35
2012-05-23,2012.394,5659.78
2012-05-24,2012.397,5708.21
2012-05-25,2012.4,5681.99
2012-05-28,2012.408,5739.86
2012-05-29,2012.411,5837.18
2012-05-30,2012.414,5749.88
2012-05-31,2012.417,5626.48
2012-06-01,2012.417,5469.76
2012-06-04,2012.425,5550.54
2012-06-05,2012.428,5547.32
2012-06-06,2012.431,5600.34
2012-06-07,2012.433,5681.51
2012-06-08,2012.436,5656.36
2012-06-11,2012.444,5648.07
2012-06-12,2012.447,5658.96
2012-06-13,2012.45,5689.27
2012-06-14,2012.453,5719.97
2012-06-15,2012.456,5786.44
2012-06-18,2012.464,5854.22
2012-06-19,2012.467,6012.54
2012-06-20,2012.469,6037.13
2012-06-21,2012.472,5974.52
2012-06-22,2012.475,5982.95
2012-06-25,2012.483,5960.25
2012-06-26,2012.486,6013.62
2012-06-27,2012.489,6124.35
2012-06-28,2012.492,6137.5
2012-06-29,2012.494,6344.13
2012-07-02,2012.503,6350.07
2012-07-03,2012.506,6451.61
2012-07-04,2012.508,6408.87
2012-07-05,2012.511,6372.08
2012-07-06,2012.514,6273.23
2012-07-09,2012.522,6329.03
2012-07-10,2012.525,6396.7
2012-07-11,2012.528,6391.3
2012-07-12,2012.531,6329.45
2012-07-13,2012.533,6422.47
2012-07-16,2012.542,6498.78
2012-07-17,2012.544,6577.79
2012-07-18,2012.547,6568.52
2012-07-19,2012.55,6519.65
2012-07-20,2012.553,6492.46
2012-07-23,2012.561,6406.78
2012-07-24,2012.564,6291.45
2012-07-25,2012.567,6233.45
2012-07-26,2012.569,6443.24
2012-07-27,2012.572,6584.53
2012-07-30,2012.581,6571.22
2012-07-31,2012.583,6475.94
2012-08-01,2012.583,6471.64
2012-08-02,2012.586,6435.84
2012-08-03,2012.589,6565.1
2012-08-06,2012.597,6615.67
2012-08-07,2012.6,6545.85
2012-08-08,2012.603,6504.13
2012-08-09,2012.606,6518.69
2012-08-10,2012.608,6551.05
2012-08-13,2012.617,6446.78
2012-08-14,2012.619,6495.4
2012-08-15,2012.622,6510.41
2012-08-16,2012.625,6545.63
2012-08-17,2012.628,6488.49
2012-08-20,2012.636,6496.92
2012-08-21,2012.639,6481.75
2012-08-22,2012.642,6408.61
2012-08-23,2012.644,6409.68
2012-08-24,2012.647,6447.91
2012-08-27,2012.656,6428.89
2012-08-28,2012.658,6433.75
2012-08-29,2012.661,6376.76
2012-08-30,2012.664,6308.67
2012-08-31,2012.667,6325.52
2012-09-03,2012.672,6420.98
2012-09-04,2012.675,6375.12
2012-09-05,2012.678,6411.89
2012-09-06,2012.681,6526.11
2012-09-07,2012.683,6554.38
2012-09-10,2012.692,6540.53
2012-09-11,2012.694,6537.64
2012-09-12,2012.697,6552.84
2012-09-13,2012.7,6642.41
2012-09-14,2012.703,6782.23
2012-09-17,2012.711,6762.35
2012-09-18,2012.714,6722
2012-09-19,2012.717,6776.54
2012-09-20,2012.719,6669.51
2012-09-21,2012.722,6682.96
2012-09-24,2012.731,6683.3
2012-09-25,2012.733,6680.07
2012-09-26,2012.736,6629.97
2012-09-27,2012.739,6730.21
2012-09-28,2012.742,6755.45
2012-10-01,2012.75,6807.96
2012-10-02,2012.753,6815.82
2012-10-03,2012.756,6765.32
2012-10-04,2012.758,6885.42
2012-10-05,2012.761,7014.53
2012-10-08,2012.769,6894.16
2012-10-09,2012.772,6875.77
2012-10-10,2012.775,6818.9
2012-10-11,2012.778,6880.29
2012-10-12,2012.781,6853.39
2012-10-15,2012.789,6928.44
2012-10-16,2012.792,7040.18
2012-10-17,2012.794,7035.97
2012-10-18,2012.797,7034.32
2012-10-19,2012.8,6988.77
2012-10-22,2012.808,6948.34
2012-10-23,2012.811,6862.53
2012-10-24,2012.814,6879.91
2012-10-25,2012.817,6841.19
2012-10-26,2012.819,6818.13
2012-10-29,2012.828,6777.57
2012-10-30,2012.831,6761.54
2012-10-31,2012.833,6732.96
2012-11-01,2012.833,6786.09
2012-11-02,2012.836,6814.81
2012-11-05,2012.844,6775.17
2012-11-06,2012.847,6794.4
2012-11-07,2012.85,6646.24
2012-11-08,2012.853,6586.5
2012-11-09,2012.856,6522.27
2012-11-12,2012.864,6554.55
2012-11-13,2012.867,6570.14
2012-11-14,2012.869,6514.08
2012-11-15,2012.872,6474.54
2012-11-16,2012.875,6515.02
2012-11-19,2012.883,6601.03
2012-11-20,2012.886,6673.5
2012-11-21,2012.889,6747.36
2012-11-22,2012.892,6812.72
2012-11-23,2012.894,6814.42
2012-11-26,2012.903,6801.85
2012-11-27,2012.906,6783.55
2012-11-28,2012.908,6787.09
2012-11-29,2012.911,6861.43
2012-11-30,2012.914,6839.05
2012-12-03,2012.922,6900.07
2012-12-04,2012.925,6888.71
2012-12-05,2012.928,6907.37
2012-12-06,2012.931,6960.77
2012-12-07,2012.933,7017.32
2012-12-10,2012.942,7108.05
2012-12-11,2012.944,7145.19
2012-12-12,2012.947,7149.39
2012-12-13,2012.95,7110.16
2012-12-14,2012.953,7110.01
2012-12-17,2012.961,7169.49
2012-12-18,2012.964,7276.18
2012-12-19,2012.967,7257.85
2012-12-20,2012.969,7217.01
2012-12-21,2012.972,7158.46
2012-12-24,2012.981,7092.85
2012-12-25,2012.983,7092.85
2012-12-26,2012.986,7073.93
2012-12-27,2012.989,7055.01
2012-12-28,2012.992,7119.87
2012-12-31,2013,7118.53
