Date,t,Close
2011-09-26,2011.736,485.02
2011-09-27,2011.739,498.03
2011-09-28,2011.742,502.07
2011-09-29,2011.744,507.59
2011-09-30,2011.747,508.58
2011-10-03,2011.756,500.74
2011-10-04,2011.758,496.54
2011-10-05,2011.761,500.99
2011-10-06,2011.764,508.85
2011-10-07,2011.767,511.43
2011-10-10,2011.775,510.27
2011-10-11,2011.778,516.57
2011-10-12,2011.781,523.08
2011-10-13,2011.783,529.86
2011-10-14,2011.786,528.24
2011-10-17,2011.794,537.44
2011-10-18,2011.797,527.59
2011-10-19,2011.8,532.19
2011-10-20,2011.803,528.92
2011-10-21,2011.806,527.34
2011-10-24,2011.814,531.82
2011-10-25,2011.817,535.44
2011-10-27,2011.822,540.51
2011-10-28,2011.825,545.8
2011-10-31,2011.833,549.13
2011-11-01,2011.833,541.85
2011-11-02,2011.836,540.67
2011-11-03,2011.839,537.46
2011-11-04,2011.842,543.3
2011-11-08,2011.853,544.23
2011-11-09,2011.856,547.16
2011-11-10,2011.858,540.83
2011-11-11,2011.861,539.62
2011-11-14,2011.869,543.94
2011-11-15,2011.872,543.49
2011-11-16,2011.875,543.32
2011-11-17,2011.878,538.52
2011-11-18,2011.881,534.42
2011-11-21,2011.889,527.23
2011-11-22,2011.892,528.25
2011-11-23,2011.894,526
2011-11-24,2011.897,530.95
2011-11-25,2011.9,525.57
2011-11-29,2011.911,530.69
2011-11-30,2011.914,540.59
2011-12-01,2011.917,544.88
2011-12-02,2011.919,547.05
2011-12-05,2011.928,546.67
2011-12-06,2011.931,543.38
2011-12-07,2011.933,544.33
2011-12-08,2011.936,540.62
2011-12-09,2011.939,535.16
2011-12-12,2011.947,537.91
2011-12-13,2011.95,537
2011-12-14,2011.953,535.48
2011-12-15,2011.956,535.55
2011-12-16,2011.958,536.48
2011-12-19,2011.967,540.17
2011-12-20,2011.969,535.52
2011-12-21,2011.972,542.76
2011-12-22,2011.975,545.15
2011-12-23,2011.978,547.71
2011-12-27,2011.989,549.26
2011-12-28,2011.992,550.89
2011-12-29,2011.994,551.75
2011-12-30,2011.997,559.51
2012-01-03,2012.006,555.49
2012-01-04,2012.008,552.38
2012-01-05,2012.011,556.39
2012-01-06,2012.014,556
2012-01-09,2012.022,558.71
2012-01-10,2012.025,558.81
2012-01-11,2012.028,559.73
2012-01-12,2012.031,561.35
2012-01-13,2012.033,560.5
2012-01-16,2012.042,554.48
2012-01-17,2012.044,558.23
2012-01-18,2012.047,557.59
2012-01-19,2012.05,557.66
2012-01-20,2012.053,559.69
2012-01-25,2012.067,558.88
2012-01-26,2012.069,560.76
2012-01-27,2012.072,560.08
2012-01-30,2012.081,557.01
2012-01-31,2012.083,560.39
2012-02-02,2012.086,565.7
2012-02-03,2012.089,566.68
2012-02-08,2012.103,571
2012-02-09,2012.106,574.84
2012-02-10,2012.108,573.19
2012-02-13,2012.117,573.7
2012-02-14,2012.119,574.6
2012-02-15,2012.122,573.26
2012-02-16,2012.125,569.41
2012-02-17,2012.128,572.07
2012-02-20,2012.136,573.43
2012-02-21,2012.139,574.28
2012-02-22,2012.142,572.52
2012-02-23,2012.144,570.37
2012-02-24,2012.147,570.72
2012-02-27,2012.156,570.72
2012-02-28,2012.158,570.01
2012-02-29,2012.161,574.19
2012-03-01,2012.167,575.41
2012-03-02,2012.169,579.59
2012-03-05,2012.178,580.99
2012-03-06,2012.181,580.95
2012-03-07,2012.183,575.03
2012-03-08,2012.186,576.52
2012-03-09,2012.189,576.72
2012-03-12,2012.197,572.05
2012-03-13,2012.2,571.65
2012-03-14,2012.203,576.53
2012-03-15,2012.206,577.81
2012-03-16,2012.208,574.5
2012-03-19,2012.217,575.73
