Date,t,Close
2011-11-25,2011.9,80.45
2011-11-28,2011.908,80.82
2011-11-29,2011.911,81.39
2011-11-30,2011.914,82.39
2011-12-01,2011.917,82.66
2011-12-02,2011.919,83.43
2011-12-05,2011.928,84.56
2011-12-06,2011.931,84.29
2011-12-07,2011.933,84.36
2011-12-08,2011.936,84.08
2011-12-09,2011.939,84.6
2011-12-12,2011.947,85.56
2011-12-13,2011.95,85.36
2011-12-14,2011.953,84.72
2011-12-15,2011.956,84.01
2011-12-16,2011.958,83.79
2011-12-19,2011.967,82.44
2011-12-20,2011.969,81.92
2011-12-21,2011.972,82.8
2011-12-22,2011.975,81.98
2011-12-23,2011.978,82.34
2011-12-28,2011.992,83.15
2011-12-29,2011.994,83.92
2011-12-30,2011.997,84.82
2012-01-04,2012.008,84.6
2012-01-05,2012.011,84.48
2012-01-06,2012.014,83.37
2012-01-09,2012.022,82.85
2012-01-10,2012.025,82.42
2012-01-11,2012.028,82.26
2012-01-12,2012.031,81.73
2012-01-13,2012.033,82.11
2012-01-16,2012.042,81.73
2012-01-17,2012.044,82.47
2012-01-18,2012.047,83.58
2012-01-19,2012.05,84.29
2012-01-20,2012.053,84.9
2012-01-23,2012.061,85.75
2012-01-24,2012.064,84.56
2012-01-25,2012.067,85.73
2012-01-26,2012.069,85.81
2012-01-27,2012.072,85.91
2012-01-30,2012.081,86.46
2012-01-31,2012.083,85.58
2012-02-01,2012.083,86.05
2012-02-02,2012.086,86.09
2012-02-03,2012.089,85.99
2012-02-07,2012.1,86.03
2012-02-08,2012.103,86.63
2012-02-09,2012.106,86.64
2012-02-10,2012.108,87.39
2012-02-13,2012.117,87.18
2012-02-14,2012.119,87.89
2012-02-15,2012.122,86.24
2012-02-16,2012.125,86.05
2012-02-17,2012.128,86.11
2012-02-20,2012.136,87.17
2012-02-21,2012.139,87.76
2012-02-22,2012.142,87.06
2012-02-23,2012.144,86.92
2012-02-24,2012.147,87.02
2012-02-27,2012.156,86.09
2012-02-28,2012.158,86.23
2012-02-29,2012.161,86.79
2012-03-01,2012.167,87.49
2012-03-02,2012.169,88.85
2012-03-05,2012.178,89.48
2012-03-06,2012.181,89.77
2012-03-07,2012.183,90.19
2012-03-08,2012.186,89.87
2012-03-09,2012.189,90.69
2012-03-12,2012.197,91.43
2012-03-13,2012.2,92.39
2012-03-14,2012.203,92.96
2012-03-15,2012.206,94.66
2012-03-16,2012.208,93.32
2012-03-19,2012.217,92.25
2012-03-20,2012.219,92.86
2012-03-21,2012.222,91.93
2012-03-22,2012.225,91.48
2012-03-23,2012.228,90.61
2012-03-26,2012.236,91.19
2012-03-27,2012.239,92.53
2012-03-28,2012.242,91.42
2012-03-29,2012.244,91.51
2012-03-30,2012.247,91.77
2012-04-02,2012.253,90.96
2012-04-03,2012.256,90.26
2012-04-04,2012.258,89.91
2012-04-05,2012.261,89.17
2012-04-10,2012.275,89.72
2012-04-11,2012.278,89.64
2012-04-12,2012.281,90.42
2012-04-13,2012.283,90.36
2012-04-16,2012.292,90.5
2012-04-17,2012.294,90.42
2012-04-18,2012.297,91.89
2012-04-19,2012.3,91.47
2012-04-20,2012.303,90.77
2012-04-23,2012.311,90.94
2012-04-24,2012.314,91.67
2012-04-26,2012.319,91.47
2012-04-27,2012.322,91.8
2012-04-30,2012.331,92.47
2012-05-01,2012.333,93.03
2012-05-02,2012.336,94.47
2012-05-03,2012.339,92.67
2012-05-04,2012.342,91.63
2012-05-07,2012.35,92.07
2012-05-08,2012.353,92.27
2012-05-09,2012.356,93
2012-05-10,2012.358,93.15
2012-05-11,2012.361,91.26
2012-05-14,2012.369,92.05
2012-05-15,2012.372,91.33
2012-05-16,2012.375,90.91
2012-05-17,2012.378,91.27
2012-05-18,2012.381,90.63
2012-05-21,2012.389,90.51
2012-05-22,2012.392,92.34
2012-05-23,2012.394,91.24
2012-05-24,2012.397,90.48
2012-05-25,2012.4,90.41
2012-05-28,2012.408,89.7
2012-05-29,2012.411,90.61
2012-05-30,2012.414,90.27
2012-05-31,2012.417,91.38
2012-06-01,2012.417,89.47
2012-06-05,2012.428,88.14
2012-06-06,2012.431,89.36
2012-06-07,2012.433,89.96
2012-06-08,2012.436,88.51
2012-06-11,2012.444,88.95
2012-06-12,2012.447,88.08
2012-06-13,2012.45,86.27
2012-06-14,2012.453,87.5
2012-06-15,2012.456,89.15
2012-06-18,2012.464,89.45
2012-06-19,2012.467,90.15
2012-06-20,2012.469,88.73
2012-06-21,2012.472,87.14
2012-06-22,2012.475,87.08
2012-06-25,2012.483,87.14
2012-06-26,2012.486,86.13
2012-06-27,2012.489,85.96
2012-06-28,2012.492,86.46
2012-06-29,2012.494,86.11
2012-07-02,2012.503,87.95
2012-07-03,2012.506,88.05
2012-07-04,2012.508,89.2
2012-07-05,2012.511,89
2012-07-06,2012.514,88.76
2012-07-09,2012.522,88.68
2012-07-10,2012.525,88.19
2012-07-11,2012.528,88.77
2012-07-12,2012.531,89.75
2012-07-13,2012.533,89.02
2012-07-16,2012.542,87.85
2012-07-17,2012.544,87.96
2012-07-18,2012.547,88.36
2012-07-19,2012.55,88.6
2012-07-20,2012.553,87.78
2012-07-23,2012.561,88.16
2012-07-24,2012.564,87.9
2012-07-25,2012.567,87.99
2012-07-26,2012.569,89.01
2012-07-27,2012.572,89.34
2012-07-30,2012.581,90.39
2012-07-31,2012.583,91.38
2012-08-01,2012.583,90.97
2012-08-02,2012.586,92.32
2012-08-03,2012.589,91.76
2012-08-06,2012.597,92.58
2012-08-07,2012.6,93.39
2012-08-08,2012.603,92.99
2012-08-09,2012.606,92.91
2012-08-10,2012.608,92.75
2012-08-13,2012.617,93.42
2012-08-14,2012.619,93.88
2012-08-15,2012.622,94.97
2012-08-16,2012.625,94.13
2012-08-17,2012.628,94.22
2012-08-20,2012.636,95.08
2012-08-21,2012.639,96.16
2012-08-22,2012.642,94.58
2012-08-23,2012.644,94.42
2012-08-24,2012.647,92.3
2012-08-27,2012.656,91.47
2012-08-28,2012.658,92.08
2012-08-29,2012.661,91.85
2012-08-30,2012.664,91.29
2012-08-31,2012.667,92.64
2012-09-03,2012.672,92.24
2012-09-04,2012.675,91.95
2012-09-05,2012.678,91.95
2012-09-06,2012.681,92.43
2012-09-07,2012.683,93.24
2012-09-10,2012.692,92.89
2012-09-11,2012.694,93.45
2012-09-12,2012.697,94.36
2012-09-13,2012.7,94.17
2012-09-14,2012.703,94.38
2012-09-17,2012.711,95.14
2012-09-18,2012.714,94.61
2012-09-19,2012.717,93.44
2012-09-20,2012.719,94.27
2012-09-21,2012.722,94.19
2012-09-24,2012.731,94.23
2012-09-25,2012.733,94.87
2012-09-26,2012.736,93.48
2012-09-27,2012.739,93.8
2012-09-28,2012.742,93.99
2012-10-01,2012.75,93.94
2012-10-02,2012.753,95.36
2012-10-03,2012.756,95.74
2012-10-04,2012.758,95.19
2012-10-05,2012.761,96.16
2012-10-08,2012.769,96.49
2012-10-09,2012.772,95.17
2012-10-10,2012.775,94.46
2012-10-11,2012.778,94.6
2012-10-12,2012.781,94.78
2012-10-15,2012.789,95.73
2012-10-16,2012.792,96.82
2012-10-17,2012.794,96.74
2012-10-18,2012.797,98.49
2012-10-19,2012.8,97.71
2012-10-23,2012.811,97.9
2012-10-24,2012.814,97.96
2012-10-25,2012.817,97.3
2012-10-26,2012.819,96.74
2012-10-29,2012.828,95.33
2012-10-30,2012.831,95.18
2012-10-31,2012.833,95.82
2012-11-01,2012.833,94.95
2012-11-02,2012.836,94.84
2012-11-05,2012.844,94.69
2012-11-06,2012.847,95.13
2012-11-07,2012.85,95.55
2012-11-08,2012.853,96.28
2012-11-09,2012.856,96.21
2012-11-12,2012.864,97.15
2012-11-13,2012.867,96.54
2012-11-14,2012.869,95.99
2012-11-15,2012.872,96.27
2012-11-16,2012.875,95.98
2012-11-19,2012.883,95.38
2012-11-20,2012.886,96.64
2012-11-21,2012.889,96.4
2012-11-22,2012.892,96.9
2012-11-23,2012.894,97.66
2012-11-26,2012.903,97.53
2012-11-27,2012.906,97.31
2012-11-28,2012.908,96.94
2012-11-29,2012.911,96.9
2012-11-30,2012.914,97.33
2012-12-03,2012.922,97.83
2012-12-04,2012.925,96.65
2012-12-05,2012.928,96.34
2012-12-06,2012.931,97.06
2012-12-07,2012.933,98.2
2012-12-10,2012.942,98.09
2012-12-11,2012.944,97.9
2012-12-12,2012.947,96.17
2012-12-13,2012.95,95.67
2012-12-14,2012.953,96.07
2012-12-17,2012.961,95.06
2012-12-18,2012.964,96.43
2012-12-19,2012.967,98.41
2012-12-20,2012.969,100.08
2012-12-21,2012.972,98.73
2012-12-24,2012.981,98.63
2012-12-27,2012.989,98.85
2012-12-28,2012.992,99.42
2012-12-31,2013,98.68
2013-01-03,2013.006,98.68
2013-01-04,2013.008,98.43
2013-01-07,2013.017,98.41
2013-01-08,2013.019,99.03
2013-01-09,2013.022,99.71
2013-01-10,2013.025,100.41
2013-01-11,2013.028,100.9
2013-01-14,2013.036,101.92
2013-01-15,2013.039,102.55
2013-01-16,2013.042,102.5
2013-01-17,2013.044,103.95
2013-01-18,2013.047,103.37
2013-01-21,2013.056,104.24
2013-01-22,2013.058,104.36
2013-01-23,2013.061,104.25
2013-01-24,2013.064,103.92
2013-01-25,2013.067,104.44
2013-01-28,2013.075,104.46
2013-01-29,2013.078,104.23
2013-01-30,2013.081,105.66
2013-01-31,2013.083,106.57
2013-02-01,2013.083,105.99
2013-02-04,2013.092,105.38
2013-02-05,2013.094,103.72
2013-02-07,2013.1,102.93
2013-02-08,2013.103,103.8
2013-02-11,2013.111,102.74
2013-02-12,2013.114,102.82
2013-02-13,2013.117,102.87
2013-02-14,2013.119,103.03
2013-02-15,2013.122,101.26
2013-02-18,2013.131,102.01
2013-02-19,2013.133,103.83
2013-02-20,2013.136,101.73
2013-02-21,2013.139,99.9
2013-02-22,2013.142,101.78
2013-02-25,2013.15,102.2
2013-02-26,2013.153,102.66
2013-02-27,2013.156,104
2013-02-28,2013.158,106.31
2013-03-01,2013.167,105.83
2013-03-04,2013.175,104.07
2013-03-05,2013.178,104.62
2013-03-06,2013.181,104.82
2013-03-07,2013.183,106.24
2013-03-08,2013.186,106.39
2013-03-11,2013.194,106.74
2013-03-12,2013.197,107.08
2013-03-13,2013.2,103.84
2013-03-14,2013.203,104.94
2013-03-15,2013.206,104.74
2013-03-18,2013.214,103.46
2013-03-19,2013.217,102.98
2013-03-20,2013.219,102.47
2013-03-21,2013.222,102.6
2013-03-22,2013.225,102.71
2013-03-25,2013.233,102.05
2013-03-26,2013.236,101.24
2013-03-27,2013.239,104.34
2013-03-28,2013.242,104.93
2013-04-02,2013.253,103.99
2013-04-03,2013.256,104.35
2013-04-04,2013.258,105.03
2013-04-05,2013.261,105.15
2013-04-08,2013.269,104.46
2013-04-09,2013.272,104.26
2013-04-10,2013.275,105.17
2013-04-11,2013.278,104.73
2013-04-12,2013.281,105.63
2013-04-15,2013.289,105.67
2013-04-16,2013.292,104.91
2013-04-17,2013.294,105.58
2013-04-18,2013.297,105.02
2013-04-19,2013.3,104.96
2013-04-22,2013.308,106.02
2013-04-23,2013.311,107.93
2013-04-24,2013.314,107.92
2013-04-26,2013.319,107.07
2013-04-29,2013.328,107.79
2013-04-30,2013.331,109.06
2013-05-01,2013.333,108.1
2013-05-02,2013.336,107.26
2013-05-03,2013.339,105.49
2013-05-06,2013.347,107.04
2013-05-07,2013.35,108.42
2013-05-08,2013.353,109.18
2013-05-09,2013.356,109.34
2013-05-10,2013.358,109.95
2013-05-13,2013.367,110.12
2013-05-14,2013.369,109.43
2013-05-15,2013.372,108.83
2013-05-16,2013.375,107.96
2013-05-17,2013.378,105.78
2013-05-20,2013.386,104.91
2013-05-21,2013.389,104.83
2013-05-22,2013.392,105.16
2013-05-23,2013.394,104.84
2013-05-24,2013.397,103.33
2013-05-27,2013.406,102.04
2013-05-28,2013.408,102.15
2013-05-29,2013.411,101.84
2013-05-30,2013.414,101.3
2013-05-31,2013.417,102.19
2013-06-04,2013.425,101.87
2013-06-05,2013.428,101.23
2013-06-06,2013.431,101.35
2013-06-07,2013.433,100.8
2013-06-10,2013.442,102.24
2013-06-11,2013.444,101.62
2013-06-12,2013.447,100.91
2013-06-13,2013.45,99.17
2013-06-14,2013.453,100.08
2013-06-17,2013.461,101.24
2013-06-18,2013.464,101.42
2013-06-19,2013.467,100.88
2013-06-20,2013.469,100.33
2013-06-21,2013.472,99.96
2013-06-24,2013.481,99.94
2013-06-25,2013.483,99.11
2013-06-26,2013.486,101.67
2013-06-27,2013.489,102.33
2013-06-28,2013.492,102.03
2013-07-01,2013.5,101.28
2013-07-02,2013.503,102.62
2013-07-03,2013.506,102.06
2013-07-04,2013.508,102.19
2013-07-05,2013.511,102.99
2013-07-08,2013.519,102.41
2013-07-09,2013.522,103.26
2013-07-10,2013.525,105.16
2013-07-11,2013.528,104.27
2013-07-12,2013.531,104.55
2013-07-15,2013.539,106.3
2013-07-16,2013.542,105.45
2013-07-17,2013.544,104.6
2013-07-18,2013.547,103.99
2013-07-19,2013.55,103.24
2013-07-22,2013.558,103.69
2013-07-23,2013.561,104.3
2013-07-24,2013.564,104.34
2013-07-25,2013.567,103.35
2013-07-26,2013.569,103.31
2013-07-29,2013.578,102.94
2013-07-30,2013.581,101.83
2013-07-31,2013.583,101.91
2013-08-01,2013.583,102.91
2013-08-02,2013.586,104.43
2013-08-05,2013.594,104.7
2013-08-06,2013.597,104.18
2013-08-07,2013.6,103.11
2013-08-08,2013.603,103.83
2013-08-09,2013.606,103.53
2013-08-12,2013.614,102.53
2013-08-13,2013.617,102.45
2013-08-14,2013.619,101.96
2013-08-15,2013.622,102.14
2013-08-16,2013.625,101.73
2013-08-19,2013.633,101.54
2013-08-20,2013.636,102.18
2013-08-21,2013.639,104.94
2013-08-22,2013.642,103.56
2013-08-23,2013.644,103.19
2013-08-26,2013.653,103.46
2013-08-27,2013.656,103.37
2013-08-28,2013.658,102.49
2013-08-29,2013.661,102.95
2013-08-30,2013.664,103.11
2013-09-02,2013.669,103.98
2013-09-03,2013.672,104.71
2013-09-04,2013.675,105.02
2013-09-05,2013.678,104.78
2013-09-06,2013.681,104.51
2013-09-09,2013.689,105.04
2013-09-10,2013.692,105.67
2013-09-11,2013.694,106.22
2013-09-12,2013.697,106.41
2013-09-13,2013.7,106.81
2013-09-16,2013.708,108.33
2013-09-17,2013.711,108.58
2013-09-18,2013.714,107.96
2013-09-19,2013.717,109.64
2013-09-20,2013.719,108.08
2013-09-23,2013.728,107.6
2013-09-24,2013.731,107.82
2013-09-25,2013.733,109
2013-09-26,2013.736,109.49
2013-09-27,2013.739,110.33
2013-09-30,2013.747,108.71
2013-10-01,2013.75,108.76
2013-10-02,2013.753,109.23
2013-10-03,2013.756,109.2
2013-10-04,2013.758,108.32
2013-10-07,2013.767,108.29
2013-10-08,2013.769,108.01
2013-10-09,2013.772,107.51
2013-10-10,2013.775,107.82
2013-10-11,2013.778,108.3
2013-10-14,2013.786,107.86
2013-10-15,2013.789,108.15
2013-10-16,2013.792,108.35
2013-10-17,2013.794,108.31
2013-10-18,2013.797,107.35
2013-10-21,2013.806,107.73
2013-10-22,2013.808,108.29
2013-10-23,2013.811,109.53
2013-10-24,2013.814,108.15
2013-10-25,2013.817,108.8
2013-10-29,2013.828,108.54
2013-10-30,2013.831,109.12
2013-10-31,2013.833,110.91
2013-11-01,2013.833,110.6
2013-11-04,2013.842,110
2013-11-05,2013.844,110.14
2013-11-06,2013.847,109.15
2013-11-07,2013.85,109.24
2013-11-08,2013.853,110.26
2013-11-11,2013.861,108.63
2013-11-12,2013.864,108.42
2013-11-13,2013.867,108.79
2013-11-14,2013.869,108.73
2013-11-15,2013.872,108.44
2013-11-18,2013.881,107.84
2013-11-19,2013.883,106.88
2013-11-20,2013.886,107.14
2013-11-21,2013.889,106.96
2013-11-22,2013.892,106.79
2013-11-25,2013.9,106.54
2013-11-26,2013.903,105.53
2013-11-27,2013.906,106.08
2013-11-28,2013.908,106.26
2013-11-29,2013.911,106.44
2013-12-02,2013.919,107.15
2013-12-03,2013.922,107.07
2013-12-04,2013.925,106.45
2013-12-05,2013.928,105.93
2013-12-06,2013.931,105.61
2013-12-09,2013.939,105.79
2013-12-10,2013.942,105.15
2013-12-11,2013.944,105.27
2013-12-12,2013.947,106.05
2013-12-13,2013.95,105.72
2013-12-16,2013.958,105.67
2013-12-17,2013.961,105.4
2013-12-18,2013.964,103.76
2013-12-19,2013.967,105.37
2013-12-20,2013.969,103.93
2013-12-23,2013.978,105.47
2013-12-24,2013.981,106.38
2013-12-27,2013.989,105.76
2013-12-30,2013.997,105.5
2013-12-31,2014,105.04
2014-01-03,2014.006,106.59
2014-01-06,2014.014,106.09
2014-01-07,2014.017,104.84
2014-01-08,2014.019,104.99
2014-01-09,2014.022,105.9
2014-01-10,2014.025,107.06
2014-01-13,2014.033,108.21
2014-01-14,2014.036,107.7
2014-01-15,2014.039,109.06
2014-01-16,2014.042,109.72
2014-01-17,2014.044,108.75
2014-01-20,2014.053,108.53
2014-01-21,2014.056,109.51
2014-01-22,2014.058,110.24
2014-01-23,2014.061,109.51
2014-01-24,2014.064,107.99
2014-01-27,2014.072,107.84
2014-01-28,2014.075,108.05
2014-01-29,2014.078,108.87
2014-01-30,2014.081,107.82
2014-01-31,2014.083,108.6
2014-02-03,2014.089,107.82
2014-02-04,2014.092,107.07
2014-02-05,2014.094,107.3
2014-02-07,2014.1,107.96
2014-02-10,2014.108,108.56
2014-02-11,2014.111,109.11
2014-02-12,2014.114,109.85
2014-02-13,2014.117,110
2014-02-14,2014.119,110.38
2014-02-17,2014.128,110.24
2014-02-18,2014.131,110.13
2014-02-19,2014.133,111.38
2014-02-20,2014.136,110.51
2014-02-21,2014.139,111.06
2014-02-24,2014.147,112.55
2014-02-25,2014.15,111.35
2014-02-26,2014.153,111.74
2014-02-27,2014.156,111.42
2014-02-28,2014.158,112.39
2014-03-03,2014.172,112.95
2014-03-04,2014.175,113.24
2014-03-05,2014.178,114.2
2014-03-06,2014.181,115.11
2014-03-07,2014.183,115.41
2014-03-10,2014.192,115.18
2014-03-11,2014.194,114.12
2014-03-12,2014.197,114.26
2014-03-13,2014.2,115.24
2014-03-14,2014.203,114.2
2014-03-17,2014.211,114.85
2014-03-18,2014.214,116.31
2014-03-19,2014.217,115.3
2014-03-20,2014.219,114.5
2014-03-21,2014.222,113.83
2014-03-24,2014.231,113.04
2014-03-25,2014.233,113.6
2014-03-26,2014.236,113.1
2014-03-27,2014.239,114.05
2014-03-28,2014.242,114.83
2014-03-31,2014.25,114.31
2014-04-01,2014.25,114.11
2014-04-02,2014.253,114.24
2014-04-03,2014.256,113.95
2014-04-04,2014.258,114.07
2014-04-07,2014.267,113
2014-04-08,2014.269,112.89
2014-04-09,2014.272,113.68
2014-04-10,2014.275,114.84
2014-04-11,2014.278,115.1
2014-04-14,2014.286,114.89
2014-04-15,2014.289,115.5
2014-04-16,2014.292,115.89
2014-04-17,2014.294,115.82
2014-04-22,2014.308,115.51
2014-04-23,2014.311,116.69
2014-04-24,2014.314,116.36
2014-04-28,2014.325,116.22
2014-04-29,2014.328,117.23
2014-04-30,2014.331,118.98
2014-05-01,2014.333,118.73
2014-05-02,2014.336,119.07
2014-05-05,2014.344,118.24
2014-05-06,2014.347,117.09
2014-05-07,2014.35,117.32
2014-05-08,2014.353,116.21
2014-05-09,2014.356,115.63
2014-05-12,2014.364,115.96
2014-05-13,2014.367,117.22
2014-05-14,2014.369,117.07
2014-05-15,2014.372,115.81
2014-05-16,2014.375,115.68
