Date,t,Close
2013-08-07,2013.6,1020.27
2013-08-08,2013.603,1061.92
2013-08-09,2013.606,1085.73
2013-08-12,2013.614,1132.12
2013-08-13,2013.617,1114.76
2013-08-14,2013.619,1134.01
2013-08-15,2013.622,1136.53
2013-08-16,2013.625,1115.72
2013-08-19,2013.633,1095.45
2013-08-20,2013.636,1108.59
2013-08-21,2013.639,1080.16
2013-08-22,2013.642,1098.42
2013-08-23,2013.644,1112.39
2013-08-26,2013.653,1099.2
2013-08-27,2013.656,1065.39
2013-08-28,2013.658,1053.48
2013-08-29,2013.661,1052.11
2013-08-30,2013.664,1052.54
2013-09-03,2013.672,1055.7
2013-09-04,2013.675,1064.44
2013-09-05,2013.678,1069.28
2013-09-06,2013.681,1074.78
2013-09-09,2013.689,1086.45
2013-09-10,2013.692,1094.69
2013-09-11,2013.694,1091.72
2013-09-12,2013.697,1067.41
2013-09-13,2013.7,1057.17
2013-09-16,2013.708,1069.64
2013-09-17,2013.711,1071.27
2013-09-18,2013.714,1130.01
2013-09-19,2013.717,1124.52
2013-09-20,2013.719,1102.33
2013-09-23,2013.728,1097.05
2013-09-24,2013.731,1091.76
2013-09-25,2013.733,1096.25
2013-09-26,2013.736,1081.05
2013-09-27,2013.739,1076.56
2013-09-30,2013.747,1071.18
2013-10-01,2013.75,1071.89
2013-10-02,2013.753,1071.24
2013-10-03,2013.756,1076.1
2013-10-04,2013.758,1082.06
2013-10-07,2013.767,1082.24
2013-10-08,2013.769,1086.89
2013-10-09,2013.772,1098.85
2013-10-10,2013.775,1114.99
2013-10-11,2013.778,1120.27
2013-10-14,2013.786,1125.26
2013-10-15,2013.789,1126.05
2013-10-16,2013.792,1125.45
2013-10-17,2013.794,1160.86
2013-10-18,2013.797,1160.66
2013-10-21,2013.806,1164.03
2013-10-22,2013.808,1185.62
2013-10-23,2013.811,1170.68
2013-10-24,2013.814,1184.51
2013-10-25,2013.817,1175.2
2013-10-28,2013.825,1193.46
2013-10-29,2013.828,1179.49
2013-10-30,2013.831,1170.65
2013-10-31,2013.833,1154.07
2013-11-01,2013.833,1150.54
2013-11-04,2013.842,1147.3
2013-11-05,2013.844,1144.71
2013-11-06,2013.847,1152.61
2013-11-07,2013.85,1139.91
2013-11-08,2013.853,1115.53
2013-11-11,2013.861,1120.6
2013-11-12,2013.864,1107.28
2013-11-13,2013.867,1101.66
2013-11-14,2013.869,1106.22
2013-11-15,2013.872,1105.6
2013-11-18,2013.881,1088.94
2013-11-19,2013.883,1064.28
2013-11-20,2013.886,1054.63
2013-11-21,2013.889,1042.82
2013-11-22,2013.892,1041.93
2013-11-25,2013.9,1039.56
2013-11-26,2013.903,1032.23
2013-11-27,2013.906,1043.83
2013-11-28,2013.908,1043.83
2013-11-29,2013.911,1047.61
2013-12-02,2013.919,1037.08
2013-12-03,2013.922,1020.72
2013-12-04,2013.925,1027.96
2013-12-05,2013.928,1029.11
2013-12-06,2013.931,1033.68
2013-12-09,2013.939,1056.78
2013-12-10,2013.942,1065.96
2013-12-11,2013.944,1048.6
2013-12-12,2013.947,1037.41
2013-12-13,2013.95,1040.43
2013-12-16,2013.958,1056.76
2013-12-17,2013.961,1060.24
2013-12-18,2013.964,1080.84
2013-12-19,2013.967,1074.15
2013-12-20,2013.969,1074.66
2013-12-23,2013.978,1070.04
2013-12-24,2013.981,1075.57
2013-12-26,2013.986,1076.16
2013-12-27,2013.989,1079.98
2013-12-30,2013.997,1087.63
2013-12-31,2014,1101.73
2014-01-02,2014.003,1103.23
2014-01-03,2014.006,1091.8
2014-01-06,2014.014,1081.41
2014-01-07,2014.017,1086.01
2014-01-08,2014.019,1080.73
2014-01-09,2014.022,1063.82
2014-01-10,2014.025,1085.18
2014-01-13,2014.033,1092.82
2014-01-14,2014.036,1098.7
2014-01-15,2014.039,1103.22
2014-01-16,2014.042,1107.99
2014-01-17,2014.044,1121.89
2014-01-21,2014.056,1128.71
2014-01-22,2014.058,1159.95
2014-01-23,2014.061,1164.8
2014-01-24,2014.064,1132.39
2014-01-27,2014.072,1115.17
2014-01-28,2014.075,1112.93
2014-01-29,2014.078,1103.49
2014-01-30,2014.081,1107.68
2014-01-31,2014.083,1104.95
2014-02-03,2014.089,1070.31
2014-02-04,2014.092,1072.89
2014-02-05,2014.094,1064.57
2014-02-06,2014.097,1065.75
2014-02-07,2014.1,1080.95
2014-02-10,2014.108,1107.78
2014-02-11,2014.111,1156.29
2014-02-12,2014.114,1143.3
2014-02-13,2014.117,1148.6
2014-02-14,2014.119,1171.93
2014-02-18,2014.131,1150.64
2014-02-19,2014.133,1129.89
2014-02-20,2014.136,1132.43
2014-02-21,2014.139,1142.56
2014-02-24,2014.147,1152.03
2014-02-25,2014.15,1137.23
2014-02-26,2014.153,1126.16
2014-02-27,2014.156,1123.63
2014-02-28,2014.158,1127.53
2014-03-03,2014.172,1128.42
2014-03-04,2014.175,1128.72
2014-03-05,2014.178,1137.12
2014-03-06,2014.181,1153.75
2014-03-07,2014.183,1112.43
2014-03-10,2014.192,1097.72
2014-03-11,2014.194,1083.78
2014-03-12,2014.197,1088.75
2014-03-13,2014.2,1086.62
2014-03-14,2014.203,1099.6
2014-03-17,2014.211,1096.79
2014-03-18,2014.214,1096.11
2014-03-19,2014.217,1075.16
2014-03-20,2014.219,1081.47
2014-03-21,2014.222,1079.08
2014-03-24,2014.231,1072.58
2014-03-25,2014.233,1091.58
2014-03-26,2014.236,1082.83
2014-03-27,2014.239,1108.12
2014-03-28,2014.242,1136.72
2014-03-31,2014.25,1148.44
2014-04-01,2014.25,1154.65
2014-04-02,2014.253,1162.06
2014-04-03,2014.256,1163.53
2014-04-04,2014.258,1178.11
2014-04-07,2014.267,1179.87
2014-04-08,2014.269,1188.7
2014-04-09,2014.272,1195.45
2014-04-10,2014.275,1187.44
2014-04-11,2014.278,1171.66
2014-04-14,2014.286,1185.22
2014-04-15,2014.289,1162.21
2014-04-16,2014.292,1175.13
2014-04-17,2014.294,1174.41
2014-04-21,2014.306,1166.02
2014-04-22,2014.308,1171.68
2014-04-23,2014.311,1188.27
2014-04-24,2014.314,1189.03
2014-04-25,2014.317,1183.93
2014-04-28,2014.325,1189.66
2014-04-29,2014.328,1196.95
2014-04-30,2014.331,1219.07
2014-05-01,2014.333,1198.57
2014-05-02,2014.336,1196.64
2014-05-05,2014.344,1189.69
2014-05-06,2014.347,1185.11
2014-05-07,2014.35,1183.91
2014-05-08,2014.353,1177.11
2014-05-09,2014.356,1211.83
2014-05-12,2014.364,1238.06
2014-05-13,2014.367,1221.26
2014-05-14,2014.369,1234.71
2014-05-15,2014.372,1220.65
2014-05-16,2014.375,1222.45
