Date,t,Close
2011-09-26,2011.736,617.51
2011-09-28,2011.742,646.39
2011-09-29,2011.744,645.17
2011-09-30,2011.747,667.75
2011-10-03,2011.756,641.42
2011-10-04,2011.758,637.22
2011-10-05,2011.761,635.7
2011-10-06,2011.764,645.89
2011-10-07,2011.767,669.97
2011-10-10,2011.775,673.38
2011-10-11,2011.778,685.66
2011-10-12,2011.781,687.77
2011-10-13,2011.783,690.94
2011-10-14,2011.786,691.85
2011-10-17,2011.794,703.19
2011-10-18,2011.797,693.77
2011-10-19,2011.8,699.98
2011-10-20,2011.803,695.18
2011-10-21,2011.806,693.33
2011-10-24,2011.814,694.72
2011-10-25,2011.817,700.15
2011-10-26,2011.819,696.57
2011-10-27,2011.822,703.14
2011-10-28,2011.825,716.2
2011-11-02,2011.836,705.81
2011-11-03,2011.839,699.14
2011-11-04,2011.842,706.17
2011-11-08,2011.853,714.1
2011-11-09,2011.856,721.4
2011-11-10,2011.858,707.03
2011-11-11,2011.861,711.26
2011-11-14,2011.869,717.93
2011-11-15,2011.872,721.34
2011-11-16,2011.875,713.09
2011-11-17,2011.878,710.47
2011-11-18,2011.881,703.35
2011-11-21,2011.889,701.76
2011-11-22,2011.892,700.92
2011-11-23,2011.894,698.55
2011-11-24,2011.897,692.4
2011-11-25,2011.9,697.49
2011-11-28,2011.908,691.24
2011-11-29,2011.911,687.33
2011-12-01,2011.917,699.68
2011-12-02,2011.919,701.27
2011-12-05,2011.928,702.33
2011-12-06,2011.931,700.72
2011-12-07,2011.933,705.59
2011-12-08,2011.936,705.6
2011-12-09,2011.939,699.79
2011-12-12,2011.947,696.47
2011-12-13,2011.95,699.38
2011-12-14,2011.953,698.83
2011-12-15,2011.956,699.98
2011-12-16,2011.958,701.35
2011-12-19,2011.967,703.61
2011-12-20,2011.969,708.09
2011-12-21,2011.972,712.73
2011-12-22,2011.975,715.25
2011-12-23,2011.978,715.87
2011-12-26,2011.986,717.79
2011-12-27,2011.989,713.29
2011-12-28,2011.992,709.17
2011-12-29,2011.994,715.61
2012-01-02,2012.003,720.57
2012-01-03,2012.006,725.12
2012-01-04,2012.008,737.08
2012-01-05,2012.011,740.63
2012-01-06,2012.014,733.53
2012-01-09,2012.022,743.78
2012-01-10,2012.025,745.55
2012-01-11,2012.028,759.66
2012-01-12,2012.031,759.99
2012-01-13,2012.033,755.4
2012-01-16,2012.042,748.73
2012-01-17,2012.044,760.7
2012-01-18,2012.047,766.02
2012-01-19,2012.05,769.61
2012-01-20,2012.053,776.94
2012-01-24,2012.064,770.07
2012-01-25,2012.067,763.93
2012-01-26,2012.069,755.77
2012-01-27,2012.072,768.74
2012-01-30,2012.081,762.7
2012-01-31,2012.083,772.06
2012-02-01,2012.083,775.22
2012-02-02,2012.086,795.52
2012-02-03,2012.089,784.6
2012-02-06,2012.097,794.09
