Date,t,Close
2012-05-24,2012.397,1415.07
2012-05-25,2012.4,1417.14
2012-05-28,2012.408,1430.06
2012-05-29,2012.411,1453.17
2012-05-30,2012.414,1441.22
2012-05-31,2012.417,1459.88
2012-06-01,2012.417,1442.14
2012-06-04,2012.425,1446.56
2012-06-05,2012.428,1420.16
2012-06-06,2012.431,1469.66
2012-06-08,2012.436,1500.81
2012-06-11,2012.444,1507.19
2012-06-12,2012.447,1538.3
2012-06-13,2012.45,1534.2
2012-06-14,2012.453,1533.93
2012-06-15,2012.456,1551.63
2012-06-18,2012.464,1548.48
2012-06-19,2012.467,1574.71
2012-06-20,2012.469,1568.91
2012-06-21,2012.472,1558.22
2012-06-22,2012.475,1556.75
2012-06-25,2012.483,1533.41
2012-06-26,2012.486,1563.19
2012-06-27,2012.489,1579.36
2012-06-28,2012.492,1552.55
2012-06-29,2012.494,1581.16
2012-07-02,2012.503,1567.91
2012-07-03,2012.506,1578.24
2012-07-04,2012.508,1569.96
2012-07-05,2012.511,1585.38
2012-07-06,2012.514,1575.4
2012-07-09,2012.522,1553.11
2012-07-10,2012.525,1555.82
2012-07-11,2012.528,1540.85
2012-07-12,2012.531,1496.7
2012-07-13,2012.533,1521.79
2012-07-16,2012.542,1521.02
2012-07-17,2012.544,1524.61
2012-07-18,2012.547,1519.16
2012-07-19,2012.55,1529.48
2012-07-20,2012.553,1511.26
2012-07-23,2012.561,1462.09
2012-07-24,2012.564,1472.54
2012-07-25,2012.567,1474.99
2012-07-26,2012.569,1471.49
2012-07-27,2012.572,1504.32
2012-07-30,2012.581,1523.33
2012-07-31,2012.583,1518.98
2012-08-01,2012.583,1521.17
2012-08-02,2012.586,1510.88
2012-08-03,2012.589,1545.49
2012-08-06,2012.597,1574.35
2012-08-07,2012.6,1576.66
2012-08-08,2012.603,1580.1
2012-08-09,2012.606,1612.86
2012-08-10,2012.608,1609.73
2012-08-13,2012.617,1609.11
2012-08-14,2012.619,1613.12
2012-08-16,2012.625,1632.27
2012-08-17,2012.628,1611.74
2012-08-20,2012.636,1589.9
2012-08-21,2012.639,1601.99
2012-08-22,2012.642,1589.04
2012-08-23,2012.644,1589.43
2012-08-24,2012.647,1590.16
2012-08-27,2012.656,1585.95
2012-08-28,2012.658,1569.87
2012-08-29,2012.661,1555.23
2012-08-30,2012.664,1548.5
2012-08-31,2012.667,1569.01
2012-09-03,2012.672,1575.41
2012-09-04,2012.675,1563.48
2012-09-05,2012.678,1572.49
2012-09-06,2012.681,1596.82
2012-09-07,2012.683,1611.14
2012-09-10,2012.692,1623.34
2012-09-11,2012.694,1634.94
2012-09-12,2012.697,1630.47
2012-09-13,2012.7,1635.37
2012-09-14,2012.703,1678.01
