Date,t,Close
2014-03-14,2014.203,591.07
2014-03-17,2014.211,614.48
2014-03-18,2014.214,638.7
2014-03-19,2014.217,637.21
2014-03-20,2014.219,629.75
2014-03-21,2014.222,622.38
2014-03-24,2014.231,618.33
2014-03-25,2014.233,640.74
2014-03-26,2014.236,653.95
2014-03-27,2014.239,644.66
2014-03-28,2014.242,650.62
2014-03-31,2014.25,673.2
2014-04-01,2014.25,677.45
2014-04-02,2014.253,670.05
2014-04-03,2014.256,662.21
2014-04-04,2014.258,676.21
2014-04-07,2014.267,655.08
2014-04-08,2014.269,655.3
2014-04-09,2014.272,652.51
2014-04-10,2014.275,663.7
2014-04-11,2014.278,659.18
2014-04-14,2014.286,645.41
2014-04-15,2014.289,624.55
2014-04-16,2014.292,631.28
2014-04-17,2014.294,640.57
2014-04-18,2014.297,651.88
2014-04-21,2014.306,647.41
2014-04-22,2014.308,644.79
2014-04-23,2014.311,639.45
2014-04-24,2014.314,623.16
2014-04-25,2014.317,609.22
2014-04-28,2014.325,620.72
2014-04-29,2014.328,629.18
2014-04-30,2014.331,629.65
2014-05-01,2014.333,630.44
2014-05-02,2014.336,625.72
2014-05-05,2014.344,622
2014-05-06,2014.347,640
2014-05-07,2014.35,670.87
2014-05-08,2014.353,672.65
2014-05-09,2014.356,668.46
2014-05-12,2014.364,673.6
2014-05-13,2014.367,683.17
2014-05-14,2014.369,688.02
2014-05-15,2014.372,684.51
2014-05-16,2014.375,689.22
