Date,t,Close
2011-10-04,2011.758,1360.08
2011-10-05,2011.761,1362.15
2011-10-06,2011.764,1399.99
2011-10-07,2011.767,1410.26
2011-10-10,2011.775,1430.1801
2011-10-11,2011.778,1447
2011-10-12,2011.781,1473.5
2011-10-13,2011.783,1465.14
2011-10-14,2011.786,1471.64
2011-10-17,2011.794,1487.3199
2011-10-18,2011.797,1453.25
2011-10-19,2011.8,1458.97
2011-10-20,2011.803,1441.05
2011-10-21,2011.806,1451.48
2011-10-24,2011.814,1478.86
2011-10-25,2011.817,1488.6801
2011-10-26,2011.819,1488.97
2011-10-27,2011.822,1531.79
2011-10-28,2011.825,1556.15
2011-10-31,2011.833,1527.99
2011-11-01,2011.833,1484.77
2011-11-02,2011.836,1515.6801
2011-11-03,2011.839,1500.1
2011-11-04,2011.842,1517.59
2011-11-07,2011.85,1517.7
2011-11-08,2011.853,1520.5699
2011-11-09,2011.856,1517.84
2011-11-10,2011.858,1480.47
2011-11-11,2011.861,1481.4
2011-11-14,2011.869,1512.74
2011-11-15,2011.872,1499.4301
2011-11-16,2011.875,1495.6801
2011-11-17,2011.878,1479.71
2011-11-18,2011.881,1453.87
2011-11-21,2011.889,1433.98
2011-11-22,2011.892,1444.51
2011-11-23,2011.894,1422.7
2011-11-24,2011.897,1420.8101
2011-11-25,2011.9,1400.01
2011-11-28,2011.908,1430.53
2011-11-29,2011.911,1425.38
2011-11-30,2011.914,1436.1
2011-12-01,2011.917,1470.4399
2011-12-02,2011.919,1482.03
2011-12-05,2011.928,1478.54
2011-12-06,2011.931,1467.3
2011-12-07,2011.933,1480.49
2011-12-08,2011.936,1447.74
2011-12-09,2011.939,1428.5601
2011-12-12,2011.947,1434.73
2011-12-13,2011.95,1427.4399
2011-12-14,2011.953,1420.9399
2011-12-15,2011.956,1403.62
2011-12-16,2011.958,1419.47
2011-12-19,2011.967,1395.9399
2011-12-20,2011.969,1395.3101
2011-12-21,2011.972,1425.4399
2011-12-22,2011.975,1419.1
2011-12-23,2011.978,1428.49
2011-12-26,2011.986,1428.49
2011-12-27,2011.989,1426.0601
2011-12-28,2011.992,1419.86
2011-12-29,2011.994,1424.08
2011-12-30,2011.997,1410.01
2012-01-02,2012.003,1410.01
2012-01-03,2012.006,1434.47
2012-01-04,2012.008,1446.28
2012-01-05,2012.011,1439.62
2012-01-06,2012.014,1441.9301
2012-01-09,2012.022,1429.41
2012-01-10,2012.025,1449.09
2012-01-11,2012.028,1463.5
2012-01-12,2012.031,1464.36
2012-01-13,2012.033,1492.78
2012-01-16,2012.042,1472.86
2012-01-17,2012.044,1505.79
2012-01-18,2012.047,1494.36
2012-01-19,2012.05,1500.45
2012-01-20,2012.053,1519.0699
2012-01-23,2012.061,1518.88
2012-01-24,2012.064,1518.98
2012-01-25,2012.067,1545.8
2012-01-26,2012.069,1545.77
2012-01-27,2012.072,1559.03
2012-01-30,2012.081,1546.41
2012-01-31,2012.083,1562.08
2012-02-01,2012.083,1557.5601
2012-02-02,2012.086,1559.96
2012-02-03,2012.089,1568.71
2012-02-06,2012.097,1578.1801
2012-02-07,2012.1,1587.8199
2012-02-08,2012.103,1604.33
2012-02-09,2012.106,1603.05
2012-02-10,2012.108,1591.0699
2012-02-13,2012.117,1605.3101
2012-02-14,2012.119,1607.1
2012-02-15,2012.122,1619.42
2012-02-16,2012.125,1598.8
2012-02-17,2012.128,1610.05
2012-02-20,2012.136,1623.3101
2012-02-21,2012.139,1628.28
2012-02-22,2012.142,1620.01
2012-02-23,2012.144,1613.0601
2012-02-24,2012.147,1614.22
2012-02-27,2012.156,1597.42
2012-02-28,2012.158,1612.3101
2012-02-29,2012.161,1624.08
2012-03-01,2012.167,1616.4399
2012-03-02,2012.169,1623.95
2012-03-05,2012.178,1614.45
2012-03-06,2012.181,1580.8199
2012-03-07,2012.183,1568.87
2012-03-08,2012.186,1601.24
2012-03-09,2012.189,1594.89
2012-03-12,2012.197,1594.77
2012-03-13,2012.2,1608.25
2012-03-14,2012.203,1629.27
2012-03-15,2012.206,1627.46
2012-03-16,2012.208,1626.9301
2012-03-19,2012.217,1612.8
2012-03-20,2012.219,1617.53
2012-03-21,2012.222,1621.0601
2012-03-22,2012.225,1610.46
2012-03-23,2012.228,1618.3199
2012-03-26,2012.236,1607.47
2012-03-27,2012.239,1637.41
2012-03-28,2012.242,1634.34
2012-03-29,2012.244,1620.38
2012-03-30,2012.247,1627.89
2012-04-02,2012.253,1626.77
2012-04-03,2012.256,1624.76
2012-04-04,2012.258,1606.6
2012-04-05,2012.261,1601.46
2012-04-06,2012.264,1601.46
2012-04-09,2012.272,1588.09
2012-04-10,2012.275,1597.62
2012-04-11,2012.278,1580.6
2012-04-12,2012.281,1597.38
2012-04-13,2012.283,1601.59
2012-04-16,2012.292,1601.4399
2012-04-17,2012.294,1599.5601
2012-04-18,2012.297,1608.61
2012-04-19,2012.3,1615.16
2012-04-20,2012.303,1609.86
2012-04-23,2012.311,1590.64
2012-04-24,2012.314,1597.17
2012-04-25,2012.317,1602.05
2012-04-26,2012.319,1600.79
2012-04-27,2012.322,1603.76
2012-04-30,2012.331,1603.15
2012-05-01,2012.333,1603.11
2012-05-02,2012.336,1616.76
2012-05-03,2012.339,1614.6801
2012-05-04,2012.342,1606.8
2012-05-07,2012.35,1570.1
2012-05-08,2012.353,1574.95
2012-05-09,2012.356,1557.51
2012-05-10,2012.358,1560.5699
2012-05-11,2012.361,1550.24
2012-05-14,2012.369,1531.84
2012-05-15,2012.372,1538.89
2012-05-16,2012.375,1510.29
2012-05-17,2012.378,1508.46
2012-05-18,2012.381,1481.9399
2012-05-21,2012.389,1486.3
2012-05-22,2012.392,1504.95
2012-05-23,2012.394,1479.83
2012-05-24,2012.397,1481.3101
2012-05-25,2012.4,1481.55
2012-05-28,2012.408,1488.45
2012-05-29,2012.411,1495.48
2012-05-30,2012.414,1487.92
2012-05-31,2012.417,1486.7
2012-06-01,2012.417,1469.2
2012-06-04,2012.425,1445.4
2012-06-05,2012.428,1453.48
2012-06-06,2012.431,1475.91
2012-06-07,2012.433,1478.39
2012-06-08,2012.436,1464.02
2012-06-11,2012.444,1491.88
2012-06-12,2012.447,1498.77
2012-06-13,2012.45,1496.66
2012-06-14,2012.453,1488.46
2012-06-15,2012.456,1514.58
2012-06-18,2012.464,1520.22
2012-06-19,2012.467,1530.09
2012-06-20,2012.469,1539.58
2012-06-21,2012.472,1525.6
2012-06-22,2012.475,1520.3199
2012-06-25,2012.483,1515.28
2012-06-26,2012.486,1509.78
2012-06-27,2012.489,1529.41
2012-06-28,2012.492,1533.48
2012-06-29,2012.494,1551.96
2012-07-02,2012.503,1567.14
2012-07-03,2012.506,1586.1
2012-07-04,2012.508,1585.53
2012-07-05,2012.511,1598.38
2012-07-06,2012.514,1603.17
2012-07-09,2012.522,1576.2
2012-07-10,2012.525,1596.02
2012-07-11,2012.528,1606.8101
2012-07-12,2012.531,1593.52
2012-07-13,2012.533,1607.87
2012-07-16,2012.542,1614.12
2012-07-17,2012.544,1620.55
2012-07-18,2012.547,1624.22
2012-07-19,2012.55,1635.83
2012-07-20,2012.553,1629.79
2012-07-23,2012.561,1606.71
2012-07-24,2012.564,1617.53
2012-07-25,2012.567,1611.76
2012-07-26,2012.569,1618.17
2012-07-27,2012.572,1618.3
2012-07-30,2012.581,1638.04
2012-07-31,2012.583,1640.75
2012-08-01,2012.583,1643.03
2012-08-02,2012.586,1636.6801
2012-08-03,2012.589,1641.37
2012-08-06,2012.597,1645.25
2012-08-07,2012.6,1641.59
2012-08-08,2012.603,1638.2
2012-08-09,2012.606,1638.21
2012-08-10,2012.608,1636.66
2012-08-13,2012.617,1643.98
2012-08-14,2012.619,1657.09
2012-08-15,2012.622,1643.3101
2012-08-16,2012.625,1642.53
2012-08-17,2012.628,1642.3199
2012-08-20,2012.636,1642.3
2012-08-21,2012.639,1644.4399
2012-08-22,2012.642,1635.76
2012-08-23,2012.644,1639.17
2012-08-24,2012.647,1633.21
2012-08-27,2012.656,1630.13
2012-08-28,2012.658,1628.37
2012-08-29,2012.661,1632.6899
2012-08-30,2012.664,1614.63
2012-08-31,2012.667,1622.13
2012-09-03,2012.672,1618.03
2012-09-04,2012.675,1613.85
2012-09-05,2012.678,1603.8101
2012-09-06,2012.681,1601.48
2012-09-07,2012.683,1616.87
2012-09-10,2012.692,1617.1
2012-09-11,2012.694,1621.08
2012-09-12,2012.697,1630.83
2012-09-13,2012.7,1632.63
2012-09-14,2012.703,1653.53
2012-09-17,2012.711,1659.21
2012-09-18,2012.714,1650.77
2012-09-19,2012.717,1654.58
2012-09-20,2012.719,1648.11
2012-09-21,2012.722,1660.09
2012-09-24,2012.731,1646.37
2012-09-25,2012.733,1648.47
2012-09-26,2012.736,1634.49
2012-09-27,2012.739,1640.15
2012-09-28,2012.742,1641.95
2012-10-01,2012.75,1641.42
2012-10-02,2012.753,1646.35
2012-10-03,2012.756,1640.24
2012-10-04,2012.758,1648.37
2012-10-05,2012.761,1655.17
2012-10-08,2012.769,1641.3
2012-10-09,2012.772,1637.47
2012-10-10,2012.775,1623.5601
2012-10-11,2012.778,1618.03
2012-10-12,2012.781,1619.88
2012-10-15,2012.789,1622.9399
2012-10-16,2012.792,1628.03
2012-10-17,2012.794,1632.61
2012-10-18,2012.797,1639.92
2012-10-19,2012.8,1631.8101
2012-10-22,2012.808,1628.08
2012-10-23,2012.811,1626.04
2012-10-24,2012.814,1617.51
