Date,t,Close
2011-10-04,2011.758,332.48
2011-10-05,2011.761,337.14
2011-10-06,2011.764,360.51
2011-10-07,2011.767,361.94
2011-10-10,2011.775,367.83
2011-10-11,2011.778,378.97
2011-10-12,2011.781,379.58
2011-10-13,2011.783,372.78
2011-10-14,2011.786,381.5
2011-10-17,2011.794,390.71
2011-10-18,2011.797,382.6
2011-10-19,2011.8,375.19
2011-10-20,2011.803,362.95
2011-10-21,2011.806,368.75
2011-10-25,2011.817,384.38
2011-10-26,2011.819,382.3
2011-10-27,2011.822,391.43
2011-10-28,2011.825,399.88
2011-10-31,2011.833,399.75
2011-11-01,2011.833,389.56
2011-11-02,2011.836,393.93
2011-11-03,2011.839,388.83
2011-11-04,2011.842,388.38
2011-11-07,2011.85,386.44
2011-11-08,2011.853,397.52
2011-11-09,2011.856,389.34
2011-11-10,2011.858,388.24
2011-11-11,2011.861,387.67
2011-11-14,2011.869,394.05
2011-11-15,2011.872,392.93
2011-11-16,2011.875,396.12
2011-11-17,2011.878,392.68
2011-11-18,2011.881,387.55
2011-11-21,2011.889,380.48
2011-11-22,2011.892,385.16
2011-11-23,2011.894,383.21
2011-11-24,2011.897,385.45
2011-11-25,2011.9,378.5
2011-11-28,2011.908,386.71
2011-11-29,2011.911,388.34
2011-11-30,2011.914,392.36
2011-12-01,2011.917,403.37
2011-12-02,2011.919,408.64
2011-12-06,2011.931,408.37
2011-12-07,2011.933,416.87
2011-12-08,2011.936,415.08
2011-12-09,2011.939,409.19
2011-12-13,2011.95,407.46
2011-12-14,2011.953,406.09
2011-12-15,2011.956,403.77
2011-12-16,2011.958,407.46
2011-12-19,2011.967,407.32
2011-12-20,2011.969,407.4
2011-12-21,2011.972,413.56
2011-12-22,2011.975,411.46
2011-12-23,2011.978,407.71
2011-12-26,2011.986,406.31
2011-12-27,2011.989,405.27
2011-12-28,2011.992,405.45
2011-12-29,2011.994,405.93
2011-12-30,2011.997,406.61
2012-01-04,2012.008,410.29
2012-01-05,2012.011,407.3
2012-01-06,2012.014,405.91
2012-01-09,2012.022,411.14
2012-01-10,2012.025,413.55
2012-01-11,2012.028,412.51
2012-01-12,2012.031,413.38
2012-01-13,2012.033,410.06
2012-01-16,2012.042,407.04
2012-01-17,2012.044,418.04
2012-01-18,2012.047,416.31
