Date,t,Close
2011-11-24,2011.897,699928.69
2011-11-25,2011.9,725257.69
2011-11-28,2011.908,742828.88
2011-11-29,2011.911,740251.13
2011-11-30,2011.914,777291.88
2011-12-01,2011.917,765335.88
2011-12-02,2011.919,779406.19
2011-12-05,2011.928,786398.75
2011-12-06,2011.931,780368.31
2011-12-07,2011.933,787364.38
2011-12-08,2011.936,764429.25
2011-12-09,2011.939,768401.19
2011-12-12,2011.947,748643.63
2011-12-13,2011.95,750715.31
2011-12-14,2011.953,734496.25
2011-12-15,2011.956,741675.19
2011-12-16,2011.958,737947.06
2011-12-19,2011.967,725169.69
2011-12-20,2011.969,745024.5
2011-12-21,2011.972,739115.69
2011-12-22,2011.975,737054.06
2011-12-23,2011.978,742770.13
2011-12-26,2011.986,751407.19
2011-12-27,2011.989,752709.13
2011-12-28,2011.992,737430.13
2011-12-29,2011.994,745364.5
2011-12-30,2011.997,732898.44
2012-01-02,2012.003,734667.56
2012-01-03,2012.006,757127.63
2012-01-04,2012.008,737414.31
2012-01-05,2012.011,733274.19
2012-01-06,2012.014,718807.5
2012-01-09,2012.022,715485.56
2012-01-10,2012.025,728261
2012-01-11,2012.028,736618.44
2012-01-12,2012.031,749548
2012-01-13,2012.033,741273.56
2012-01-16,2012.042,757408.13
2012-01-17,2012.044,766649.81
2012-01-18,2012.047,778918.56
2012-01-19,2012.05,782103.81
2012-01-20,2012.053,784601.81
2012-01-23,2012.061,787844.13
2012-01-24,2012.064,781062.19
2012-01-25,2012.067,781910.88
2012-01-26,2012.069,812027.31
2012-01-27,2012.072,819546.94
2012-01-30,2012.081,826328.81
2012-01-31,2012.083,815317.88
2012-02-01,2012.083,846893.5
2012-02-02,2012.086,857364.13
2012-02-03,2012.089,857528.56
2012-02-06,2012.097,866584.38
2012-02-07,2012.1,862857.5
2012-02-08,2012.103,871932.81
2012-02-09,2012.106,856796.94
2012-02-10,2012.108,843481.38
2012-02-13,2012.117,860956.88
2012-02-14,2012.119,848943.25
2012-02-15,2012.122,851551
2012-02-16,2012.125,853676.44
2012-02-17,2012.128,868637.63
2012-02-20,2012.136,872932.88
2012-02-21,2012.139,870024.38
2012-02-22,2012.142,862515.94
2012-02-23,2012.144,844269.44
2012-02-24,2012.147,845307.13
2012-02-27,2012.156,831733.5
2012-02-28,2012.158,848107.44
2012-02-29,2012.161,860268.13
2012-03-01,2012.167,859776.56
2012-03-02,2012.169,861478.88
2012-03-05,2012.178,842377
2012-03-06,2012.181,835126.38
2012-03-07,2012.183,839309.13
2012-03-08,2012.186,843348.19
2012-03-09,2012.189,836995.13
2012-03-12,2012.197,833488.25
2012-03-13,2012.2,838173.25
2012-03-14,2012.203,860327.06
2012-03-15,2012.206,864902.5
2012-03-16,2012.208,881505.25
2012-03-19,2012.217,884307.19
2012-03-20,2012.219,878425.5
2012-03-21,2012.222,875947.69
2012-03-22,2012.225,870693.56
2012-03-23,2012.228,865702.06
2012-03-26,2012.236,881655.56
2012-03-27,2012.239,881229.56
2012-03-28,2012.242,871419.81
2012-03-29,2012.244,866858.44
