Date,t,Close
2011-12-19,2011.967,238.11
2011-12-20,2011.969,239.11
2011-12-21,2011.972,250.95
2011-12-22,2011.975,251.02
2011-12-23,2011.978,255.74
2011-12-26,2011.986,254.84
2011-12-27,2011.989,254.71
2011-12-28,2011.992,253.88
2011-12-29,2011.994,254.41
2011-12-30,2011.997,254.27
2012-01-02,2012.003,250
2012-01-03,2012.006,254.14
2012-01-04,2012.008,255.41
2012-01-05,2012.011,257.12
2012-01-06,2012.014,256.55
2012-01-09,2012.022,255.49
2012-01-10,2012.025,258.66
2012-01-11,2012.028,259.07
2012-01-12,2012.031,259.68
2012-01-13,2012.033,260.03
2012-01-16,2012.042,256.05
2012-01-17,2012.044,260.13
2012-01-18,2012.047,260.66
2012-01-30,2012.081,267.51
2012-01-31,2012.083,270.81
2012-02-01,2012.083,270.96
2012-02-02,2012.086,274.63
2012-02-03,2012.089,275.18
2012-02-06,2012.097,275.05
2012-02-07,2012.1,275.7
2012-02-08,2012.103,281.47
2012-02-09,2012.106,282.55
2012-02-10,2012.108,279.55
2012-02-13,2012.117,280.65
2012-02-14,2012.119,279.92
2012-02-15,2012.122,284.14
2012-02-16,2012.125,279.77
2012-02-17,2012.128,280.84
2012-02-20,2012.136,282.45
2012-02-21,2012.139,281.01
2012-02-22,2012.142,283.79
2012-02-23,2012.144,281.12
2012-02-24,2012.147,282.57
2012-02-29,2012.161,289.06
2012-03-01,2012.167,287.94
2012-03-02,2012.169,288.21
2012-03-05,2012.178,282.72
2012-03-06,2012.181,281.39
2012-03-07,2012.183,279.77
2012-03-08,2012.186,282.6
2012-03-09,2012.189,283.56
2012-03-12,2012.197,280.59
2012-03-13,2012.2,285.09
2012-03-14,2012.203,288.38
2012-03-15,2012.206,288.23
2012-03-16,2012.208,285.37
2012-03-19,2012.217,286.05
2012-03-20,2012.219,283.34
2012-03-21,2012.222,284.06
2012-03-22,2012.225,286.98
2012-03-23,2012.228,287.6
2012-03-26,2012.236,282.93
2012-03-27,2012.239,286.17
2012-03-28,2012.242,286.78
