Date,t,Close
2011-10-03,2011.756,1048.7
2011-10-04,2011.758,1072.45
2011-10-05,2011.761,1091.9
2011-10-06,2011.764,1112.33
2011-10-07,2011.767,1103.11
2011-10-10,2011.775,1140.69
2011-10-11,2011.778,1141.32
2011-10-12,2011.781,1152.37
2011-10-13,2011.783,1149.48
2011-10-14,2011.786,1169.67
2011-10-17,2011.794,1146.84
2011-10-18,2011.797,1170.14
2011-10-19,2011.8,1155.14
2011-10-20,2011.803,1160.11
2011-10-21,2011.806,1182.18
2011-10-24,2011.814,1198.3
2011-10-25,2011.817,1174.18
2011-10-26,2011.819,1186.3
2011-10-27,2011.822,1226.65
2011-10-28,2011.825,1227.24
2011-10-31,2011.833,1197.16
2011-11-01,2011.833,1163.84
2011-11-02,2011.836,1182.33
2011-11-03,2011.839,1204.45
2011-11-04,2011.842,1197.65
2011-11-07,2011.85,1204.93
2011-11-08,2011.853,1218.83
2011-11-09,2011.856,1173.96
2011-11-10,2011.858,1183.57
2011-11-11,2011.861,1206.68
2011-11-14,2011.869,1195.4
2011-11-15,2011.872,1201.24
2011-11-16,2011.875,1181.44
2011-11-17,2011.878,1161.34
2011-11-18,2011.881,1160.62
2011-11-21,2011.889,1139.13
2011-11-22,2011.892,1134.46
2011-11-23,2011.894,1109.34
2011-11-25,2011.9,1106.4
2011-11-28,2011.908,1138.72
2011-11-29,2011.911,1141.26
2011-11-30,2011.914,1190.52
2011-12-01,2011.917,1188.35
2011-12-02,2011.919,1188.28
2011-12-05,2011.928,1200.38
2011-12-06,2011.931,1201.42
2011-12-07,2011.933,1203.53
2011-12-08,2011.936,1177.86
2011-12-09,2011.939,1197.69
2011-12-12,2011.947,1179.88
2011-12-13,2011.95,1169.29
2011-12-14,2011.953,1155.67
2011-12-15,2011.956,1159.5
2011-12-16,2011.958,1163.7
2011-12-19,2011.967,1149.86
2011-12-20,2011.969,1184.19
2011-12-21,2011.972,1186.41
2011-12-22,2011.975,1196.28
2011-12-23,2011.978,1206.97
2011-12-27,2011.989,1207.16
2011-12-28,2011.992,1191.8
2011-12-29,2011.994,1204.55
2011-12-30,2011.997,1199.65
2012-01-03,2012.006,1218.12
2012-01-04,2012.008,1218.44
2012-01-05,2012.011,1222.44
2012-01-06,2012.014,1219.6
2012-01-09,2012.022,1222.44
2012-01-10,2012.025,1233.54
2012-01-11,2012.028,1234.16
2012-01-12,2012.031,1237.32
2012-01-13,2012.033,1231.28
2012-01-17,2012.044,1235.64
2012-01-18,2012.047,1249.53
2012-01-19,2012.05,1255.74
2012-01-20,2012.053,1256.35
