Date,t,Close
2011-08-08,2011.603,742.67
2011-08-10,2011.608,746.8
2011-08-11,2011.611,769.83
2011-08-12,2011.614,774.44
2011-08-15,2011.622,783.6
2011-08-16,2011.625,779.32
2011-08-17,2011.628,782.78
2011-08-18,2011.631,765.09
2011-08-19,2011.633,771.6
2011-08-22,2011.642,776.16
2011-08-23,2011.644,767.19
2011-08-24,2011.647,771.23
2011-08-25,2011.65,762.09
2011-08-26,2011.653,767.4
2011-08-29,2011.661,789.42
2011-08-30,2011.664,793.99
2011-08-31,2011.667,813.22
2011-09-01,2011.667,817.37
2011-09-02,2011.669,804.48
2011-09-05,2011.678,792
2011-09-06,2011.681,782.71
2011-09-07,2011.683,806.79
2011-09-08,2011.686,816.8
2011-09-09,2011.689,806.86
2011-09-12,2011.697,790.28
2011-09-13,2011.7,792.59
2011-09-14,2011.703,802.84
2011-09-15,2011.706,814.49
2011-09-16,2011.708,814.99
2011-09-19,2011.717,814.69
2011-09-20,2011.719,822.15
2011-09-21,2011.722,823.79
2011-09-22,2011.725,802.36
2011-09-23,2011.728,785.78
2011-09-26,2011.736,780.27
2011-09-27,2011.739,804.31
2011-09-28,2011.742,798.57
2011-09-29,2011.744,778.28
2011-09-30,2011.747,786.82
2011-10-03,2011.756,791.84
2011-10-04,2011.758,768.14
2011-10-05,2011.761,770.11
2011-10-06,2011.764,775.59
2011-10-07,2011.767,787.53
2011-10-10,2011.775,797.46
2011-10-11,2011.778,795.62
2011-10-12,2011.781,803.71
2011-10-13,2011.783,797.48
2011-10-14,2011.786,800.03
2011-10-17,2011.794,803.96
2011-10-18,2011.797,803.7
2011-10-19,2011.8,808.88
2011-10-20,2011.803,795.26
2011-10-21,2011.806,807.85
2011-10-24,2011.814,811.78
2011-10-25,2011.817,820.87
2011-10-26,2011.819,820.56
2011-10-27,2011.822,835.21
2011-10-28,2011.825,849.31
2011-10-31,2011.833,837.5
2011-11-01,2011.833,825.49
2011-11-02,2011.836,839.6
2011-11-03,2011.839,843.81
2011-11-04,2011.842,833.26
2011-11-07,2011.85,851.27
2011-11-08,2011.853,852.21
2011-11-09,2011.856,838.62
2011-11-10,2011.858,840.23
2011-11-11,2011.861,840.23
2011-11-14,2011.869,843.38
2011-11-15,2011.872,849.04
2011-11-16,2011.875,851.09
2011-11-17,2011.878,846.63
2011-11-18,2011.881,829.78
2011-11-21,2011.889,813.74
2011-11-22,2011.892,819.84
2011-11-23,2011.894,811.07
2011-11-24,2011.897,821.62
2011-11-25,2011.9,814.39
2011-11-28,2011.908,832.5
2011-11-29,2011.911,825.75
2011-11-30,2011.914,859.67
2011-12-01,2011.917,855.65
2011-12-02,2011.919,851.4
2011-12-05,2011.928,857.05
2011-12-06,2011.931,852.92
2011-12-07,2011.933,854.85
2011-12-08,2011.936,856.73
2011-12-09,2011.939,855.01
2011-12-12,2011.947,843.78
2011-12-13,2011.95,841.45
2011-12-14,2011.953,827.78
2011-12-15,2011.956,831.56
2011-12-19,2011.967,827.8
2011-12-20,2011.969,827.26
2011-12-21,2011.972,824.29
2011-12-22,2011.975,830.27
2011-12-23,2011.978,838.74
2011-12-28,2011.992,838.72
2011-12-29,2011.994,837.61
2011-12-30,2011.997,838.28
2012-01-03,2012.006,851.19
2012-01-04,2012.008,852.19
2012-01-05,2012.011,842.24
2012-01-06,2012.014,851.66
2012-01-09,2012.022,851.25
2012-01-10,2012.025,853.65
2012-01-11,2012.028,848.85
2012-01-12,2012.031,851.74
2012-01-13,2012.033,848.97
2012-01-16,2012.042,856.97
2012-01-17,2012.044,865.23
2012-01-18,2012.047,868.47
2012-01-19,2012.05,870.64
2012-01-20,2012.053,869.93
2012-01-23,2012.061,871.78
2012-01-24,2012.064,866.91
2012-01-25,2012.067,860.57
2012-01-26,2012.069,872.24
2012-01-27,2012.072,871.68
2012-01-30,2012.081,865.73
2012-01-31,2012.083,872.23
2012-02-01,2012.083,881.66
2012-02-02,2012.086,886.28
2012-02-03,2012.089,883.08
2012-02-06,2012.097,875.25
2012-02-07,2012.1,874.23
2012-02-08,2012.103,878.76
2012-02-09,2012.106,884.34
2012-02-10,2012.108,875.39
2012-02-13,2012.117,880.05
2012-02-14,2012.119,880.39
2012-02-15,2012.122,880.15
2012-02-16,2012.125,870.78
2012-02-17,2012.128,877.69
2012-02-20,2012.136,878.82
2012-02-21,2012.139,878.51
2012-02-22,2012.142,876.41
2012-02-23,2012.144,881.12
2012-02-24,2012.147,887.88
2012-02-27,2012.156,877.61
2012-02-28,2012.158,888.17
2012-02-29,2012.161,892.34
2012-03-01,2012.167,893.42
2012-03-02,2012.169,891.96
2012-03-05,2012.178,887.25
2012-03-06,2012.181,870.92
2012-03-07,2012.183,874.91
2012-03-08,2012.186,878.81
2012-03-09,2012.189,885.61
2012-03-12,2012.197,882.07
2012-03-13,2012.2,885.77
2012-03-14,2012.203,890.52
2012-03-15,2012.206,887.66
2012-03-16,2012.208,882.46
2012-03-19,2012.217,880.3
2012-03-20,2012.219,877.09
2012-03-22,2012.225,870.57
2012-03-23,2012.228,873.96
2012-03-26,2012.236,873.77
2012-03-27,2012.239,884.45
2012-03-28,2012.242,878.51
2012-03-29,2012.244,874.41
2012-03-30,2012.247,875.75
2012-04-02,2012.253,883.88
2012-04-03,2012.256,889.13
2012-04-04,2012.258,866.29
2012-04-05,2012.261,874.72
2012-04-10,2012.275,871.56
2012-04-11,2012.278,872.43
2012-04-12,2012.281,872.44
2012-04-13,2012.283,871.12
2012-04-16,2012.292,869.19
