Date,t,Close
2011-11-25,2011.9,8160.01
2011-11-28,2011.908,8287.49
2011-11-29,2011.911,8477.82
2011-11-30,2011.914,8434.61
2011-12-01,2011.917,8597.38
2011-12-02,2011.919,8643.75
2011-12-05,2011.928,8695.98
2011-12-06,2011.931,8575.16
2011-12-07,2011.933,8722.17
2011-12-08,2011.936,8664.58
2011-12-09,2011.939,8536.46
2011-12-12,2011.947,8653.82
2011-12-13,2011.95,8552.81
2011-12-14,2011.953,8519.13
2011-12-15,2011.956,8377.37
2011-12-16,2011.958,8401.72
2011-12-19,2011.967,8296.12
2011-12-20,2011.969,8336.48
2011-12-21,2011.972,8459.98
2011-12-22,2011.975,8395.16
2011-12-26,2011.986,8479.34
2011-12-27,2011.989,8440.56
2011-12-28,2011.992,8423.62
2011-12-29,2011.994,8398.89
2011-12-30,2011.997,8455.35
2012-01-04,2012.008,8560.11
2012-01-05,2012.011,8488.71
2012-01-06,2012.014,8390.35
2012-01-10,2012.025,8422.26
2012-01-11,2012.028,8447.88
2012-01-12,2012.031,8385.59
2012-01-13,2012.033,8500.02
2012-01-16,2012.042,8378.36
2012-01-17,2012.044,8466.4
2012-01-18,2012.047,8550.58
2012-01-19,2012.05,8639.68
2012-01-20,2012.053,8766.36
2012-01-23,2012.061,8765.9
2012-01-24,2012.064,8785.33
2012-01-25,2012.067,8883.69
2012-01-26,2012.069,8849.47
2012-01-27,2012.072,8841.22
2012-01-30,2012.081,8793.05
2012-01-31,2012.083,8802.51
2012-02-01,2012.083,8809.79
2012-02-02,2012.086,8876.82
2012-02-03,2012.089,8831.93
2012-02-06,2012.097,8929.2
2012-02-07,2012.1,8917.52
2012-02-08,2012.103,9015.59
2012-02-09,2012.106,9002.24
2012-02-10,2012.108,8947.17
2012-02-13,2012.117,8999.18
2012-02-14,2012.119,9052.07
2012-02-15,2012.122,9260.34
2012-02-16,2012.125,9238.1
2012-02-17,2012.128,9384.17
2012-02-20,2012.136,9485.09
2012-02-21,2012.139,9463.02
2012-02-22,2012.142,9554
2012-02-23,2012.144,9595.57
2012-02-24,2012.147,9647.38
2012-02-27,2012.156,9633.93
2012-02-28,2012.158,9722.52
2012-02-29,2012.161,9723.24
2012-03-01,2012.167,9707.37
2012-03-02,2012.169,9777.03
2012-03-05,2012.178,9698.59
2012-03-06,2012.181,9637.63
2012-03-07,2012.183,9576.06
2012-03-08,2012.186,9768.96
2012-03-09,2012.189,9929.74
2012-03-12,2012.197,9889.86
2012-03-13,2012.2,9899.08
2012-03-14,2012.203,10050.52
2012-03-15,2012.206,10123.28
2012-03-16,2012.208,10129.83
2012-03-19,2012.217,10141.99
2012-03-21,2012.222,10086.49
2012-03-22,2012.225,10127.08
2012-03-23,2012.228,10011.47
2012-03-26,2012.236,10018.24
2012-03-27,2012.239,10255.15
2012-03-28,2012.242,10182.57
2012-03-29,2012.244,10114.79
2012-03-30,2012.247,10083.56
2012-04-02,2012.253,10109.87
2012-04-03,2012.256,10050.39
2012-04-04,2012.258,9819.99
2012-04-05,2012.261,9767.61
2012-04-06,2012.264,9688.45
2012-04-09,2012.272,9546.26
2012-04-10,2012.275,9538.02
2012-04-11,2012.278,9458.74
2012-04-12,2012.281,9524.79
2012-04-13,2012.283,9637.99
2012-04-16,2012.292,9470.64
2012-04-17,2012.294,9464.71
2012-04-18,2012.297,9667.26
2012-04-19,2012.3,9588.38
2012-04-20,2012.303,9561.36
2012-04-23,2012.311,9542.17
2012-04-24,2012.314,9468.04
2012-04-25,2012.317,9561.01
2012-04-26,2012.319,9561.83
2012-04-27,2012.322,9520.89
2012-05-01,2012.333,9350.95
2012-05-02,2012.336,9380.25
2012-05-07,2012.35,9119.14
2012-05-08,2012.353,9181.65
2012-05-09,2012.356,9045.06
2012-05-10,2012.358,9009.65
2012-05-11,2012.361,8953.31
2012-05-14,2012.369,8973.84
2012-05-15,2012.372,8900.74
