Date,t,Close
2011-10-03,2011.756,134.52
2011-10-04,2011.758,143.14
2011-10-05,2011.761,145.51
2011-10-06,2011.764,147.34
2011-10-07,2011.767,145.69
2011-10-10,2011.775,150.66
2011-10-11,2011.778,152.59
2011-10-12,2011.781,155.51
2011-10-13,2011.783,153.83
2011-10-14,2011.786,157.25
2011-10-17,2011.794,153.33
2011-10-18,2011.797,157.27
2011-10-19,2011.8,157.55
2011-10-20,2011.803,158.56
2011-10-21,2011.806,161.47
2011-10-24,2011.814,165.96
2011-10-25,2011.817,161.27
2011-10-26,2011.819,164
2011-10-27,2011.822,170.37
2011-10-28,2011.825,175.22
2011-10-31,2011.833,170.68
2011-11-01,2011.833,163.76
2011-11-02,2011.836,166.65
2011-11-03,2011.839,171.67
2011-11-04,2011.842,170.88
2011-11-07,2011.85,170.64
2011-11-08,2011.853,172.29
2011-11-09,2011.856,165.24
2011-11-10,2011.858,167.32
2011-11-11,2011.861,170.8
2011-11-14,2011.869,167.85
2011-11-15,2011.872,168.26
2011-11-16,2011.875,165.42
2011-11-17,2011.878,162
2011-11-18,2011.881,159.94
2011-11-21,2011.889,158.07
2011-11-22,2011.892,157.21
2011-11-23,2011.894,152.19
2011-11-25,2011.9,152.99
2011-11-28,2011.908,157.6
2011-11-29,2011.911,159
2011-11-30,2011.914,166.52
2011-12-01,2011.917,168.96
2011-12-02,2011.919,169.48
2011-12-05,2011.928,172.76
2011-12-06,2011.931,171.07
2011-12-07,2011.933,171.51
2011-12-08,2011.936,166.84
2011-12-09,2011.939,171.53
2011-12-12,2011.947,168.59
2011-12-13,2011.95,166.4
2011-12-14,2011.953,161.51
2011-12-15,2011.956,161.86
2011-12-16,2011.958,159.98
2011-12-19,2011.967,159.18
2011-12-20,2011.969,164.6
2011-12-21,2011.972,165.28
2011-12-22,2011.975,167.9
2011-12-23,2011.978,170.09
2011-12-27,2011.989,170.43
2011-12-28,2011.992,167.52
2011-12-29,2011.994,171.1
2011-12-30,2011.997,172.17
2012-01-03,2012.006,175.39
2012-01-04,2012.008,174.71
2012-01-05,2012.011,173.46
2012-01-06,2012.014,173.48
2012-01-09,2012.022,174.5
2012-01-10,2012.025,178.28
2012-01-11,2012.028,176.95
2012-01-12,2012.031,179.89
2012-01-13,2012.033,181.28
2012-01-17,2012.044,182.4
2012-01-18,2012.047,183.34
2012-01-19,2012.05,185.42
2012-01-20,2012.053,181.94
2012-01-23,2012.061,180.08
2012-01-24,2012.064,180.06
2012-01-25,2012.067,181.63
2012-01-26,2012.069,180.74
2012-01-27,2012.072,179.88
2012-01-30,2012.081,180.33
2012-01-31,2012.083,177.92
2012-02-01,2012.083,182.22
2012-02-02,2012.086,180.74
2012-02-03,2012.089,184.9
2012-02-06,2012.097,185.53
2012-02-07,2012.1,185.74
2012-02-08,2012.103,185.62
2012-02-09,2012.106,186.7
2012-02-10,2012.108,185.33
2012-02-13,2012.117,186.73
2012-02-14,2012.119,186.44
2012-02-15,2012.122,185.32
2012-02-16,2012.125,187.78
2012-02-17,2012.128,188.24
2012-02-21,2012.139,189.54
2012-02-22,2012.142,188.18
2012-02-23,2012.144,189.67
2012-02-24,2012.147,192.51
2012-02-27,2012.156,193.39
2012-02-28,2012.158,193.74
2012-02-29,2012.161,195.34
2012-03-01,2012.167,193.03
2012-03-02,2012.169,191.54
2012-03-05,2012.178,192.2
2012-03-06,2012.181,188.85
2012-03-07,2012.183,189.53
2012-03-08,2012.186,194.02
2012-03-09,2012.189,193.03
2012-03-12,2012.197,193.42
2012-03-13,2012.2,195.67
2012-03-14,2012.203,195.13
2012-03-15,2012.206,196.96
2012-03-16,2012.208,197.33
2012-03-19,2012.217,198.27
2012-03-20,2012.219,196.21
2012-03-21,2012.222,195.71
2012-03-22,2012.225,195.99
2012-03-23,2012.228,195.81
2012-03-26,2012.236,198.84
2012-03-27,2012.239,199.3
2012-03-28,2012.242,197.16
2012-03-29,2012.244,196.02
2012-03-30,2012.247,197.33
2012-04-02,2012.253,194.06
2012-04-03,2012.256,193.68
2012-04-04,2012.258,190.96
2012-04-05,2012.261,191.59
2012-04-09,2012.272,188.01
