Date,t,Close
2011-08-19,2011.633,321.73
2011-08-22,2011.642,323.74
2011-08-23,2011.644,334.88
2011-08-24,2011.647,341.65
2011-08-25,2011.65,337.04
2011-08-26,2011.653,343.64
2011-08-29,2011.661,353.7
2011-08-30,2011.664,356.94
2011-08-31,2011.667,359.25
2011-09-01,2011.667,353.08
2011-09-02,2011.669,342.42
2011-09-06,2011.681,339.32
2011-09-07,2011.683,350.33
2011-09-08,2011.686,345.29
2011-09-09,2011.689,337.64
2011-09-12,2011.697,339.34
2011-09-13,2011.7,343.28
2011-09-14,2011.703,347.97
2011-09-15,2011.706,355.83
2011-09-16,2011.708,360.27
2011-09-19,2011.717,359.99
2011-09-20,2011.719,358.94
2011-09-21,2011.722,346.85
2011-09-22,2011.725,333.48
2011-09-23,2011.728,336.69
2011-09-26,2011.736,346.6
2011-09-27,2011.739,352.91
2011-09-28,2011.742,347
2011-09-29,2011.744,349.33
2011-09-30,2011.747,341.8
2011-10-03,2011.756,332.39
2011-10-04,2011.758,337.13
2011-10-05,2011.761,340.9
2011-10-06,2011.764,346.86
2011-10-07,2011.767,349.11
2011-10-10,2011.775,359.78
2011-10-11,2011.778,360.5
2011-10-12,2011.781,363.72
2011-10-13,2011.783,360.51
2011-10-14,2011.786,364.46
2011-10-17,2011.794,354.98
2011-10-18,2011.797,363.72
2011-10-19,2011.8,360.77
2011-10-20,2011.803,361.28
2011-10-21,2011.806,371.76
2011-10-24,2011.814,375.46
2011-10-25,2011.817,370.56
2011-10-26,2011.819,372.13
2011-10-27,2011.822,381.21
2011-10-28,2011.825,381.19
2011-10-31,2011.833,375.49
2011-11-01,2011.833,363.12
2011-11-02,2011.836,369.19
2011-11-03,2011.839,378.15
2011-11-04,2011.842,376.94
2011-11-07,2011.85,380.33
2011-11-08,2011.853,383.32
2011-11-09,2011.856,372.17
2011-11-10,2011.858,375.23
2011-11-11,2011.861,384.1
2011-11-14,2011.869,382.86
2011-11-15,2011.872,384.28
2011-11-16,2011.875,376.25
2011-11-17,2011.878,370.34
2011-11-18,2011.881,372.85
2011-11-21,2011.889,364.96
2011-11-22,2011.892,361.54
2011-11-23,2011.894,352
2011-11-25,2011.9,353.83
2011-11-28,2011.908,366.05
2011-11-29,2011.911,365.42
2011-11-30,2011.914,380.24
2011-12-01,2011.917,382.85
2011-12-02,2011.919,381.49
2011-12-05,2011.928,382.91
2011-12-06,2011.931,381.75
2011-12-07,2011.933,380.66
2011-12-08,2011.936,373.34
2011-12-09,2011.939,380.93
2011-12-12,2011.947,374.64
2011-12-13,2011.95,372.38
2011-12-14,2011.953,368.73
2011-12-15,2011.956,371.79
2011-12-16,2011.958,371.81
2011-12-19,2011.967,368.53
2011-12-20,2011.969,380.93
2011-12-21,2011.972,381.63
2011-12-22,2011.975,384.78
2011-12-23,2011.978,386.47
2011-12-27,2011.989,386.98
2011-12-28,2011.992,382.6
2011-12-29,2011.994,386.95
2011-12-30,2011.997,383.69
2012-01-03,2012.006,389.82
2012-01-04,2012.008,390.23
2012-01-05,2012.011,387.68
2012-01-06,2012.014,387.36
2012-01-09,2012.022,389.21
2012-01-10,2012.025,395.7
2012-01-11,2012.028,396.58
2012-01-12,2012.031,399.96
2012-01-13,2012.033,395.81
2012-01-17,2012.044,399.54
2012-01-18,2012.047,402.05
2012-01-19,2012.05,404.84
2012-01-20,2012.053,402.81
2012-01-23,2012.061,402.18
2012-01-24,2012.064,402.29
2012-01-25,2012.067,404.48
2012-01-26,2012.069,401.55
2012-01-27,2012.072,400.18
2012-01-30,2012.081,398.37
2012-01-31,2012.083,399.14
2012-02-01,2012.083,405.53
2012-02-02,2012.086,404.66
2012-02-03,2012.089,411.03
2012-02-06,2012.097,409.38
2012-02-07,2012.1,409.71
2012-02-08,2012.103,413.02
2012-02-09,2012.106,415.3
2012-02-10,2012.108,412.33
2012-02-13,2012.117,416.42
2012-02-14,2012.119,416.48
2012-02-15,2012.122,410.89
2012-02-16,2012.125,411.93
2012-02-17,2012.128,414.89
2012-02-21,2012.139,414.97
2012-02-22,2012.142,414.94
2012-02-23,2012.144,413.8
2012-02-24,2012.147,416.69
2012-02-27,2012.156,415.73
2012-02-28,2012.158,415.28
2012-02-29,2012.161,415.26
2012-03-01,2012.167,416.68
2012-03-02,2012.169,415.83
2012-03-05,2012.178,412.9
2012-03-06,2012.181,405.24
2012-03-07,2012.183,408.13
2012-03-08,2012.186,414.27
2012-03-09,2012.189,414.51
2012-03-12,2012.197,414.66
2012-03-13,2012.2,422
2012-03-14,2012.203,423.69
2012-03-15,2012.206,424.19
2012-03-16,2012.208,421.23
2012-03-19,2012.217,420.49
2012-03-20,2012.219,415.82
2012-03-21,2012.222,414.85
2012-03-22,2012.225,412.9
2012-03-23,2012.228,413.92
2012-03-26,2012.236,421.48
2012-03-27,2012.239,419.8
2012-03-28,2012.242,415.44
2012-03-29,2012.244,415.9
2012-03-30,2012.247,417.85
2012-04-02,2012.253,420.34
2012-04-03,2012.256,417.6
2012-04-04,2012.258,414.62
2012-04-05,2012.261,412.01
2012-04-09,2012.272,405.37
2012-04-10,2012.275,397.69
2012-04-11,2012.278,402.54
2012-04-12,2012.281,410.42
2012-04-13,2012.283,406.14
2012-04-16,2012.292,406.46
2012-04-17,2012.294,412.57
2012-04-18,2012.297,411.36
2012-04-19,2012.3,407.43
2012-04-20,2012.303,411.5
2012-04-23,2012.311,407.82
2012-04-24,2012.314,410.5
2012-04-25,2012.317,414.03
2012-04-26,2012.319,417.43
2012-04-27,2012.322,419.58
2012-04-30,2012.331,417.37
2012-05-01,2012.333,418.16
2012-05-02,2012.336,418.02
2012-05-03,2012.339,415.56
2012-05-04,2012.342,409.02
2012-05-07,2012.35,408.33
2012-05-08,2012.353,407.07
2012-05-09,2012.356,400.27
2012-05-10,2012.358,400.45
2012-05-11,2012.361,399.33
2012-05-14,2012.369,396.58
2012-05-15,2012.372,394.25
2012-05-16,2012.375,390.9
2012-05-17,2012.378,382.78
2012-05-18,2012.381,380.63
2012-05-21,2012.389,389.25
2012-05-22,2012.392,389.38
2012-05-23,2012.394,389.62
2012-05-24,2012.397,387.46
2012-05-25,2012.4,384.01
2012-05-29,2012.411,389.02
2012-05-30,2012.414,384.54
2012-05-31,2012.417,384.72
2012-06-01,2012.417,374.8
2012-06-04,2012.425,372.64
2012-06-05,2012.428,372.52
2012-06-06,2012.431,381.89
2012-06-07,2012.433,386.78
2012-06-08,2012.436,388.15
2012-06-11,2012.444,385.25
2012-06-12,2012.447,390.69
2012-06-13,2012.45,386.86
2012-06-14,2012.453,389.2
2012-06-15,2012.456,391.6
2012-06-18,2012.464,393.43
2012-06-19,2012.467,397.96
2012-06-20,2012.469,396.67
2012-06-21,2012.472,390.4
2012-06-22,2012.475,392.17
2012-06-25,2012.483,385.66
2012-06-26,2012.486,383.92
2012-06-27,2012.489,388.39
2012-06-28,2012.492,384.54
2012-06-29,2012.494,398.59
2012-07-02,2012.503,396.11
2012-07-03,2012.506,399.56
2012-07-05,2012.511,398.92
2012-07-06,2012.514,393.77
2012-07-09,2012.522,394.92
2012-07-10,2012.525,391.33
2012-07-11,2012.528,386.09
