Date,t,Close
2011-10-03,2011.756,417.59
2011-10-04,2011.758,425.37
2011-10-05,2011.761,435.05
2011-10-06,2011.764,447.84
2011-10-07,2011.767,439.89
2011-10-10,2011.775,449.57
2011-10-11,2011.778,455.62
2011-10-12,2011.781,468.06
2011-10-13,2011.783,468.58
2011-10-14,2011.786,479.64
2011-10-17,2011.794,467.02
2011-10-18,2011.797,482.41
2011-10-19,2011.8,473.94
2011-10-20,2011.803,479.99
2011-10-21,2011.806,494.16
2011-10-24,2011.814,500.21
2011-10-25,2011.817,486.56
2011-10-26,2011.819,499.52
2011-10-27,2011.822,521.99
2011-10-28,2011.825,524.41
2011-10-31,2011.833,500.21
2011-11-01,2011.833,479.47
2011-11-02,2011.836,493.3
2011-11-03,2011.839,507.64
2011-11-04,2011.842,502.11
2011-11-07,2011.85,507.99
2011-11-08,2011.853,515.94
2011-11-09,2011.856,492.95
2011-11-10,2011.858,499.17
2011-11-11,2011.861,513.17
2011-11-14,2011.869,514.73
2011-11-15,2011.872,512.31
2011-11-16,2011.875,500.21
2011-11-17,2011.878,496.23
2011-11-18,2011.881,499.52
2011-11-21,2011.889,488.97
2011-11-22,2011.892,491.05
2011-11-23,2011.894,480.33
2011-11-25,2011.9,482.23
2011-11-28,2011.908,499.52
2011-11-29,2011.911,502.28
2011-11-30,2011.914,520.61
2011-12-01,2011.917,522.33
2011-12-02,2011.919,518.36
2011-12-05,2011.928,517.84
2011-12-06,2011.931,511.62
2011-12-07,2011.933,510.75
2011-12-08,2011.936,496.75
2011-12-09,2011.939,503.32
2011-12-12,2011.947,489.84
2011-12-13,2011.95,481.2
2011-12-14,2011.953,474.11
2011-12-15,2011.956,483.27
2011-12-16,2011.958,478.78
2011-12-19,2011.967,471.34
2011-12-20,2011.969,490.01
2011-12-21,2011.972,495.54
2011-12-22,2011.975,496.06
2011-12-23,2011.978,502.28
2011-12-27,2011.989,501.94
2011-12-28,2011.992,490.36
2011-12-29,2011.994,496.75
2011-12-30,2011.997,494.33
2012-01-03,2012.006,499.35
2012-01-04,2012.008,507.64
2012-01-05,2012.011,505.4
2012-01-06,2012.014,502.46
2012-01-09,2012.022,500.04
2012-01-10,2012.025,497.44
2012-01-11,2012.028,500.04
2012-01-12,2012.031,503.67
2012-01-13,2012.033,504.19
2012-01-17,2012.044,497.44
2012-01-18,2012.047,505.05
2012-01-19,2012.05,508.51
2012-01-20,2012.053,519.22
2012-01-23,2012.061,516.63
2012-01-24,2012.064,515.42
2012-01-25,2012.067,519.91
2012-01-26,2012.069,515.77
2012-01-27,2012.072,515.42
2012-01-30,2012.081,513.52
2012-01-31,2012.083,494.85
2012-02-01,2012.083,504.53
2012-02-02,2012.086,504.19
2012-02-03,2012.089,510.75
2012-02-06,2012.097,511.62
2012-02-07,2012.1,515.07
2012-02-08,2012.103,525.79
2012-02-09,2012.106,531.49
2012-02-10,2012.108,528.38
2012-02-13,2012.117,534.61
2012-02-14,2012.119,538.41
2012-02-15,2012.122,536.51
2012-02-16,2012.125,539.79
2012-02-17,2012.128,541.87
2012-02-21,2012.139,542.21
2012-02-22,2012.142,545.32
2012-02-23,2012.144,548.61
2012-02-24,2012.147,552.41
2012-02-27,2012.156,548.09
2012-02-28,2012.158,545.84
2012-02-29,2012.161,539.27
2012-03-01,2012.167,544.8
2012-03-02,2012.169,546.88
2012-03-05,2012.178,547.05
2012-03-06,2012.181,525.27
2012-03-07,2012.183,536.68
2012-03-08,2012.186,537.72
2012-03-09,2012.189,538.06
2012-03-12,2012.197,541.52
2012-03-13,2012.2,555.87
2012-03-14,2012.203,547.05
2012-03-15,2012.206,549.99
2012-03-16,2012.208,549.64
2012-03-19,2012.217,547.74
2012-03-20,2012.219,550.85
2012-03-21,2012.222,551.89
2012-03-22,2012.225,548.61
2012-03-23,2012.228,550.68
2012-03-26,2012.236,553.79
2012-03-27,2012.239,550.85
2012-03-28,2012.242,540.48
2012-03-29,2012.244,540.31
2012-03-30,2012.247,547.22
2012-04-02,2012.253,558.8
2012-04-03,2012.256,552.75
2012-04-04,2012.258,543.25
2012-04-05,2012.261,541.35
2012-04-09,2012.272,533.05
2012-04-10,2012.275,532.7
2012-04-11,2012.278,535.64
2012-04-12,2012.281,537.54
2012-04-13,2012.283,531.49
2012-04-16,2012.292,532.19
2012-04-17,2012.294,539.27
2012-04-18,2012.297,534.61
2012-04-19,2012.3,529.94
2012-04-20,2012.303,530.8
2012-04-23,2012.311,525.79
2012-04-24,2012.314,534.78
2012-04-25,2012.317,533.91
2012-04-26,2012.319,536.33
2012-04-27,2012.322,537.2
2012-04-30,2012.331,532.88
2012-05-01,2012.333,570.73
2012-05-02,2012.336,569.52
2012-05-03,2012.339,562.78
2012-05-04,2012.342,557.42
2012-05-07,2012.35,563.3
2012-05-08,2012.353,570.04
2012-05-09,2012.356,564.51
2012-05-10,2012.358,579.03
2012-05-11,2012.361,567.79
2012-05-14,2012.369,571.25
2012-05-15,2012.372,561.22
2012-05-16,2012.375,558.29
2012-05-17,2012.378,556.73
2012-05-18,2012.381,549.99
2012-05-21,2012.389,556.04
2012-05-22,2012.392,555.87
2012-05-23,2012.394,551.72
2012-05-24,2012.397,554.83
2012-05-25,2012.4,557.42
2012-05-29,2012.411,561.74
2012-05-30,2012.414,555.69
2012-05-31,2012.417,551.03
2012-06-01,2012.417,534.43
2012-06-04,2012.425,533.74
2012-06-05,2012.428,541.17
2012-06-06,2012.431,556.38
2012-06-07,2012.433,555.35
2012-06-08,2012.436,550.51
2012-06-11,2012.444,547.74
2012-06-12,2012.447,551.89
2012-06-13,2012.45,540.31
2012-06-14,2012.453,540.31
2012-06-15,2012.456,543.59
2012-06-18,2012.464,540.83
2012-06-19,2012.467,521.12
2012-06-20,2012.469,516.46
2012-06-21,2012.472,507.81
2012-06-22,2012.475,506.09
2012-06-25,2012.483,497.62
2012-06-26,2012.486,494.85
2012-06-27,2012.489,499
2012-06-28,2012.492,503.67
2012-06-29,2012.494,510.23
2012-07-02,2012.503,501.94
2012-07-03,2012.506,501.07
2012-07-05,2012.511,492.6
2012-07-06,2012.514,490.7
2012-07-09,2012.522,476.18
2012-07-10,2012.525,476.53
2012-07-11,2012.528,478.09
2012-07-12,2012.531,472.04
2012-07-13,2012.533,473.42
2012-07-16,2012.542,465.12
2012-07-17,2012.544,471
2012-07-18,2012.547,477.05
2012-07-19,2012.55,471.69
2012-07-20,2012.553,466.68
2012-07-23,2012.561,464.43
2012-07-24,2012.564,461.32
2012-07-25,2012.567,461.67
2012-07-26,2012.569,469.79
2012-07-27,2012.572,476.01
2012-07-30,2012.581,475.15
2012-07-31,2012.583,450.95
2012-08-01,2012.583,443.86
2012-08-02,2012.586,434.36
2012-08-03,2012.589,441.44
2012-08-06,2012.597,443
2012-08-07,2012.6,444.38
2012-08-08,2012.603,457.69
2012-08-09,2012.606,457.52
2012-08-10,2012.608,448.36
2012-08-13,2012.617,448.18
2012-08-14,2012.619,446.28
2012-08-15,2012.622,453.71
2012-08-16,2012.625,454.92
2012-08-17,2012.628,452.33
2012-08-20,2012.636,458.21
2012-08-21,2012.639,454.92
