Date,t,Close
2011-10-03,2011.756,335.68
2011-10-04,2011.758,345.95
2011-10-05,2011.761,356.06
2011-10-06,2011.764,362.46
2011-10-07,2011.767,359.98
2011-10-10,2011.775,370.16
2011-10-11,2011.778,370.8
2011-10-12,2011.781,373.78
2011-10-13,2011.783,370.45
2011-10-14,2011.786,376.44
2011-10-17,2011.794,370.05
2011-10-18,2011.797,377.56
2011-10-19,2011.8,375.12
2011-10-20,2011.803,378.16
2011-10-21,2011.806,385.49
2011-10-24,2011.814,391.94
2011-10-25,2011.817,384.38
2011-10-26,2011.819,381.33
2011-10-27,2011.822,394.54
2011-10-28,2011.825,393.92
2011-10-31,2011.833,385.62
2011-11-01,2011.833,375.27
2011-11-02,2011.836,379.11
2011-11-03,2011.839,386.12
2011-11-04,2011.842,383.62
2011-11-07,2011.85,385.28
2011-11-08,2011.853,391.92
2011-11-09,2011.856,376.56
2011-11-10,2011.858,380.95
2011-11-11,2011.861,387.38
2011-11-14,2011.869,384.21
2011-11-15,2011.872,386.86
2011-11-16,2011.875,379.86
2011-11-17,2011.878,375.63
2011-11-18,2011.881,377.55
2011-11-21,2011.889,371.86
2011-11-22,2011.892,368.94
2011-11-23,2011.894,362.17
2011-11-25,2011.9,360.13
2011-11-28,2011.908,370.92
2011-11-29,2011.911,370.89
2011-11-30,2011.914,389.88
2011-12-01,2011.917,385.36
2011-12-02,2011.919,385.39
2011-12-05,2011.928,390.7
2011-12-06,2011.931,388.93
2011-12-07,2011.933,395.23
2011-12-08,2011.936,387.6
2011-12-09,2011.939,391.04
2011-12-12,2011.947,386.49
2011-12-13,2011.95,380.09
2011-12-14,2011.953,376.5
2011-12-15,2011.956,386.42
2011-12-16,2011.958,388.55
2011-12-19,2011.967,380.26
2011-12-20,2011.969,391.02
2011-12-21,2011.972,391.03
2011-12-22,2011.975,393.94
2011-12-23,2011.978,396.52
2011-12-27,2011.989,397.09
2011-12-28,2011.992,391.39
2011-12-29,2011.994,396.15
2011-12-30,2011.997,393.9
2012-01-03,2012.006,399.1
2012-01-04,2012.008,397.27
2012-01-05,2012.011,393.25
2012-01-06,2012.014,396.45
2012-01-09,2012.022,396.56
2012-01-10,2012.025,402.24
2012-01-11,2012.028,404.46
2012-01-12,2012.031,406.38
2012-01-13,2012.033,403.9
2012-01-17,2012.044,403.4
2012-01-18,2012.047,407.96
2012-01-19,2012.05,412.9
2012-01-20,2012.053,411.01
2012-01-23,2012.061,409.61
2012-01-24,2012.064,408.4
2012-01-25,2012.067,412.87
2012-01-26,2012.069,414.83
2012-01-27,2012.072,415.02
2012-01-30,2012.081,414.22
2012-01-31,2012.083,412.49
2012-02-01,2012.083,414.41
2012-02-02,2012.086,412.72
2012-02-03,2012.089,416.64
2012-02-06,2012.097,417.12
2012-02-07,2012.1,417.44
2012-02-08,2012.103,415.48
2012-02-09,2012.106,415.01
2012-02-10,2012.108,415.82
2012-02-13,2012.117,420.33
2012-02-14,2012.119,419.03
2012-02-15,2012.122,414.38
2012-02-16,2012.125,418.39
2012-02-17,2012.128,415.94
2012-02-21,2012.139,412.46
2012-02-22,2012.142,410.31
2012-02-23,2012.144,414.88
2012-02-24,2012.147,412.08
2012-02-27,2012.156,413.84
2012-02-28,2012.158,413.29
2012-02-29,2012.161,412.71
2012-03-01,2012.167,414.74
2012-03-02,2012.169,412.93
2012-03-05,2012.178,411.5
2012-03-06,2012.181,406.45
2012-03-07,2012.183,408.85
2012-03-08,2012.186,413.14
2012-03-09,2012.189,416.1
2012-03-12,2012.197,416.9
2012-03-13,2012.2,421.67
2012-03-14,2012.203,419.37
2012-03-15,2012.206,424.48
2012-03-16,2012.208,423.55
2012-03-19,2012.217,433.06
2012-03-20,2012.219,429.27
2012-03-21,2012.222,432.4
2012-03-22,2012.225,427.43
2012-03-23,2012.228,425.31
2012-03-26,2012.236,429.4
2012-03-27,2012.239,427.75
2012-03-28,2012.242,425.88
2012-03-29,2012.244,425.29
2012-03-30,2012.247,428.91
2012-04-02,2012.253,429.27
2012-04-03,2012.256,427.69
2012-04-04,2012.258,424.68
2012-04-05,2012.261,425.44
2012-04-09,2012.272,418.94
2012-04-10,2012.275,413.27
2012-04-11,2012.278,417.18
2012-04-12,2012.281,422.23
2012-04-13,2012.283,420.09
2012-04-16,2012.292,420.4
2012-04-17,2012.294,426.37
2012-04-18,2012.297,427.24
2012-04-19,2012.3,423.19
2012-04-20,2012.303,422.32
2012-04-23,2012.311,415.37
2012-04-24,2012.314,418.03
2012-04-25,2012.317,414.9
2012-04-26,2012.319,408.33
2012-04-27,2012.322,409.25
2012-04-30,2012.331,408.75
2012-05-01,2012.333,411.7
2012-05-02,2012.336,412.78
2012-05-03,2012.339,410.11
2012-05-04,2012.342,408.67
2012-05-07,2012.35,409.41
2012-05-08,2012.353,408.33
2012-05-09,2012.356,403.88
2012-05-10,2012.358,401.67
2012-05-11,2012.361,402.41
2012-05-14,2012.369,401.31
2012-05-15,2012.372,400.69
2012-05-16,2012.375,400.13
2012-05-17,2012.378,394.58
2012-05-18,2012.381,389.66
2012-05-21,2012.389,394.59
2012-05-22,2012.392,395.18
2012-05-23,2012.394,398.68
2012-05-24,2012.397,400.19
2012-05-25,2012.4,398.36
2012-05-29,2012.411,403.04
2012-05-30,2012.414,396.26
2012-05-31,2012.417,397.26
2012-06-01,2012.417,386.32
2012-06-04,2012.425,385.45
2012-06-05,2012.428,384.06
2012-06-06,2012.431,395.52
2012-06-07,2012.433,395.88
2012-06-08,2012.436,401.68
2012-06-11,2012.444,397.11
2012-06-12,2012.447,400.18
2012-06-13,2012.45,398.34
2012-06-14,2012.453,403.47
2012-06-15,2012.456,405.1
2012-06-18,2012.464,407.22
2012-06-19,2012.467,411.99
2012-06-20,2012.469,411.84
2012-06-21,2012.472,405.92
2012-06-22,2012.475,407.59
2012-06-25,2012.483,400.53
2012-06-26,2012.486,398.48
2012-06-27,2012.489,400.56
2012-06-28,2012.492,402.31
2012-06-29,2012.494,412.78
2012-07-02,2012.503,413.79
2012-07-03,2012.506,418.33
2012-07-05,2012.511,419.03
2012-07-06,2012.514,415.16
2012-07-09,2012.522,413.93
2012-07-10,2012.525,410.63
2012-07-11,2012.528,411.37
2012-07-12,2012.531,408.73
2012-07-13,2012.533,415.97
2012-07-16,2012.542,413.54
2012-07-17,2012.544,412.91
2012-07-18,2012.547,418.84
2012-07-19,2012.55,418.31
2012-07-20,2012.553,408.1
2012-07-23,2012.561,405.54
2012-07-24,2012.564,391.55
2012-07-25,2012.567,387.85
2012-07-26,2012.569,391.37
2012-07-27,2012.572,398.33
2012-07-30,2012.581,399.06
2012-07-31,2012.583,395.78
2012-08-01,2012.583,392.51
2012-08-02,2012.586,391.15
2012-08-03,2012.589,396.54
2012-08-06,2012.597,396.38
2012-08-07,2012.6,397.38
2012-08-08,2012.603,396.46
2012-08-09,2012.606,396.51
2012-08-10,2012.608,396.9
2012-08-13,2012.617,396.77
2012-08-14,2012.619,397.08
2012-08-15,2012.622,401.11
2012-08-16,2012.625,401.71
2012-08-17,2012.628,402.56
2012-08-20,2012.636,402.74
