Date,t,Close
2011-10-03,2011.756,70.02
2011-10-04,2011.758,71.45
2011-10-05,2011.761,72.12
2011-10-06,2011.764,74.88
2011-10-07,2011.767,73.26
2011-10-10,2011.775,75.93
2011-10-11,2011.778,77.64
2011-10-12,2011.781,79.36
2011-10-13,2011.783,82.02
2011-10-14,2011.786,82.02
2011-10-17,2011.794,82.02
2011-10-18,2011.797,84.02
2011-10-19,2011.8,82.98
2011-10-20,2011.803,86.69
2011-10-21,2011.806,84.5
2011-10-24,2011.814,86.31
2011-10-25,2011.817,83.07
2011-10-26,2011.819,82.21
2011-10-27,2011.822,84.31
2011-10-28,2011.825,83.64
2011-10-31,2011.833,81.45
2011-11-01,2011.833,80.59
2011-11-02,2011.836,80.78
2011-11-03,2011.839,81.83
2011-11-04,2011.842,81.26
2011-11-07,2011.85,80.21
2011-11-08,2011.853,80.69
2011-11-09,2011.856,77.83
2011-11-10,2011.858,77.26
2011-11-11,2011.861,78.21
2011-11-14,2011.869,78.02
2011-11-15,2011.872,78.12
2011-11-16,2011.875,76.69
2011-11-17,2011.878,74.12
2011-11-18,2011.881,74.4
2011-11-21,2011.889,73.64
2011-11-22,2011.892,72.88
2011-11-23,2011.894,70.5
2011-11-25,2011.9,71.45
2011-11-28,2011.908,74.97
2011-11-29,2011.911,75.55
2011-11-30,2011.914,79.83
2011-12-01,2011.917,79.36
2011-12-02,2011.919,78.88
2011-12-05,2011.928,80.69
2011-12-06,2011.931,81.36
2011-12-07,2011.933,81.74
2011-12-08,2011.936,78.78
2011-12-09,2011.939,80.4
2011-12-12,2011.947,80.31
2011-12-13,2011.95,77.74
2011-12-14,2011.953,77.83
2011-12-15,2011.956,80.21
2011-12-16,2011.958,82.98
2011-12-19,2011.967,79.07
2011-12-20,2011.969,80.78
2011-12-21,2011.972,79.74
2011-12-22,2011.975,80.02
2011-12-23,2011.978,81.74
2011-12-27,2011.989,81.07
2011-12-28,2011.992,80.02
2011-12-29,2011.994,81.93
2011-12-30,2011.997,81.55
2012-01-03,2012.006,80.12
2012-01-04,2012.008,81.93
2012-01-05,2012.011,82.12
2012-01-06,2012.014,81.17
2012-01-09,2012.022,81.83
2012-01-10,2012.025,82.98
2012-01-11,2012.028,84.6
2012-01-12,2012.031,85.45
2012-01-13,2012.033,84.21
2012-01-17,2012.044,85.17
2012-01-18,2012.047,85.93
2012-01-19,2012.05,88.6
2012-01-20,2012.053,89.55
2012-01-23,2012.061,88.41
2012-01-24,2012.064,87.26
2012-01-25,2012.067,90.6
2012-01-26,2012.069,89.36
2012-01-27,2012.072,91.65
2012-01-30,2012.081,89.36
2012-01-31,2012.083,91.26
2012-02-01,2012.083,92.79
2012-02-02,2012.086,92.88
