Date,t,Close
2011-10-03,2011.756,94.63
2011-10-04,2011.758,99.67
2011-10-05,2011.761,100.59
2011-10-06,2011.764,102.07
2011-10-07,2011.767,98.77
2011-10-10,2011.775,104.03
2011-10-11,2011.778,103.39
2011-10-12,2011.781,105.87
2011-10-13,2011.783,103.83
2011-10-14,2011.786,105.69
2011-10-17,2011.794,102.97
2011-10-18,2011.797,108.96
2011-10-19,2011.8,106.28
2011-10-20,2011.803,108.41
2011-10-21,2011.806,111.49
2011-10-24,2011.814,114.24
2011-10-25,2011.817,109.47
2011-10-26,2011.819,110.67
2011-10-27,2011.822,120.11
2011-10-28,2011.825,120.46
2011-10-31,2011.833,114.54
2011-11-01,2011.833,108.53
2011-11-02,2011.836,112.2
2011-11-03,2011.839,114.9
2011-11-04,2011.842,113.66
2011-11-07,2011.85,114.77
2011-11-08,2011.853,117.49
2011-11-09,2011.856,110.33
2011-11-10,2011.858,112.47
2011-11-11,2011.861,116.02
2011-11-14,2011.869,113.78
2011-11-15,2011.872,114.18
2011-11-16,2011.875,110.94
2011-11-17,2011.878,108.04
2011-11-18,2011.881,108.01
2011-11-21,2011.889,105.09
2011-11-22,2011.892,104.04
2011-11-23,2011.894,101.41
2011-11-25,2011.9,101.36
2011-11-28,2011.908,104.95
2011-11-29,2011.911,104.9
2011-11-30,2011.914,112.51
2011-12-01,2011.917,111
2011-12-02,2011.919,112.17
2011-12-05,2011.928,114.59
2011-12-06,2011.931,114.51
2011-12-07,2011.933,116.14
2011-12-08,2011.936,111.24
2011-12-09,2011.939,114.33
2011-12-12,2011.947,111.33
2011-12-13,2011.95,109.64
2011-12-14,2011.953,108.71
2011-12-15,2011.956,109.02
2011-12-16,2011.958,110.54
2011-12-19,2011.967,108.22
2011-12-20,2011.969,112.98
2011-12-21,2011.972,113.06
2011-12-22,2011.975,114.62
2011-12-23,2011.978,115.7
2011-12-27,2011.989,115.09
2011-12-28,2011.992,113.07
2011-12-29,2011.994,115.26
2011-12-30,2011.997,114.4
2012-01-03,2012.006,117.48
2012-01-04,2012.008,116.8
2012-01-05,2012.011,117.76
2012-01-06,2012.014,117.47
2012-01-09,2012.022,118.1
2012-01-10,2012.025,121.23
2012-01-11,2012.028,120.43
2012-01-12,2012.031,121.62
2012-01-13,2012.033,120.57
2012-01-17,2012.044,120.36
2012-01-18,2012.047,118.99
2012-01-19,2012.05,121.04
2012-01-20,2012.053,121.9
2012-01-23,2012.061,122.8
2012-01-24,2012.064,122.45
2012-01-25,2012.067,121.12
2012-01-26,2012.069,120.21
2012-01-27,2012.072,120.02
2012-01-30,2012.081,118.65
2012-01-31,2012.083,118.54
2012-02-01,2012.083,121.35
2012-02-02,2012.086,121.81
2012-02-03,2012.089,125.99
2012-02-06,2012.097,125.79
2012-02-07,2012.1,125.61
2012-02-08,2012.103,125.93
2012-02-09,2012.106,125.62
2012-02-10,2012.108,124.62
2012-02-13,2012.117,125.25
2012-02-14,2012.119,124.04
2012-02-15,2012.122,123.98
2012-02-16,2012.125,126.93
2012-02-17,2012.128,127.52
2012-02-21,2012.139,127.09
2012-02-22,2012.142,125.96
2012-02-23,2012.144,127.95
2012-02-24,2012.147,127.16
2012-02-27,2012.156,128.14
2012-02-28,2012.158,128.86
2012-02-29,2012.161,128.73
2012-03-01,2012.167,129.82
2012-03-02,2012.169,128.96
2012-03-05,2012.178,127.81
2012-03-06,2012.181,125.31
2012-03-07,2012.183,126.91
2012-03-08,2012.186,128.49
2012-03-09,2012.189,129.6
2012-03-12,2012.197,129.35
2012-03-13,2012.2,133.9
2012-03-14,2012.203,133.81
2012-03-15,2012.206,137.19
2012-03-16,2012.208,136.95
2012-03-19,2012.217,137.58
2012-03-20,2012.219,136.72
2012-03-21,2012.222,136.21
