Date,t,Close
2011-08-19,2011.633,253.85
2011-08-22,2011.642,257.76
2011-08-23,2011.644,277.3
2011-08-24,2011.647,283.18
2011-08-25,2011.65,276.33
2011-08-26,2011.653,288.28
2011-08-29,2011.661,295.15
2011-08-30,2011.664,295.07
2011-08-31,2011.667,296.97
2011-09-01,2011.667,293.1
2011-09-02,2011.669,283.46
2011-09-06,2011.681,282.65
2011-09-07,2011.683,294.56
2011-09-08,2011.686,293.12
2011-09-09,2011.689,286.29
2011-09-12,2011.697,291.22
2011-09-13,2011.7,300.68
2011-09-14,2011.703,306.28
2011-09-15,2011.706,315.92
2011-09-16,2011.708,316.07
2011-09-19,2011.717,320.63
2011-09-20,2011.719,319.55
2011-09-21,2011.722,306.43
2011-09-22,2011.725,297.64
2011-09-23,2011.728,309.29
2011-09-26,2011.736,312.86
2011-09-27,2011.739,319.39
2011-09-28,2011.742,310.35
2011-09-29,2011.744,299.22
2011-09-30,2011.747,285.49
2011-10-03,2011.756,277.84
2011-10-04,2011.758,290.3
2011-10-05,2011.761,294.08
2011-10-06,2011.764,309.1
2011-10-07,2011.767,308.78
2011-10-10,2011.775,321.98
2011-10-11,2011.778,318.23
2011-10-12,2011.781,323
2011-10-13,2011.783,322.97
2011-10-14,2011.786,329.6
2011-10-17,2011.794,321.27
2011-10-18,2011.797,325.23
2011-10-19,2011.8,316.44
2011-10-20,2011.803,318.91
2011-10-21,2011.806,326.3
2011-10-24,2011.814,338.31
2011-10-25,2011.817,330.5
2011-10-26,2011.819,333.06
2011-10-27,2011.822,345.88
2011-10-28,2011.825,352.1
2011-10-31,2011.833,345.75
2011-11-01,2011.833,337.65
2011-11-02,2011.836,344.8
2011-11-03,2011.839,348.43
2011-11-04,2011.842,344.04
2011-11-07,2011.85,340.93
2011-11-08,2011.853,345.19
2011-11-09,2011.856,329.59
2011-11-10,2011.858,331.71
2011-11-11,2011.861,340.86
2011-11-14,2011.869,341.31
2011-11-15,2011.872,340.77
2011-11-16,2011.875,333.59
2011-11-17,2011.878,327.41
2011-11-18,2011.881,323.79
2011-11-21,2011.889,317.23
2011-11-22,2011.892,316.89
2011-11-23,2011.894,313.58
2011-11-25,2011.9,309.52
2011-11-28,2011.908,328.51
2011-11-29,2011.911,321.11
2011-11-30,2011.914,330.83
2011-12-01,2011.917,331.4
2011-12-02,2011.919,331.35
2011-12-05,2011.928,338.63
2011-12-06,2011.931,337.21
2011-12-07,2011.933,334.45
2011-12-08,2011.936,326.9
2011-12-09,2011.939,331.9
2011-12-12,2011.947,327.7
2011-12-13,2011.95,319.03
2011-12-14,2011.953,315.66
2011-12-15,2011.956,314.51
2011-12-16,2011.958,309.73
2011-12-19,2011.967,307.12
2011-12-20,2011.969,311.81
2011-12-21,2011.972,313.86
2011-12-22,2011.975,311.93
2011-12-23,2011.978,319
2011-12-27,2011.989,322.2
2011-12-28,2011.992,317.89
2011-12-29,2011.994,319.12
2011-12-30,2011.997,316.5
2012-01-03,2012.006,315.5
2012-01-04,2012.008,326.57
2012-01-05,2012.011,326.71
2012-01-06,2012.014,326.71
2012-01-09,2012.022,331.17
2012-01-10,2012.025,329.73
2012-01-11,2012.028,323.35
2012-01-12,2012.031,325.08
2012-01-13,2012.033,325.53
2012-01-17,2012.044,326.85
2012-01-18,2012.047,333.79
2012-01-19,2012.05,335.28
2012-01-20,2012.053,335.35
2012-01-23,2012.061,332.48
2012-01-24,2012.064,344.34
2012-01-25,2012.067,349.34
2012-01-26,2012.069,345.6
2012-01-27,2012.072,344.71
2012-01-30,2012.081,344.67
2012-01-31,2012.083,349.33
2012-02-01,2012.083,351.06
2012-02-02,2012.086,350.49
2012-02-03,2012.089,359.07
