Date,t,Close
2011-08-19,2011.633,30.58
2011-08-22,2011.642,31.03
2011-08-23,2011.644,32.45
2011-08-24,2011.647,32.69
2011-08-25,2011.65,31.87
2011-08-26,2011.653,33.05
2011-08-29,2011.661,34.76
2011-08-30,2011.664,34.52
2011-08-31,2011.667,35.29
2011-09-01,2011.667,34.65
2011-09-02,2011.669,33.66
2011-09-06,2011.681,33.14
2011-09-07,2011.683,34.36
2011-09-08,2011.686,33.81
2011-09-09,2011.689,33.05
2011-09-12,2011.697,33.65
2011-09-13,2011.7,33.98
2011-09-14,2011.703,34.86
2011-09-15,2011.706,35.51
2011-09-16,2011.708,35.84
2011-09-19,2011.717,35.43
2011-09-20,2011.719,34.39
2011-09-21,2011.722,34.16
2011-09-22,2011.725,32.72
2011-09-23,2011.728,33.38
2011-09-26,2011.736,33.91
2011-09-27,2011.739,34.84
2011-09-28,2011.742,34.19
2011-09-29,2011.744,34.08
2011-09-30,2011.747,32.83
2011-10-03,2011.756,31.64
2011-10-04,2011.758,32.87
2011-10-05,2011.761,33.24
2011-10-06,2011.764,34.1
2011-10-07,2011.767,33.93
2011-10-10,2011.775,35.19
2011-10-11,2011.778,35.94
2011-10-12,2011.781,36.28
2011-10-13,2011.783,36.46
2011-10-14,2011.786,37.34
2011-10-17,2011.794,36.45
2011-10-18,2011.797,37.18
2011-10-19,2011.8,36.57
2011-10-20,2011.803,36.7
2011-10-21,2011.806,37.42
2011-10-24,2011.814,38.32
2011-10-25,2011.817,37.7
2011-10-26,2011.819,37.14
2011-10-27,2011.822,39.92
2011-10-28,2011.825,40.24
2011-10-31,2011.833,39.51
2011-11-01,2011.833,38.29
2011-11-02,2011.836,38.77
2011-11-03,2011.839,40.03
2011-11-04,2011.842,39.69
2011-11-07,2011.85,39.7
2011-11-08,2011.853,40.21
2011-11-09,2011.856,38.1
2011-11-10,2011.858,38.15
2011-11-11,2011.861,39.13
2011-11-14,2011.869,39.19
2011-11-15,2011.872,39.81
2011-11-16,2011.875,39.52
2011-11-17,2011.878,38.14
2011-11-18,2011.881,36.79
2011-11-21,2011.889,35.99
2011-11-22,2011.892,35.34
2011-11-23,2011.894,34.4
2011-11-25,2011.9,34.17
2011-11-28,2011.908,35.77
2011-11-29,2011.911,35.33
2011-11-30,2011.914,37.57
2011-12-01,2011.917,37.46
2011-12-02,2011.919,37.45
2011-12-05,2011.928,38.64
2011-12-06,2011.931,38.56
2011-12-07,2011.933,38.27
2011-12-08,2011.936,37.43
2011-12-09,2011.939,38.22
2011-12-12,2011.947,36.99
2011-12-13,2011.95,36.41
2011-12-14,2011.953,35.19
2011-12-15,2011.956,34.93
2011-12-16,2011.958,35.56
2011-12-19,2011.967,34.58
2011-12-20,2011.969,35.76
2011-12-21,2011.972,34.44
2011-12-22,2011.975,34.87
2011-12-23,2011.978,34.9
2011-12-27,2011.989,35.15
2011-12-28,2011.992,34.63
2011-12-29,2011.994,35.06
