Date,t,Close
2011-08-08,2011.603,567.74
2011-08-09,2011.606,595.34
2011-08-10,2011.608,572.84
2011-08-11,2011.611,598.66
2011-08-12,2011.614,607.81
2011-08-15,2011.622,610.08
2011-08-16,2011.625,612.94
2011-08-17,2011.628,600.83
2011-08-18,2011.631,579.31
2011-08-19,2011.633,575.02
2011-08-22,2011.642,581.72
2011-08-23,2011.644,603.97
2011-08-24,2011.647,605.18
2011-08-25,2011.65,587.88
2011-08-26,2011.653,600.52
2011-08-29,2011.661,616.19
2011-08-30,2011.664,619.9
2011-08-31,2011.667,615.17
2011-09-01,2011.667,600.6
2011-09-02,2011.669,588.35
2011-09-06,2011.681,587.61
2011-09-07,2011.683,605.93
2011-09-08,2011.686,599.51
2011-09-09,2011.689,591.35
2011-09-12,2011.697,599.77
2011-09-13,2011.7,607.81
2011-09-14,2011.703,614.91
2011-09-15,2011.706,633.89
2011-09-16,2011.708,644.01
2011-09-19,2011.717,647.17
2011-09-20,2011.719,649.49
2011-09-21,2011.722,630.1
2011-09-22,2011.725,617.19
2011-09-23,2011.728,628.92
2011-09-26,2011.736,650.09
2011-09-27,2011.739,647.44
2011-09-28,2011.742,641
2011-09-29,2011.744,626.03
2011-09-30,2011.747,615.32
2011-10-03,2011.756,599.33
2011-10-04,2011.758,617.58
2011-10-05,2011.761,629.86
2011-10-06,2011.764,634.3
2011-10-07,2011.767,634.75
2011-10-10,2011.775,658.68
2011-10-11,2011.778,657.9
2011-10-12,2011.781,660.4
2011-10-13,2011.783,656.73
2011-10-14,2011.786,663.02
2011-10-17,2011.794,651.19
2011-10-18,2011.797,659.38
2011-10-19,2011.8,659.46
2011-10-20,2011.803,665.32
2011-10-21,2011.806,679.58
2011-10-24,2011.814,690.23
2011-10-25,2011.817,683.1
2011-10-26,2011.819,677.05
2011-10-27,2011.822,705.87
2011-10-28,2011.825,699.54
2011-10-31,2011.833,684.77
2011-11-01,2011.833,684.43
2011-11-02,2011.836,688.75
2011-11-03,2011.839,684.35
2011-11-04,2011.842,680.12
2011-11-07,2011.85,681.78
2011-11-08,2011.853,685.29
2011-11-09,2011.856,661.76
2011-11-10,2011.858,671.4
2011-11-11,2011.861,689.07
2011-11-14,2011.869,683.76
2011-11-15,2011.872,686.12
2011-11-16,2011.875,667.44
2011-11-17,2011.878,656.66
2011-11-18,2011.881,650.52
2011-11-21,2011.889,645.97
2011-11-22,2011.892,642.39
2011-11-23,2011.894,632.99
2011-11-25,2011.9,630.72
2011-11-28,2011.908,647.69
2011-11-29,2011.911,656.67
2011-11-30,2011.914,669.91
2011-12-01,2011.917,679.75
2011-12-02,2011.919,678.82
2011-12-05,2011.928,689.99
2011-12-06,2011.931,687.55
2011-12-07,2011.933,688.99
2011-12-08,2011.936,678.14
2011-12-09,2011.939,686.54
2011-12-12,2011.947,682.78
2011-12-13,2011.95,676.15
2011-12-14,2011.953,670.89
2011-12-15,2011.956,668.83
2011-12-16,2011.958,669.29
2011-12-19,2011.967,658.28
2011-12-20,2011.969,680.37
2011-12-21,2011.972,683.44
2011-12-22,2011.975,688.54
2011-12-23,2011.978,696.52
2011-12-27,2011.989,703.43
2011-12-28,2011.992,697
2011-12-29,2011.994,700.07
2011-12-30,2011.997,691.6
2012-01-03,2012.006,684.07
2012-01-04,2012.008,690.18
2012-01-05,2012.011,700.75
2012-01-06,2012.014,698.43
2012-01-09,2012.022,696.83
2012-01-10,2012.025,697.24
2012-01-11,2012.028,691.28
2012-01-12,2012.031,694.92
2012-01-13,2012.033,696.25
2012-01-17,2012.044,703.64
2012-01-18,2012.047,711.87
2012-01-19,2012.05,714.79
2012-01-20,2012.053,707.09
2012-01-23,2012.061,708.32
2012-01-24,2012.064,715.91
2012-01-25,2012.067,724.37
2012-01-26,2012.069,717.39
2012-01-27,2012.072,716.09
2012-01-30,2012.081,712.62
2012-01-31,2012.083,718.21
2012-02-01,2012.083,722.76
2012-02-02,2012.086,728.56
2012-02-03,2012.089,738.94
2012-02-06,2012.097,739.7
2012-02-07,2012.1,744.84
2012-02-08,2012.103,741.08
2012-02-09,2012.106,745.33
2012-02-10,2012.108,743.24
2012-02-13,2012.117,744.45
2012-02-14,2012.119,748.84
2012-02-15,2012.122,746.04
