Date,t,Close
2012-08-02,2012.586,48.07
2012-08-03,2012.589,48.98
2012-08-06,2012.597,49.31
2012-08-07,2012.6,50.17
2012-08-08,2012.603,50.38
2012-08-09,2012.606,50.33
2012-08-10,2012.608,50.38
2012-08-13,2012.617,50.65
2012-08-14,2012.619,50.87
2012-08-15,2012.622,51.14
2012-08-16,2012.625,51.68
2012-08-17,2012.628,51.89
2012-08-20,2012.636,51.89
2012-08-21,2012.639,51.35
2012-08-22,2012.642,51.14
2012-08-23,2012.644,50.92
2012-08-24,2012.647,51.14
2012-08-27,2012.656,50.6
2012-08-28,2012.658,50.33
2012-08-29,2012.661,50.22
2012-08-30,2012.664,50.17
2012-08-31,2012.667,50.33
2012-09-04,2012.675,50.71
2012-09-05,2012.678,51.57
2012-09-06,2012.681,53.4
2012-09-07,2012.683,54.64
2012-09-10,2012.692,54.48
2012-09-11,2012.694,54.7
2012-09-12,2012.697,55.02
2012-09-13,2012.7,55.72
2012-09-14,2012.703,56.74
2012-09-17,2012.711,55.99
2012-09-18,2012.714,56.15
2012-09-19,2012.717,57.07
2012-09-20,2012.719,56.26
2012-09-21,2012.722,56.04
2012-09-24,2012.731,55.61
2012-09-25,2012.733,54.37
2012-09-26,2012.736,53.94
2012-09-27,2012.739,54
2012-09-28,2012.742,53.13
2012-10-01,2012.75,53.51
2012-10-02,2012.753,52.76
2012-10-03,2012.756,53.56
2012-10-04,2012.758,54.48
2012-10-05,2012.761,54.75
2012-10-08,2012.769,54.16
2012-10-09,2012.772,54.43
2012-10-10,2012.775,53.78
2012-10-11,2012.778,54.64
2012-10-12,2012.781,54.53
2012-10-15,2012.789,55.07
2012-10-16,2012.792,55.5
2012-10-17,2012.794,56.1
2012-10-18,2012.797,56.2
2012-10-19,2012.8,54.86
2012-10-22,2012.808,54.8
2012-10-23,2012.811,53.89
2012-10-24,2012.814,54.8
2012-10-25,2012.817,55.99
2012-10-26,2012.819,55.83
2012-10-31,2012.833,60.14
2012-11-01,2012.833,60.62
2012-11-02,2012.836,60.19
2012-11-05,2012.844,60.62
2012-11-06,2012.847,61.54
2012-11-07,2012.85,59.6
2012-11-08,2012.853,58.74
2012-11-09,2012.856,58.9
2012-11-12,2012.864,59.11
2012-11-13,2012.867,59.28
2012-11-14,2012.869,57.5
2012-11-15,2012.872,56.96
2012-11-16,2012.875,56.58
2012-11-19,2012.883,58.36
2012-11-20,2012.886,58.47
2012-11-21,2012.889,58.85
2012-11-23,2012.894,59.82
2012-11-26,2012.903,59.87
2012-11-27,2012.906,59.82
2012-11-28,2012.908,60.62
2012-11-29,2012.911,62.13
2012-11-30,2012.914,61.7
2012-12-03,2012.922,61.49
2012-12-04,2012.925,60.95
2012-12-05,2012.928,60.95
2012-12-06,2012.931,60.57
2012-12-07,2012.933,61.86
2012-12-10,2012.942,61.81
2012-12-11,2012.944,61.92
2012-12-12,2012.947,61.81
2012-12-13,2012.95,60.73
2012-12-14,2012.953,59.82
2012-12-17,2012.961,61.38
2012-12-18,2012.964,62.89
2012-12-19,2012.967,63.21
2012-12-20,2012.969,63.43
2012-12-21,2012.972,63.91
2012-12-24,2012.981,66.82
2012-12-26,2012.986,68.92
2012-12-27,2012.989,68.76
2012-12-28,2012.992,69.35
2012-12-31,2013,69.78
2013-01-02,2013.003,71.13
2013-01-03,2013.006,72.53
2013-01-04,2013.008,73.13
2013-01-07,2013.017,72.37
2013-01-08,2013.019,71.94
2013-01-09,2013.022,72.59
2013-01-10,2013.025,74.53
2013-01-11,2013.028,75.44
2013-01-14,2013.036,75.39
2013-01-15,2013.039,77.06
2013-01-16,2013.042,76.63
2013-01-17,2013.044,76.63
2013-01-18,2013.047,76.04
2013-01-22,2013.058,76.36
2013-01-23,2013.061,74.8
2013-01-24,2013.064,74.74
2013-01-25,2013.067,73.72
2013-01-28,2013.075,74.26
2013-01-29,2013.078,70.81
2013-01-30,2013.081,69.68
2013-01-31,2013.083,69.78
2013-02-01,2013.083,70.16
2013-02-04,2013.092,69.41
2013-02-05,2013.094,71.02
2013-02-06,2013.097,71.13
2013-02-07,2013.1,70.43
2013-02-08,2013.103,70.59
2013-02-11,2013.111,70.65
2013-02-12,2013.114,70.48
2013-02-13,2013.117,70.27
2013-02-14,2013.119,70.65
