Date,t,Close
2012-07-24,2012.564,94.55
2012-07-25,2012.567,95.78
2012-07-26,2012.569,97.48
2012-07-27,2012.572,102.1
2012-07-30,2012.581,101.04
2012-07-31,2012.583,100.85
2012-08-01,2012.583,99.35
2012-08-02,2012.586,96.96
2012-08-03,2012.589,100.13
2012-08-06,2012.597,102.02
2012-08-07,2012.6,106.08
2012-08-08,2012.603,104.38
2012-08-09,2012.606,105.74
2012-08-10,2012.608,106.94
2012-08-13,2012.617,107.23
2012-08-14,2012.619,106.84
2012-08-15,2012.622,107.33
2012-08-16,2012.625,109.45
2012-08-17,2012.628,110.47
2012-08-20,2012.636,109.78
2012-08-21,2012.639,108.73
2012-08-22,2012.642,109.03
2012-08-23,2012.644,108.11
2012-08-24,2012.647,108.01
2012-08-27,2012.656,107.97
2012-08-28,2012.658,108.07
2012-08-29,2012.661,108.82
2012-08-30,2012.664,108.11
2012-08-31,2012.667,108.82
2012-09-04,2012.675,107.11
2012-09-05,2012.678,106.52
2012-09-06,2012.681,110.03
2012-09-07,2012.683,112.1
2012-09-10,2012.692,111.57
2012-09-11,2012.694,113.6
2012-09-12,2012.697,114.92
2012-09-13,2012.7,116.62
2012-09-14,2012.703,118.8
2012-09-17,2012.711,116.46
2012-09-18,2012.714,115.49
2012-09-19,2012.717,117.52
2012-09-20,2012.719,115.5
2012-09-21,2012.722,113.96
2012-09-24,2012.731,114.16
2012-09-25,2012.733,110.12
2012-09-26,2012.736,109.51
2012-09-27,2012.739,110.26
2012-09-28,2012.742,109.51
2012-10-01,2012.75,111.17
2012-10-02,2012.753,111.14
2012-10-03,2012.756,110.79
2012-10-04,2012.758,112.77
2012-10-05,2012.761,112.94
2012-10-08,2012.769,111.74
2012-10-09,2012.772,108.13
2012-10-10,2012.775,104.69
2012-10-11,2012.778,105.17
2012-10-12,2012.781,104.02
2012-10-15,2012.789,104.52
2012-10-16,2012.792,105.48
2012-10-17,2012.794,105.52
2012-10-18,2012.797,106.65
2012-10-19,2012.8,104.55
2012-10-22,2012.808,105.22
2012-10-23,2012.811,103.87
2012-10-24,2012.814,102.78
2012-10-25,2012.817,103.94
2012-10-26,2012.819,102.51
2012-10-31,2012.833,103.33
2012-11-01,2012.833,104.62
2012-11-02,2012.836,104.98
2012-11-05,2012.844,106.13
2012-11-06,2012.847,107.13
2012-11-07,2012.85,103.48
2012-11-08,2012.853,101.13
2012-11-09,2012.856,101.46
2012-11-12,2012.864,101.18
2012-11-13,2012.867,99.97
2012-11-14,2012.869,98.99
2012-11-15,2012.872,99.7
2012-11-16,2012.875,99.56
2012-11-19,2012.883,103.02
2012-11-20,2012.886,103.48
2012-11-21,2012.889,105.18
2012-11-23,2012.894,107.22
2012-11-26,2012.903,106.58
2012-11-27,2012.906,106.34
2012-11-28,2012.908,108.12
2012-11-29,2012.911,108.97
2012-11-30,2012.914,108.59
2012-12-03,2012.922,107.85
2012-12-04,2012.925,108.94
2012-12-05,2012.928,108.3
2012-12-06,2012.931,108.75
2012-12-07,2012.933,110.72
2012-12-10,2012.942,112.12
2012-12-11,2012.944,112.32
2012-12-12,2012.947,112.03
2012-12-13,2012.95,111
2012-12-14,2012.953,110.52
2012-12-17,2012.961,111.89
2012-12-18,2012.964,113.87
2012-12-19,2012.967,115.61
