Date,t,Close
2011-08-08,2011.603,252.33
2011-08-09,2011.606,262.71
2011-08-10,2011.608,254.24
2011-08-11,2011.611,262.62
2011-08-12,2011.614,267.8
2011-08-15,2011.622,269.01
2011-08-16,2011.625,266.74
2011-08-17,2011.628,267.09
2011-08-18,2011.631,263.87
2011-08-19,2011.633,263.95
2011-08-22,2011.642,267.15
2011-08-23,2011.644,273.89
2011-08-24,2011.647,277.19
2011-08-25,2011.65,271.79
2011-08-26,2011.653,275.01
2011-08-29,2011.661,283.66
2011-08-30,2011.664,284.32
2011-08-31,2011.667,283.98
2011-09-01,2011.667,285.02
2011-09-02,2011.669,281.48
2011-09-06,2011.681,283.62
2011-09-07,2011.683,290.56
2011-09-08,2011.686,287
2011-09-09,2011.689,283.9
2011-09-12,2011.697,284.45
2011-09-13,2011.7,288.55
2011-09-14,2011.703,294.76
2011-09-15,2011.706,297.32
2011-09-16,2011.708,301.34
2011-09-19,2011.717,300.86
2011-09-20,2011.719,295.55
2011-09-21,2011.722,290.81
2011-09-22,2011.725,278.38
2011-09-23,2011.728,280.15
2011-09-26,2011.736,285.37
2011-09-27,2011.739,284.78
2011-09-28,2011.742,279.89
2011-09-29,2011.744,275.97
2011-09-30,2011.747,274.91
2011-10-03,2011.756,268.42
2011-10-04,2011.758,277.39
2011-10-05,2011.761,275.94
2011-10-06,2011.764,281.44
2011-10-07,2011.767,283.19
2011-10-10,2011.775,292.47
2011-10-11,2011.778,293.85
2011-10-12,2011.781,293.25
2011-10-13,2011.783,292.18
2011-10-14,2011.786,295.74
2011-10-17,2011.794,291.41
2011-10-18,2011.797,294.51
2011-10-19,2011.8,293.77
2011-10-20,2011.803,296.25
2011-10-21,2011.806,300.53
2011-10-24,2011.814,307.82
2011-10-25,2011.817,304.61
2011-10-26,2011.819,302.45
2011-10-27,2011.822,314.78
2011-10-28,2011.825,312.28
2011-10-31,2011.833,308.72
2011-11-01,2011.833,308.04
2011-11-02,2011.836,309.22
2011-11-03,2011.839,311.72
2011-11-04,2011.842,308.56
2011-11-07,2011.85,309.07
2011-11-08,2011.853,310.61
2011-11-09,2011.856,304.1
2011-11-10,2011.858,304.43
2011-11-11,2011.861,310.36
2011-11-14,2011.869,307.29
2011-11-15,2011.872,309.61
2011-11-16,2011.875,304.48
2011-11-17,2011.878,301.66
2011-11-18,2011.881,300.85
2011-11-21,2011.889,299.19
2011-11-22,2011.892,298.43
2011-11-23,2011.894,293.98
2011-11-25,2011.9,297.72
2011-11-28,2011.908,300.53
2011-11-29,2011.911,302.71
2011-11-30,2011.914,307.32
2011-12-01,2011.917,311.19
2011-12-02,2011.919,309.43
2011-12-05,2011.928,320.54
2011-12-06,2011.931,320.13
2011-12-07,2011.933,318.03
2011-12-08,2011.936,314.69
2011-12-09,2011.939,319.6
2011-12-12,2011.947,319.32
2011-12-13,2011.95,312.96
2011-12-14,2011.953,310.37
2011-12-15,2011.956,312.57
2011-12-16,2011.958,314.12
2011-12-19,2011.967,311.25
2011-12-20,2011.969,317.95
2011-12-21,2011.972,314.55
2011-12-22,2011.975,314.56
2011-12-23,2011.978,318.45
2011-12-27,2011.989,318.11
2011-12-28,2011.992,316.07
2011-12-29,2011.994,317.84
2011-12-30,2011.997,314.79
2012-01-03,2012.006,310.12
2012-01-04,2012.008,313.22
2012-01-05,2012.011,317.83
2012-01-06,2012.014,316.53
2012-01-09,2012.022,317.35
2012-01-10,2012.025,320.72
2012-01-11,2012.028,324.05
2012-01-12,2012.031,325.59
2012-01-13,2012.033,327.31
2012-01-17,2012.044,328.06
2012-01-18,2012.047,332.51
2012-01-19,2012.05,334.88
2012-01-20,2012.053,329.2
2012-01-23,2012.061,328.73
2012-01-24,2012.064,329.31
2012-01-25,2012.067,330.47
2012-01-26,2012.069,328.2
2012-01-27,2012.072,327.88
2012-01-30,2012.081,327.18
2012-01-31,2012.083,323.52
2012-02-01,2012.083,326.21
2012-02-02,2012.086,324.34
2012-02-03,2012.089,325.9
2012-02-06,2012.097,326.11
2012-02-07,2012.1,328.29
2012-02-08,2012.103,325.99
2012-02-09,2012.106,330.07
2012-02-10,2012.108,327.16
2012-02-13,2012.117,327.37
2012-02-14,2012.119,328.88
2012-02-15,2012.122,324.91
2012-02-16,2012.125,328.53
2012-02-17,2012.128,330.81
2012-02-21,2012.139,329.88
2012-02-22,2012.142,330.93
2012-02-23,2012.144,332.79
2012-02-24,2012.147,331.81
2012-02-27,2012.156,335.24
2012-02-28,2012.158,342.01
2012-02-29,2012.161,338.97
2012-03-01,2012.167,343.61
2012-03-02,2012.169,346.95
2012-03-05,2012.178,350.69
2012-03-06,2012.181,349.6
2012-03-07,2012.183,351.99
2012-03-08,2012.186,353.47
2012-03-09,2012.189,354.73
2012-03-12,2012.197,352.87
2012-03-13,2012.2,354.54
2012-03-14,2012.203,355.5
