Date,t,Close
2011-08-10,2011.608,922.88
2011-08-11,2011.611,954
2011-08-12,2011.614,967.33
2011-08-15,2011.622,984.03
2011-08-16,2011.625,990.93
2011-08-17,2011.628,990.29
2011-08-18,2011.631,972.25
2011-08-19,2011.633,978.94
2011-08-22,2011.642,986.22
2011-08-23,2011.644,1012.34
2011-08-24,2011.647,1015.16
2011-08-25,2011.65,1001.55
2011-08-26,2011.653,1016.11
2011-08-29,2011.661,1033.58
2011-08-30,2011.664,1042.42
2011-08-31,2011.667,1043.1
2011-09-01,2011.667,1038.09
2011-09-02,2011.669,1019.08
2011-09-06,2011.681,1024.46
2011-09-07,2011.683,1043.04
2011-09-08,2011.686,1040.16
2011-09-09,2011.689,1015.3
2011-09-12,2011.697,1021.7
2011-09-13,2011.7,1033.64
2011-09-14,2011.703,1048.64
2011-09-15,2011.706,1061.68
2011-09-16,2011.708,1073.08
2011-09-19,2011.717,1067.61
2011-09-20,2011.719,1094.62
2011-09-21,2011.722,1066.2
2011-09-22,2011.725,1046.36
2011-09-23,2011.728,1043.14
2011-09-26,2011.736,1056.83
2011-09-27,2011.739,1072.04
2011-09-28,2011.742,1052.77
2011-09-29,2011.744,1054.6
2011-09-30,2011.747,1040.12
2011-10-03,2011.756,1015.06
2011-10-04,2011.758,1025.87
2011-10-05,2011.761,1066.92
2011-10-06,2011.764,1074.81
2011-10-07,2011.767,1068.59
2011-10-10,2011.775,1094.39
2011-10-11,2011.778,1086.47
2011-10-12,2011.781,1083.44
2011-10-13,2011.783,1095.7
2011-10-14,2011.786,1101.05
2011-10-17,2011.794,1081.54
2011-10-18,2011.797,1099.13
2011-10-19,2011.8,1096.57
2011-10-20,2011.803,1099.01
2011-10-21,2011.806,1128.63
2011-10-24,2011.814,1139.11
2011-10-25,2011.817,1103.25
2011-10-26,2011.819,1130.74
2011-10-27,2011.822,1139.77
2011-10-28,2011.825,1143.06
2011-10-31,2011.833,1126.99
2011-11-01,2011.833,1101.65
2011-11-02,2011.836,1095.81
2011-11-03,2011.839,1104.21
2011-11-04,2011.842,1096.52
2011-11-07,2011.85,1125.46
2011-11-08,2011.853,1126.23
2011-11-09,2011.856,1106.19
2011-11-10,2011.858,1112.83
2011-11-11,2011.861,1121.12
2011-11-14,2011.869,1116.19
2011-11-15,2011.872,1111.83
2011-11-16,2011.875,1097.36
2011-11-17,2011.878,1091.06
2011-11-18,2011.881,1080.51
2011-11-21,2011.889,1047.98
2011-11-22,2011.892,1080.63
2011-11-23,2011.894,1069.41
2011-11-25,2011.9,1062.92
2011-11-28,2011.908,1085.14
2011-11-29,2011.911,1079.45
2011-11-30,2011.914,1111.18
2011-12-01,2011.917,1112.49
2011-12-02,2011.919,1099.5
2011-12-05,2011.928,1097.47
2011-12-06,2011.931,1102.04
2011-12-07,2011.933,1103.74
2011-12-08,2011.936,1090.74
2011-12-09,2011.939,1109.25
2011-12-12,2011.947,1094.93
2011-12-13,2011.95,1094.55
2011-12-14,2011.953,1092.42
2011-12-15,2011.956,1097.76
2011-12-16,2011.958,1102.05
2011-12-19,2011.967,1107.54
2011-12-20,2011.969,1127.18
2011-12-21,2011.972,1146.61
2011-12-22,2011.975,1147.32
