Date,t,Close
2011-10-03,2011.756,260.8
2011-10-04,2011.758,268.02
2011-10-05,2011.761,278.2
2011-10-06,2011.764,286.73
2011-10-07,2011.767,283.21
2011-10-10,2011.775,295.93
2011-10-11,2011.778,300.17
2011-10-12,2011.781,303.82
2011-10-13,2011.783,305.76
2011-10-14,2011.786,310.79
2011-10-17,2011.794,302.34
2011-10-18,2011.797,311.46
2011-10-19,2011.8,305.94
2011-10-20,2011.803,310.99
2011-10-21,2011.806,322.82
2011-10-24,2011.814,328.56
2011-10-25,2011.817,319.07
2011-10-26,2011.819,322.64
2011-10-27,2011.822,332.67
2011-10-28,2011.825,330.14
2011-10-31,2011.833,330.79
2011-11-01,2011.833,317.9
2011-11-02,2011.836,325.97
2011-11-03,2011.839,324.02
2011-11-04,2011.842,327.48
2011-11-07,2011.85,328.63
2011-11-08,2011.853,335.6
2011-11-09,2011.856,316.19
2011-11-10,2011.858,319.11
2011-11-11,2011.861,332.12
2011-11-14,2011.869,328.89
2011-11-15,2011.872,322.59
2011-11-16,2011.875,317.71
2011-11-17,2011.878,313.48
2011-11-18,2011.881,313.64
2011-11-21,2011.889,306.77
2011-11-22,2011.892,308.93
2011-11-23,2011.894,298.03
2011-11-25,2011.9,299.84
2011-11-28,2011.908,309.09
2011-11-29,2011.911,310.55
2011-11-30,2011.914,325.7
2011-12-01,2011.917,319.4
2011-12-02,2011.919,321.65
2011-12-05,2011.928,323.16
2011-12-06,2011.931,328.09
2011-12-07,2011.933,329.9
2011-12-08,2011.936,322.03
2011-12-09,2011.939,331.83
2011-12-12,2011.947,328.33
2011-12-13,2011.95,322.54
2011-12-14,2011.953,315.62
2011-12-15,2011.956,313.68
2011-12-16,2011.958,314.75
2011-12-19,2011.967,310.68
2011-12-20,2011.969,323.34
2011-12-21,2011.972,324.88
2011-12-22,2011.975,327.23
2011-12-23,2011.978,330.92
2011-12-27,2011.989,331.27
2011-12-28,2011.992,330.53
2011-12-29,2011.994,334
2011-12-30,2011.997,332.83
2012-01-03,2012.006,334.18
2012-01-04,2012.008,338.53
2012-01-05,2012.011,339.46
2012-01-06,2012.014,339.21
2012-01-09,2012.022,340.45
