Date,t,Close
2011-11-25,2011.9,439.18
2011-11-28,2011.908,447.73
2011-11-29,2011.911,456.51
2011-11-30,2011.914,469.11
2011-12-01,2011.917,465.18
2011-12-02,2011.919,468.18
2011-12-05,2011.928,472
2011-12-06,2011.931,478.12
2011-12-07,2011.933,478.82
2011-12-08,2011.936,473.96
2011-12-09,2011.939,478.47
2011-12-12,2011.947,476.39
2011-12-13,2011.95,469.11
2011-12-14,2011.953,470.84
2011-12-15,2011.956,484.83
2011-12-16,2011.958,492.8
2011-12-19,2011.967,483.56
2011-12-20,2011.969,496.27
2011-12-21,2011.972,501.7
2011-12-22,2011.975,502.74
2011-12-23,2011.978,508.52
2011-12-27,2011.989,508.87
2011-12-28,2011.992,501.35
2011-12-29,2011.994,505.4
2011-12-30,2011.997,503.2
2012-01-03,2012.006,504.36
2012-01-04,2012.008,499.85
2012-01-05,2012.011,501.58
2012-01-06,2012.014,503.55
2012-01-09,2012.022,505.86
2012-01-10,2012.025,516.15
2012-01-11,2012.028,518.34
2012-01-12,2012.031,516.61
2012-01-13,2012.033,507.83
2012-01-17,2012.044,504.13
2012-01-18,2012.047,506.44
2012-01-19,2012.05,503.2
2012-01-20,2012.053,508.52
2012-01-23,2012.061,508.52
2012-01-24,2012.064,495.11
2012-01-25,2012.067,496.85
2012-01-26,2012.069,498.93
2012-01-27,2012.072,495.57
2012-01-30,2012.081,491.65
2012-01-31,2012.083,495.69
2012-02-01,2012.083,505.75
2012-02-02,2012.086,501.82
2012-02-03,2012.089,507.71
2012-02-06,2012.097,504.01
2012-02-07,2012.1,508.06
2012-02-08,2012.103,505.05
2012-02-09,2012.106,507.36
2012-02-10,2012.108,498.93
2012-02-13,2012.117,505.86
2012-02-14,2012.119,508.75
2012-02-15,2012.122,506.9
2012-02-16,2012.125,521.23
2012-02-17,2012.128,525.05
2012-02-21,2012.139,518.34
2012-02-22,2012.142,513.26
2012-02-23,2012.144,513.14
2012-02-24,2012.147,507.59
2012-02-27,2012.156,506.67
2012-02-28,2012.158,508.52
2012-02-29,2012.161,507.83
2012-03-01,2012.167,505.28
2012-03-02,2012.169,503.9
2012-03-05,2012.178,500.78
2012-03-06,2012.181,485.87
2012-03-07,2012.183,486.68
2012-03-08,2012.186,493.03
2012-03-09,2012.189,494.19
2012-03-12,2012.197,494.42
2012-03-13,2012.2,495.57
2012-03-14,2012.203,496.38
2012-03-15,2012.206,495.46
2012-03-16,2012.208,498.23
2012-03-19,2012.217,500.54
2012-03-20,2012.219,496.04
2012-03-21,2012.222,498.12
2012-03-22,2012.225,502.62
2012-03-23,2012.228,508.06
2012-03-26,2012.236,516.96
2012-03-27,2012.239,522.97
2012-03-28,2012.242,520.31
2012-03-29,2012.244,519.96
2012-03-30,2012.247,522.97
2012-04-02,2012.253,527.7
2012-04-03,2012.256,499.04
2012-04-04,2012.258,483.56
2012-04-05,2012.261,476.97
2012-04-09,2012.272,475.81
2012-04-10,2012.275,472.34
2012-04-11,2012.278,471.54
2012-04-12,2012.281,471.77
2012-04-13,2012.283,473.15
2012-04-16,2012.292,472.58
2012-04-17,2012.294,473.62
2012-04-18,2012.297,476.16
2012-04-19,2012.3,476.85
2012-04-20,2012.303,477.31
2012-04-23,2012.311,473.96
2012-04-24,2012.314,479.86
2012-04-25,2012.317,477.08
2012-04-26,2012.319,481.36
2012-04-27,2012.322,479.51
2012-04-30,2012.331,480.55
2012-05-01,2012.333,484.71
2012-05-02,2012.336,486.79
2012-05-03,2012.339,490.84
2012-05-04,2012.342,485.4
2012-05-07,2012.35,485.87
2012-05-08,2012.353,478.82
2012-05-09,2012.356,473.62
2012-05-10,2012.358,475.12
2012-05-11,2012.361,477.55
2012-05-14,2012.369,473.04
2012-05-15,2012.372,467.61
2012-05-16,2012.375,464.25
2012-05-17,2012.378,462.17
2012-05-18,2012.381,460.44
2012-05-21,2012.389,460.09
2012-05-22,2012.392,462.06
2012-05-23,2012.394,453.62
2012-05-24,2012.397,456.63
