Date,t,Close
2011-10-03,2011.756,66
2011-10-04,2011.758,70.01
2011-10-05,2011.761,73.93
2011-10-06,2011.764,74.69
2011-10-07,2011.767,71.54
2011-10-10,2011.775,75.74
2011-10-11,2011.778,74.88
2011-10-12,2011.781,76.6
2011-10-13,2011.783,76.51
2011-10-14,2011.786,80.9
2011-10-17,2011.794,79.18
2011-10-18,2011.797,83.67
2011-10-19,2011.8,82.52
2011-10-20,2011.803,82.62
2011-10-21,2011.806,85.96
2011-10-24,2011.814,89.21
2011-10-25,2011.817,90.74
2011-10-26,2011.819,92.17
2011-10-27,2011.822,97.71
2011-10-28,2011.825,94.37
2011-10-31,2011.833,91.69
2011-11-01,2011.833,85.49
2011-11-02,2011.836,86.82
2011-11-03,2011.839,90.26
2011-11-04,2011.842,89.69
2011-11-07,2011.85,89.78
2011-11-08,2011.853,92.75
2011-11-09,2011.856,85.39
2011-11-10,2011.858,87.21
2011-11-11,2011.861,91.22
2011-11-14,2011.869,89.69
2011-11-15,2011.872,92.55
2011-11-16,2011.875,91.69
2011-11-17,2011.878,87.49
2011-11-18,2011.881,86.06
2011-11-21,2011.889,83.58
2011-11-22,2011.892,83.67
2011-11-23,2011.894,80.42
2011-11-25,2011.9,80.42
2011-11-28,2011.908,85.29
2011-11-29,2011.911,85.96
2011-11-30,2011.914,91.5
2011-12-01,2011.917,90.07
2011-12-02,2011.919,89.02
2011-12-05,2011.928,89.88
2011-12-06,2011.931,90.26
2011-12-07,2011.933,90.26
2011-12-08,2011.936,86.35
2011-12-09,2011.939,89.69
2011-12-12,2011.947,87.49
2011-12-13,2011.95,85.87
2011-12-14,2011.953,82.52
2011-12-15,2011.956,83.1
2011-12-16,2011.958,87.49
2011-12-19,2011.967,86.15
2011-12-20,2011.969,93.8
2011-12-21,2011.972,95.71
2011-12-22,2011.975,97.71
2011-12-23,2011.978,97.43
2011-12-27,2011.989,97.33
2011-12-28,2011.992,94.27
2011-12-29,2011.994,102.2
2011-12-30,2011.997,100.1
2012-01-03,2012.006,104.88
2012-01-04,2012.008,106.88
2012-01-05,2012.011,110.22
2012-01-06,2012.014,108.89
2012-01-09,2012.022,108.89
2012-01-10,2012.025,109.46
2012-01-11,2012.028,114.52
2012-01-12,2012.031,113.95
2012-01-13,2012.033,115.48
2012-01-17,2012.044,115.57
2012-01-18,2012.047,120.92
2012-01-19,2012.05,122.74
2012-01-20,2012.053,118.53
2012-01-23,2012.061,115.76
2012-01-24,2012.064,116.72
2012-01-25,2012.067,120.35
2012-01-26,2012.069,117.01
2012-01-27,2012.072,117.77
2012-01-30,2012.081,117.01
