Date,t,Close
2012-07-26,2012.569,712.75
2012-07-27,2012.572,724.88
2012-07-30,2012.581,726.53
2012-07-31,2012.583,719.73
2012-08-01,2012.583,727.16
2012-08-02,2012.586,714.24
2012-08-03,2012.589,726.96
2012-08-06,2012.597,738.83
2012-08-07,2012.6,767.23
2012-08-08,2012.603,765.44
2012-08-09,2012.606,757.02
2012-08-10,2012.608,763.53
2012-08-13,2012.617,755.12
2012-08-14,2012.619,752.97
2012-08-15,2012.622,757.9
2012-08-16,2012.625,784.77
2012-08-17,2012.628,786.95
2012-08-20,2012.636,790.99
2012-08-21,2012.639,790.97
2012-08-22,2012.642,795.99
2012-08-23,2012.644,793
2012-08-24,2012.647,794.72
2012-08-27,2012.656,798.41
2012-08-28,2012.658,796.74
2012-08-29,2012.661,796.15
2012-08-30,2012.664,784.86
2012-08-31,2012.667,787.89
2012-09-04,2012.675,771.41
2012-09-05,2012.678,764.81
2012-09-06,2012.681,783.28
2012-09-07,2012.683,789.58
2012-09-10,2012.692,788.92
2012-09-11,2012.694,804.66
2012-09-12,2012.697,819.84
2012-09-13,2012.7,836.88
2012-09-14,2012.703,858.59
2012-09-17,2012.711,853.08
2012-09-18,2012.714,850.68
2012-09-19,2012.717,870.46
2012-09-20,2012.719,857.53
2012-09-21,2012.722,858.67
2012-09-24,2012.731,856.12
2012-09-25,2012.733,854.74
2012-09-26,2012.736,855.79
2012-09-27,2012.739,869.59
2012-09-28,2012.742,869.46
2012-10-01,2012.75,869.49
2012-10-02,2012.753,867.32
2012-10-03,2012.756,866.35
2012-10-04,2012.758,863.55
2012-10-05,2012.761,857.27
2012-10-08,2012.769,851.29
2012-10-09,2012.772,844.19
2012-10-10,2012.775,838.58
2012-10-11,2012.778,849.36
2012-10-12,2012.781,854.52
2012-10-15,2012.789,870.57
2012-10-16,2012.792,886.73
2012-10-17,2012.794,895.02
2012-10-18,2012.797,892.24
2012-10-19,2012.8,868.79
2012-10-22,2012.808,865.53
2012-10-23,2012.811,855.45
2012-10-24,2012.814,844.03
2012-10-25,2012.817,891.16
2012-10-26,2012.819,881
2012-10-31,2012.833,895.52
2012-11-01,2012.833,914.35
2012-11-02,2012.836,895.37
2012-11-05,2012.844,886.75
2012-11-06,2012.847,890.75
2012-11-07,2012.85,882.03
2012-11-08,2012.853,870.71
2012-11-09,2012.856,878.44
2012-11-12,2012.864,866.98
2012-11-13,2012.867,860.41
2012-11-14,2012.869,839.49
2012-11-15,2012.872,838.86
2012-11-16,2012.875,840.68
2012-11-19,2012.883,854.86
2012-11-20,2012.886,865.57
2012-11-21,2012.889,870.66
2012-11-23,2012.894,876.93
2012-11-26,2012.903,863.99
2012-11-27,2012.906,875.24
2012-11-28,2012.908,902.13
2012-11-29,2012.911,907.92
2012-11-30,2012.914,908.69
2012-12-03,2012.922,922.88
2012-12-04,2012.925,903.54
2012-12-05,2012.928,910.2
2012-12-06,2012.931,914.41
2012-12-07,2012.933,906.99
2012-12-10,2012.942,904.81
2012-12-11,2012.944,903.25
2012-12-12,2012.947,925.89
2012-12-13,2012.95,931.58
2012-12-14,2012.953,927.16
2012-12-17,2012.961,925.47
2012-12-18,2012.964,931.19
2012-12-19,2012.967,922.88
2012-12-20,2012.969,926.73
2012-12-21,2012.972,920.8
2012-12-24,2012.981,911.11
2012-12-26,2012.986,901.54
2012-12-27,2012.989,898.06
2012-12-28,2012.992,888.87
2012-12-31,2013,914.96
2013-01-02,2013.003,955.12
2013-01-03,2013.006,964.3
2013-01-04,2013.008,976.94
2013-01-07,2013.017,974.5
2013-01-08,2013.019,975.98
2013-01-09,2013.022,977.54
2013-01-10,2013.025,989.84
2013-01-11,2013.028,990.54
2013-01-14,2013.036,987.73
2013-01-15,2013.039,998.82
2013-01-16,2013.042,990.56
2013-01-17,2013.044,997.25
